percentile,profession,publicprivate,income
3,arkitekt,public,32000
4,arkitekt,public,32500
5,arkitekt,public,33000
7,arkitekt,public,33500
8,arkitekt,public,33800
9,arkitekt,public,34000
10,arkitekt,public,34200
11,arkitekt,public,34500
12,arkitekt,public,34900
13,arkitekt,public,35000
14,arkitekt,public,35300
15,arkitekt,public,35600
16,arkitekt,public,36000
17,arkitekt,public,36060
18,arkitekt,public,36400
19,arkitekt,public,36700
20,arkitekt,public,36925
21,arkitekt,public,37000
22,arkitekt,public,37200
23,arkitekt,public,37500
24,arkitekt,public,37700
25,arkitekt,public,38000
26,arkitekt,public,38012
27,arkitekt,public,38500
28,arkitekt,public,38600
29,arkitekt,public,38850
30,arkitekt,public,39000
31,arkitekt,public,39200
32,arkitekt,public,39500
33,arkitekt,public,39600
34,arkitekt,public,39750
35,arkitekt,public,40000
37,arkitekt,public,40150
38,arkitekt,public,40500
39,arkitekt,public,40600
40,arkitekt,public,40800
41,arkitekt,public,41000
42,arkitekt,public,41110
43,arkitekt,public,41500
44,arkitekt,public,41600
45,arkitekt,public,41900
46,arkitekt,public,42000
47,arkitekt,public,42100
48,arkitekt,public,42300
49,arkitekt,public,42500
50,arkitekt,public,42825
51,arkitekt,public,43000
52,arkitekt,public,43250
53,arkitekt,public,43400
54,arkitekt,public,43600
55,arkitekt,public,43800
56,arkitekt,public,44000
57,arkitekt,public,44300
58,arkitekt,public,44500
59,arkitekt,public,44800
60,arkitekt,public,45000
61,arkitekt,public,45100
62,arkitekt,public,45500
63,arkitekt,public,45650
64,arkitekt,public,45865
65,arkitekt,public,46000
66,arkitekt,public,46500
67,arkitekt,public,46627
68,arkitekt,public,46900
69,arkitekt,public,47050
70,arkitekt,public,47400
71,arkitekt,public,47800
72,arkitekt,public,48000
73,arkitekt,public,48300
74,arkitekt,public,48800
75,arkitekt,public,49200
76,arkitekt,public,49600
77,arkitekt,public,50000
78,arkitekt,public,50100
79,arkitekt,public,50700
80,arkitekt,public,51200
81,arkitekt,public,51500
82,arkitekt,public,52000
83,arkitekt,public,52500
84,arkitekt,public,53000
85,arkitekt,public,53600
86,arkitekt,public,54000
87,arkitekt,public,55000
88,arkitekt,public,55500
89,arkitekt,public,56500
90,arkitekt,public,57400
91,arkitekt,public,58400
92,arkitekt,public,59300
93,arkitekt,public,60500
94,arkitekt,public,62000
95,arkitekt,public,64000
96,arkitekt,public,67000
97,arkitekt,public,69900
