percentile,profession,publicprivate,income
3,Biolog/biokemist,public,25300
4,Biolog/biokemist,public,25800
5,Biolog/biokemist,public,26100
6,Biolog/biokemist,public,26400
7,Biolog/biokemist,public,26700
8,Biolog/biokemist,public,27000
9,Biolog/biokemist,public,27300
10,Biolog/biokemist,public,27500
11,Biolog/biokemist,public,27800
12,Biolog/biokemist,public,27900
13,Biolog/biokemist,public,28000
14,Biolog/biokemist,public,28300
15,Biolog/biokemist,public,28500
16,Biolog/biokemist,public,28800
17,Biolog/biokemist,public,29000
18,Biolog/biokemist,public,29100
19,Biolog/biokemist,public,29400
20,Biolog/biokemist,public,29550
21,Biolog/biokemist,public,29900
22,Biolog/biokemist,public,30000
23,Biolog/biokemist,public,30100
24,Biolog/biokemist,public,30300
25,Biolog/biokemist,public,30500
26,Biolog/biokemist,public,30650
27,Biolog/biokemist,public,30900
28,Biolog/biokemist,public,31000
29,Biolog/biokemist,public,31100
30,Biolog/biokemist,public,31350
31,Biolog/biokemist,public,31500
32,Biolog/biokemist,public,31800
33,Biolog/biokemist,public,32000
35,Biolog/biokemist,public,32120
36,Biolog/biokemist,public,32320
37,Biolog/biokemist,public,32500
38,Biolog/biokemist,public,32600
39,Biolog/biokemist,public,32770
40,Biolog/biokemist,public,33000
42,Biolog/biokemist,public,33100
43,Biolog/biokemist,public,33250
44,Biolog/biokemist,public,33450
45,Biolog/biokemist,public,33500
46,Biolog/biokemist,public,33700
47,Biolog/biokemist,public,33800
48,Biolog/biokemist,public,34000
50,Biolog/biokemist,public,34300
51,Biolog/biokemist,public,34500
52,Biolog/biokemist,public,34700
53,Biolog/biokemist,public,34800
54,Biolog/biokemist,public,35000
55,Biolog/biokemist,public,35100
56,Biolog/biokemist,public,35400
57,Biolog/biokemist,public,35600
58,Biolog/biokemist,public,35900
59,Biolog/biokemist,public,36000
60,Biolog/biokemist,public,36200
61,Biolog/biokemist,public,36500
62,Biolog/biokemist,public,36720
63,Biolog/biokemist,public,37000
64,Biolog/biokemist,public,37150
65,Biolog/biokemist,public,37400
66,Biolog/biokemist,public,37600
67,Biolog/biokemist,public,37850
68,Biolog/biokemist,public,38000
69,Biolog/biokemist,public,38300
70,Biolog/biokemist,public,38600
71,Biolog/biokemist,public,39000
72,Biolog/biokemist,public,39200
73,Biolog/biokemist,public,39500
74,Biolog/biokemist,public,39800
75,Biolog/biokemist,public,40000
76,Biolog/biokemist,public,40300
77,Biolog/biokemist,public,40700
78,Biolog/biokemist,public,41100
79,Biolog/biokemist,public,41500
80,Biolog/biokemist,public,41800
81,Biolog/biokemist,public,42100
82,Biolog/biokemist,public,42500
83,Biolog/biokemist,public,42900
84,Biolog/biokemist,public,43300
85,Biolog/biokemist,public,44000
86,Biolog/biokemist,public,44500
87,Biolog/biokemist,public,45000
88,Biolog/biokemist,public,45300
89,Biolog/biokemist,public,46000
90,Biolog/biokemist,public,46800
91,Biolog/biokemist,public,47500
92,Biolog/biokemist,public,48000
93,Biolog/biokemist,public,49100
94,Biolog/biokemist,public,51000
95,Biolog/biokemist,public,52800
96,Biolog/biokemist,public,55000
97,Biolog/biokemist,public,59000
