percentile,profession,publicprivate,income
3,Biolog/biokemist,public,24700
4,Biolog/biokemist,public,25000
5,Biolog/biokemist,public,25300
6,Biolog/biokemist,public,25700
7,Biolog/biokemist,public,25950
8,Biolog/biokemist,public,26100
9,Biolog/biokemist,public,26400
10,Biolog/biokemist,public,26600
11,Biolog/biokemist,public,26900
12,Biolog/biokemist,public,27100
13,Biolog/biokemist,public,27300
14,Biolog/biokemist,public,27400
15,Biolog/biokemist,public,27500
16,Biolog/biokemist,public,27863
17,Biolog/biokemist,public,28000
18,Biolog/biokemist,public,28100
19,Biolog/biokemist,public,28300
20,Biolog/biokemist,public,28500
21,Biolog/biokemist,public,28650
22,Biolog/biokemist,public,28900
23,Biolog/biokemist,public,29000
24,Biolog/biokemist,public,29200
25,Biolog/biokemist,public,29400
26,Biolog/biokemist,public,29600
27,Biolog/biokemist,public,29700
28,Biolog/biokemist,public,29900
29,Biolog/biokemist,public,30000
30,Biolog/biokemist,public,30100
31,Biolog/biokemist,public,30300
32,Biolog/biokemist,public,30450
33,Biolog/biokemist,public,30600
34,Biolog/biokemist,public,30750
35,Biolog/biokemist,public,31000
37,Biolog/biokemist,public,31160
38,Biolog/biokemist,public,31400
39,Biolog/biokemist,public,31500
40,Biolog/biokemist,public,31600
41,Biolog/biokemist,public,31800
42,Biolog/biokemist,public,32000
44,Biolog/biokemist,public,32200
45,Biolog/biokemist,public,32400
46,Biolog/biokemist,public,32500
47,Biolog/biokemist,public,32700
48,Biolog/biokemist,public,32800
49,Biolog/biokemist,public,33000
51,Biolog/biokemist,public,33200
52,Biolog/biokemist,public,33450
53,Biolog/biokemist,public,33600
54,Biolog/biokemist,public,33800
55,Biolog/biokemist,public,34000
56,Biolog/biokemist,public,34100
57,Biolog/biokemist,public,34300
58,Biolog/biokemist,public,34500
59,Biolog/biokemist,public,34753
60,Biolog/biokemist,public,35000
62,Biolog/biokemist,public,35250
63,Biolog/biokemist,public,35500
64,Biolog/biokemist,public,35704
65,Biolog/biokemist,public,36000
66,Biolog/biokemist,public,36200
67,Biolog/biokemist,public,36500
68,Biolog/biokemist,public,36750
69,Biolog/biokemist,public,37000
70,Biolog/biokemist,public,37200
71,Biolog/biokemist,public,37500
72,Biolog/biokemist,public,37900
73,Biolog/biokemist,public,38000
74,Biolog/biokemist,public,38400
75,Biolog/biokemist,public,38600
76,Biolog/biokemist,public,39000
77,Biolog/biokemist,public,39400
78,Biolog/biokemist,public,39700
79,Biolog/biokemist,public,40000
80,Biolog/biokemist,public,40200
81,Biolog/biokemist,public,40500
82,Biolog/biokemist,public,41000
83,Biolog/biokemist,public,41300
84,Biolog/biokemist,public,41600
85,Biolog/biokemist,public,42050
86,Biolog/biokemist,public,42700
87,Biolog/biokemist,public,43100
88,Biolog/biokemist,public,43800
89,Biolog/biokemist,public,44200
90,Biolog/biokemist,public,45000
91,Biolog/biokemist,public,45600
92,Biolog/biokemist,public,46400
93,Biolog/biokemist,public,47200
94,Biolog/biokemist,public,48874
95,Biolog/biokemist,public,50900
96,Biolog/biokemist,public,53200
97,Biolog/biokemist,public,56100
