percentile,profession,publicprivate,income
3,Civilekonom/ekonom,public,27800
4,Civilekonom/ekonom,public,28500
5,Civilekonom/ekonom,public,29000
6,Civilekonom/ekonom,public,29500
7,Civilekonom/ekonom,public,30000
8,Civilekonom/ekonom,public,30300
9,Civilekonom/ekonom,public,30800
10,Civilekonom/ekonom,public,31200
11,Civilekonom/ekonom,public,31700
12,Civilekonom/ekonom,public,32000
13,Civilekonom/ekonom,public,32500
14,Civilekonom/ekonom,public,32900
15,Civilekonom/ekonom,public,33200
16,Civilekonom/ekonom,public,33500
17,Civilekonom/ekonom,public,33900
18,Civilekonom/ekonom,public,34000
19,Civilekonom/ekonom,public,34400
20,Civilekonom/ekonom,public,34700
21,Civilekonom/ekonom,public,35000
22,Civilekonom/ekonom,public,35200
23,Civilekonom/ekonom,public,35500
24,Civilekonom/ekonom,public,35800
25,Civilekonom/ekonom,public,36000
26,Civilekonom/ekonom,public,36292
27,Civilekonom/ekonom,public,36500
28,Civilekonom/ekonom,public,36800
29,Civilekonom/ekonom,public,37000
30,Civilekonom/ekonom,public,37200
31,Civilekonom/ekonom,public,37500
32,Civilekonom/ekonom,public,37800
33,Civilekonom/ekonom,public,38000
34,Civilekonom/ekonom,public,38200
35,Civilekonom/ekonom,public,38500
36,Civilekonom/ekonom,public,38884
37,Civilekonom/ekonom,public,39000
38,Civilekonom/ekonom,public,39300
39,Civilekonom/ekonom,public,39500
40,Civilekonom/ekonom,public,39850
41,Civilekonom/ekonom,public,40000
42,Civilekonom/ekonom,public,40100
43,Civilekonom/ekonom,public,40400
44,Civilekonom/ekonom,public,40600
45,Civilekonom/ekonom,public,40900
46,Civilekonom/ekonom,public,41000
47,Civilekonom/ekonom,public,41300
48,Civilekonom/ekonom,public,41591
49,Civilekonom/ekonom,public,41800
50,Civilekonom/ekonom,public,42000
51,Civilekonom/ekonom,public,42200
52,Civilekonom/ekonom,public,42500
53,Civilekonom/ekonom,public,42800
54,Civilekonom/ekonom,public,43000
55,Civilekonom/ekonom,public,43200
56,Civilekonom/ekonom,public,43500
57,Civilekonom/ekonom,public,43900
58,Civilekonom/ekonom,public,44000
59,Civilekonom/ekonom,public,44400
60,Civilekonom/ekonom,public,44700
61,Civilekonom/ekonom,public,45000
62,Civilekonom/ekonom,public,45148
63,Civilekonom/ekonom,public,45500
64,Civilekonom/ekonom,public,45900
65,Civilekonom/ekonom,public,46200
66,Civilekonom/ekonom,public,46500
67,Civilekonom/ekonom,public,47000
68,Civilekonom/ekonom,public,47200
69,Civilekonom/ekonom,public,47573
70,Civilekonom/ekonom,public,48000
71,Civilekonom/ekonom,public,48300
72,Civilekonom/ekonom,public,48800
73,Civilekonom/ekonom,public,49100
74,Civilekonom/ekonom,public,49650
75,Civilekonom/ekonom,public,50000
76,Civilekonom/ekonom,public,50400
77,Civilekonom/ekonom,public,51000
78,Civilekonom/ekonom,public,51400
79,Civilekonom/ekonom,public,52000
80,Civilekonom/ekonom,public,52500
81,Civilekonom/ekonom,public,53100
82,Civilekonom/ekonom,public,53900
83,Civilekonom/ekonom,public,54500
84,Civilekonom/ekonom,public,55000
85,Civilekonom/ekonom,public,55525
86,Civilekonom/ekonom,public,56400
87,Civilekonom/ekonom,public,57000
88,Civilekonom/ekonom,public,58300
89,Civilekonom/ekonom,public,59500
90,Civilekonom/ekonom,public,60200
91,Civilekonom/ekonom,public,61734
92,Civilekonom/ekonom,public,63000
93,Civilekonom/ekonom,public,64500
94,Civilekonom/ekonom,public,66500
95,Civilekonom/ekonom,public,68500
96,Civilekonom/ekonom,public,71800
97,Civilekonom/ekonom,public,75500
