percentile,profession,publicprivate,income
3,Civilekonomer ekonom,private,27700
4,Civilekonomer ekonom,private,28500
5,Civilekonomer ekonom,private,29200
6,Civilekonomer ekonom,private,30000
7,Civilekonomer ekonom,private,30600
8,Civilekonomer ekonom,private,31500
9,Civilekonomer ekonom,private,32000
10,Civilekonomer ekonom,private,32500
11,Civilekonomer ekonom,private,33000
12,Civilekonomer ekonom,private,33600
13,Civilekonomer ekonom,private,34050
14,Civilekonomer ekonom,private,34987
15,Civilekonomer ekonom,private,35000
16,Civilekonomer ekonom,private,35739
17,Civilekonomer ekonom,private,36000
18,Civilekonomer ekonom,private,36593
19,Civilekonomer ekonom,private,37000
20,Civilekonomer ekonom,private,37500
21,Civilekonomer ekonom,private,38000
22,Civilekonomer ekonom,private,38500
23,Civilekonomer ekonom,private,39000
24,Civilekonomer ekonom,private,39400
25,Civilekonomer ekonom,private,40000
27,Civilekonomer ekonom,private,40400
28,Civilekonomer ekonom,private,41000
29,Civilekonomer ekonom,private,41360
30,Civilekonomer ekonom,private,41900
31,Civilekonomer ekonom,private,42000
32,Civilekonomer ekonom,private,42500
33,Civilekonomer ekonom,private,43000
34,Civilekonomer ekonom,private,43333
35,Civilekonomer ekonom,private,43900
36,Civilekonomer ekonom,private,44200
37,Civilekonomer ekonom,private,44800
38,Civilekonomer ekonom,private,45000
39,Civilekonomer ekonom,private,45300
40,Civilekonomer ekonom,private,45852
41,Civilekonomer ekonom,private,46000
42,Civilekonomer ekonom,private,46650
43,Civilekonomer ekonom,private,47000
44,Civilekonomer ekonom,private,47500
45,Civilekonomer ekonom,private,48000
46,Civilekonomer ekonom,private,48151
47,Civilekonomer ekonom,private,48750
48,Civilekonomer ekonom,private,49000
49,Civilekonomer ekonom,private,49500
50,Civilekonomer ekonom,private,50000
51,Civilekonomer ekonom,private,50084
52,Civilekonomer ekonom,private,50700
53,Civilekonomer ekonom,private,51000
54,Civilekonomer ekonom,private,51500
55,Civilekonomer ekonom,private,52000
56,Civilekonomer ekonom,private,52598
57,Civilekonomer ekonom,private,53000
58,Civilekonomer ekonom,private,53500
59,Civilekonomer ekonom,private,54000
60,Civilekonomer ekonom,private,54727
61,Civilekonomer ekonom,private,55000
62,Civilekonomer ekonom,private,55400
63,Civilekonomer ekonom,private,56000
64,Civilekonomer ekonom,private,56500
65,Civilekonomer ekonom,private,57000
66,Civilekonomer ekonom,private,57827
67,Civilekonomer ekonom,private,58300
68,Civilekonomer ekonom,private,59000
69,Civilekonomer ekonom,private,59827
70,Civilekonomer ekonom,private,60000
71,Civilekonomer ekonom,private,60933
72,Civilekonomer ekonom,private,61600
73,Civilekonomer ekonom,private,62349
74,Civilekonomer ekonom,private,63000
75,Civilekonomer ekonom,private,63870
76,Civilekonomer ekonom,private,64500
77,Civilekonomer ekonom,private,65000
78,Civilekonomer ekonom,private,65900
79,Civilekonomer ekonom,private,66927
80,Civilekonomer ekonom,private,68000
81,Civilekonomer ekonom,private,69000
82,Civilekonomer ekonom,private,70000
83,Civilekonomer ekonom,private,71000
84,Civilekonomer ekonom,private,72045
85,Civilekonomer ekonom,private,73500
86,Civilekonomer ekonom,private,75000
87,Civilekonomer ekonom,private,76000
88,Civilekonomer ekonom,private,78000
89,Civilekonomer ekonom,private,80000
90,Civilekonomer ekonom,private,81600
91,Civilekonomer ekonom,private,83300
92,Civilekonomer ekonom,private,85700
93,Civilekonomer ekonom,private,88990
94,Civilekonomer ekonom,private,92800
95,Civilekonomer ekonom,private,98000
96,Civilekonomer ekonom,private,103500
97,Civilekonomer ekonom,private,111500
