percentile,profession,publicprivate,income
3,Civilekonomer ekonom,public,28100
4,Civilekonomer ekonom,public,28700
5,Civilekonomer ekonom,public,29400
6,Civilekonomer ekonom,public,30000
7,Civilekonomer ekonom,public,30200
8,Civilekonomer ekonom,public,30600
9,Civilekonomer ekonom,public,31000
10,Civilekonomer ekonom,public,31500
11,Civilekonomer ekonom,public,32000
12,Civilekonomer ekonom,public,32400
13,Civilekonomer ekonom,public,32800
14,Civilekonomer ekonom,public,33050
15,Civilekonomer ekonom,public,33501
16,Civilekonomer ekonom,public,33900
17,Civilekonomer ekonom,public,34200
18,Civilekonomer ekonom,public,34600
19,Civilekonomer ekonom,public,34900
20,Civilekonomer ekonom,public,35000
21,Civilekonomer ekonom,public,35500
22,Civilekonomer ekonom,public,35750
23,Civilekonomer ekonom,public,36000
24,Civilekonomer ekonom,public,36200
25,Civilekonomer ekonom,public,36500
26,Civilekonomer ekonom,public,36800
27,Civilekonomer ekonom,public,37000
28,Civilekonomer ekonom,public,37200
29,Civilekonomer ekonom,public,37500
30,Civilekonomer ekonom,public,37800
31,Civilekonomer ekonom,public,38000
32,Civilekonomer ekonom,public,38300
33,Civilekonomer ekonom,public,38500
34,Civilekonomer ekonom,public,38800
35,Civilekonomer ekonom,public,39000
36,Civilekonomer ekonom,public,39300
37,Civilekonomer ekonom,public,39500
38,Civilekonomer ekonom,public,39900
39,Civilekonomer ekonom,public,40000
41,Civilekonomer ekonom,public,40350
42,Civilekonomer ekonom,public,40600
43,Civilekonomer ekonom,public,40900
44,Civilekonomer ekonom,public,41000
45,Civilekonomer ekonom,public,41250
46,Civilekonomer ekonom,public,41500
47,Civilekonomer ekonom,public,41800
48,Civilekonomer ekonom,public,42000
49,Civilekonomer ekonom,public,42200
50,Civilekonomer ekonom,public,42500
51,Civilekonomer ekonom,public,42700
52,Civilekonomer ekonom,public,43000
53,Civilekonomer ekonom,public,43003
54,Civilekonomer ekonom,public,43400
55,Civilekonomer ekonom,public,43700
56,Civilekonomer ekonom,public,44000
57,Civilekonomer ekonom,public,44100
58,Civilekonomer ekonom,public,44450
59,Civilekonomer ekonom,public,44800
60,Civilekonomer ekonom,public,45000
61,Civilekonomer ekonom,public,45100
62,Civilekonomer ekonom,public,45500
63,Civilekonomer ekonom,public,45800
64,Civilekonomer ekonom,public,46000
65,Civilekonomer ekonom,public,46200
66,Civilekonomer ekonom,public,46500
67,Civilekonomer ekonom,public,46850
68,Civilekonomer ekonom,public,47068
69,Civilekonomer ekonom,public,47550
70,Civilekonomer ekonom,public,48000
71,Civilekonomer ekonom,public,48300
72,Civilekonomer ekonom,public,48800
73,Civilekonomer ekonom,public,49100
74,Civilekonomer ekonom,public,49700
75,Civilekonomer ekonom,public,50000
76,Civilekonomer ekonom,public,50400
77,Civilekonomer ekonom,public,51000
78,Civilekonomer ekonom,public,51300
79,Civilekonomer ekonom,public,52000
80,Civilekonomer ekonom,public,52300
81,Civilekonomer ekonom,public,53000
82,Civilekonomer ekonom,public,53550
83,Civilekonomer ekonom,public,54200
84,Civilekonomer ekonom,public,55000
85,Civilekonomer ekonom,public,55400
86,Civilekonomer ekonom,public,56100
87,Civilekonomer ekonom,public,57000
88,Civilekonomer ekonom,public,58000
89,Civilekonomer ekonom,public,59000
90,Civilekonomer ekonom,public,60000
91,Civilekonomer ekonom,public,61300
92,Civilekonomer ekonom,public,63000
93,Civilekonomer ekonom,public,64400
94,Civilekonomer ekonom,public,65900
95,Civilekonomer ekonom,public,67900
96,Civilekonomer ekonom,public,70827
97,Civilekonomer ekonom,public,75000
