percentile,profession,publicprivate,income
3,Civilingenjör,private,33000
4,Civilingenjör,private,33500
5,Civilingenjör,private,34000
6,Civilingenjör,private,34600
7,Civilingenjör,private,35000
8,Civilingenjör,private,35500
9,Civilingenjör,private,36000
10,Civilingenjör,private,36500
11,Civilingenjör,private,37000
12,Civilingenjör,private,37500
13,Civilingenjör,private,38000
14,Civilingenjör,private,38400
15,Civilingenjör,private,38862
16,Civilingenjör,private,39150
17,Civilingenjör,private,39700
18,Civilingenjör,private,40000
19,Civilingenjör,private,40300
20,Civilingenjör,private,40800
21,Civilingenjör,private,41000
22,Civilingenjör,private,41500
23,Civilingenjör,private,42000
24,Civilingenjör,private,42100
25,Civilingenjör,private,42504
26,Civilingenjör,private,43000
27,Civilingenjör,private,43300
28,Civilingenjör,private,43718
29,Civilingenjör,private,44000
30,Civilingenjör,private,44417
31,Civilingenjör,private,44900
32,Civilingenjör,private,45000
33,Civilingenjör,private,45400
34,Civilingenjör,private,45800
35,Civilingenjör,private,46000
36,Civilingenjör,private,46400
37,Civilingenjör,private,46800
38,Civilingenjör,private,47000
39,Civilingenjör,private,47500
40,Civilingenjör,private,47880
41,Civilingenjör,private,48029
42,Civilingenjör,private,48500
43,Civilingenjör,private,49000
44,Civilingenjör,private,49200
45,Civilingenjör,private,49600
46,Civilingenjör,private,50000
48,Civilingenjör,private,50500
49,Civilingenjör,private,50973
50,Civilingenjör,private,51200
51,Civilingenjör,private,51700
52,Civilingenjör,private,52000
53,Civilingenjör,private,52397
54,Civilingenjör,private,52862
55,Civilingenjör,private,53069
56,Civilingenjör,private,53550
57,Civilingenjör,private,54000
58,Civilingenjör,private,54300
59,Civilingenjör,private,54800
60,Civilingenjör,private,55000
61,Civilingenjör,private,55433
62,Civilingenjör,private,56000
63,Civilingenjör,private,56210
64,Civilingenjör,private,56862
65,Civilingenjör,private,57180
66,Civilingenjör,private,57700
67,Civilingenjör,private,58000
68,Civilingenjör,private,58611
69,Civilingenjör,private,59131
70,Civilingenjör,private,59800
71,Civilingenjör,private,60000
72,Civilingenjör,private,60516
73,Civilingenjör,private,61071
74,Civilingenjör,private,61800
75,Civilingenjör,private,62300
76,Civilingenjör,private,63000
77,Civilingenjör,private,63800
78,Civilingenjör,private,64487
79,Civilingenjör,private,65000
80,Civilingenjör,private,65800
81,Civilingenjör,private,66600
82,Civilingenjör,private,67500
83,Civilingenjör,private,68446
84,Civilingenjör,private,69500
85,Civilingenjör,private,70250
86,Civilingenjör,private,71475
87,Civilingenjör,private,72667
88,Civilingenjör,private,74000
89,Civilingenjör,private,75500
90,Civilingenjör,private,77123
91,Civilingenjör,private,79300
92,Civilingenjör,private,81373
93,Civilingenjör,private,84000
94,Civilingenjör,private,87450
95,Civilingenjör,private,91300
96,Civilingenjör,private,97000
97,Civilingenjör,private,103500
