percentile,profession,publicprivate,income
3,Civilingenjör,public,29600
4,Civilingenjör,public,29800
5,Civilingenjör,public,30300
6,Civilingenjör,public,31000
7,Civilingenjör,public,31700
8,Civilingenjör,public,32300
9,Civilingenjör,public,32900
10,Civilingenjör,public,33300
11,Civilingenjör,public,33700
12,Civilingenjör,public,34000
13,Civilingenjör,public,34300
14,Civilingenjör,public,34700
15,Civilingenjör,public,35000
16,Civilingenjör,public,35200
17,Civilingenjör,public,35700
18,Civilingenjör,public,36000
19,Civilingenjör,public,36500
20,Civilingenjör,public,36850
21,Civilingenjör,public,37000
22,Civilingenjör,public,37500
23,Civilingenjör,public,37900
24,Civilingenjör,public,38250
25,Civilingenjör,public,38600
26,Civilingenjör,public,39000
27,Civilingenjör,public,39300
28,Civilingenjör,public,39687
29,Civilingenjör,public,40000
31,Civilingenjör,public,40300
32,Civilingenjör,public,40600
33,Civilingenjör,public,40960
34,Civilingenjör,public,41100
35,Civilingenjör,public,41500
36,Civilingenjör,public,41700
37,Civilingenjör,public,42000
38,Civilingenjör,public,42300
39,Civilingenjör,public,42600
40,Civilingenjör,public,42900
41,Civilingenjör,public,43000
42,Civilingenjör,public,43400
43,Civilingenjör,public,43700
44,Civilingenjör,public,44000
45,Civilingenjör,public,44100
46,Civilingenjör,public,44500
47,Civilingenjör,public,44900
48,Civilingenjör,public,45000
49,Civilingenjör,public,45200
50,Civilingenjör,public,45600
51,Civilingenjör,public,45930
52,Civilingenjör,public,46000
53,Civilingenjör,public,46400
54,Civilingenjör,public,46700
55,Civilingenjör,public,47000
56,Civilingenjör,public,47200
57,Civilingenjör,public,47500
58,Civilingenjör,public,48000
59,Civilingenjör,public,48200
60,Civilingenjör,public,48500
61,Civilingenjör,public,48900
62,Civilingenjör,public,49000
63,Civilingenjör,public,49450
64,Civilingenjör,public,49750
65,Civilingenjör,public,50000
66,Civilingenjör,public,50200
67,Civilingenjör,public,50600
68,Civilingenjör,public,51000
69,Civilingenjör,public,51300
70,Civilingenjör,public,51700
71,Civilingenjör,public,52000
72,Civilingenjör,public,52400
73,Civilingenjör,public,52900
74,Civilingenjör,public,53100
75,Civilingenjör,public,53700
76,Civilingenjör,public,54000
77,Civilingenjör,public,54500
78,Civilingenjör,public,55000
79,Civilingenjör,public,55200
80,Civilingenjör,public,55700
81,Civilingenjör,public,56400
82,Civilingenjör,public,57000
83,Civilingenjör,public,57800
84,Civilingenjör,public,58500
85,Civilingenjör,public,59300
86,Civilingenjör,public,60000
87,Civilingenjör,public,60827
88,Civilingenjör,public,61800
89,Civilingenjör,public,62850
90,Civilingenjör,public,64250
91,Civilingenjör,public,65400
92,Civilingenjör,public,67000
93,Civilingenjör,public,68200
94,Civilingenjör,public,70000
95,Civilingenjör,public,72000
96,Civilingenjör,public,74000
97,Civilingenjör,public,76700
