percentile,profession,publicprivate,income
3,ekonom,private,27700
4,ekonom,private,28500
5,ekonom,private,29200
6,ekonom,private,30000
7,ekonom,private,30600
8,ekonom,private,31500
9,ekonom,private,32000
10,ekonom,private,32500
11,ekonom,private,33000
12,ekonom,private,33600
13,ekonom,private,34050
14,ekonom,private,34987
15,ekonom,private,35000
16,ekonom,private,35739
17,ekonom,private,36000
18,ekonom,private,36593
19,ekonom,private,37000
20,ekonom,private,37500
21,ekonom,private,38000
22,ekonom,private,38500
23,ekonom,private,39000
24,ekonom,private,39400
25,ekonom,private,40000
27,ekonom,private,40400
28,ekonom,private,41000
29,ekonom,private,41360
30,ekonom,private,41900
31,ekonom,private,42000
32,ekonom,private,42500
33,ekonom,private,43000
34,ekonom,private,43333
35,ekonom,private,43900
36,ekonom,private,44200
37,ekonom,private,44800
38,ekonom,private,45000
39,ekonom,private,45300
40,ekonom,private,45852
41,ekonom,private,46000
42,ekonom,private,46650
43,ekonom,private,47000
44,ekonom,private,47500
45,ekonom,private,48000
46,ekonom,private,48151
47,ekonom,private,48750
48,ekonom,private,49000
49,ekonom,private,49500
50,ekonom,private,50000
51,ekonom,private,50084
52,ekonom,private,50700
53,ekonom,private,51000
54,ekonom,private,51500
55,ekonom,private,52000
56,ekonom,private,52598
57,ekonom,private,53000
58,ekonom,private,53500
59,ekonom,private,54000
60,ekonom,private,54727
61,ekonom,private,55000
62,ekonom,private,55400
63,ekonom,private,56000
64,ekonom,private,56500
65,ekonom,private,57000
66,ekonom,private,57827
67,ekonom,private,58300
68,ekonom,private,59000
69,ekonom,private,59827
70,ekonom,private,60000
71,ekonom,private,60933
72,ekonom,private,61600
73,ekonom,private,62349
74,ekonom,private,63000
75,ekonom,private,63870
76,ekonom,private,64500
77,ekonom,private,65000
78,ekonom,private,65900
79,ekonom,private,66927
80,ekonom,private,68000
81,ekonom,private,69000
82,ekonom,private,70000
83,ekonom,private,71000
84,ekonom,private,72045
85,ekonom,private,73500
86,ekonom,private,75000
87,ekonom,private,76000
88,ekonom,private,78000
89,ekonom,private,80000
90,ekonom,private,81600
91,ekonom,private,83300
92,ekonom,private,85700
93,ekonom,private,88990
94,ekonom,private,92800
95,ekonom,private,98000
96,ekonom,private,103500
97,ekonom,private,111500
