percentile,profession,publicprivate,income
3,Ekonom,public,29000
4,Ekonom,public,29900
5,Ekonom,public,30500
6,Ekonom,public,31000
7,Ekonom,public,31500
8,Ekonom,public,32000
9,Ekonom,public,32500
10,Ekonom,public,33000
11,Ekonom,public,33350
12,Ekonom,public,33800
13,Ekonom,public,34100
14,Ekonom,public,34500
15,Ekonom,public,34900
16,Ekonom,public,35000
17,Ekonom,public,35500
18,Ekonom,public,35800
19,Ekonom,public,36100
20,Ekonom,public,36500
21,Ekonom,public,36800
22,Ekonom,public,37100
23,Ekonom,public,37500
24,Ekonom,public,37800
25,Ekonom,public,38000
26,Ekonom,public,38300
27,Ekonom,public,38500
28,Ekonom,public,38800
29,Ekonom,public,39000
30,Ekonom,public,39300
31,Ekonom,public,39500
32,Ekonom,public,40000
34,Ekonom,public,40300
35,Ekonom,public,40700
36,Ekonom,public,40910
37,Ekonom,public,41100
38,Ekonom,public,41500
39,Ekonom,public,41700
40,Ekonom,public,42000
41,Ekonom,public,42100
42,Ekonom,public,42475
43,Ekonom,public,42700
44,Ekonom,public,43000
45,Ekonom,public,43100
46,Ekonom,public,43500
47,Ekonom,public,43700
48,Ekonom,public,44000
49,Ekonom,public,44200
50,Ekonom,public,44500
51,Ekonom,public,44900
52,Ekonom,public,45000
53,Ekonom,public,45300
54,Ekonom,public,45600
55,Ekonom,public,46000
56,Ekonom,public,46100
57,Ekonom,public,46500
58,Ekonom,public,46800
59,Ekonom,public,47000
60,Ekonom,public,47300
61,Ekonom,public,47650
62,Ekonom,public,48000
63,Ekonom,public,48350
64,Ekonom,public,48800
65,Ekonom,public,49000
66,Ekonom,public,49500
67,Ekonom,public,49952
68,Ekonom,public,50000
69,Ekonom,public,50350
70,Ekonom,public,50900
71,Ekonom,public,51200
72,Ekonom,public,51600
73,Ekonom,public,52000
74,Ekonom,public,52550
75,Ekonom,public,53000
76,Ekonom,public,53500
77,Ekonom,public,54000
78,Ekonom,public,54400
79,Ekonom,public,55000
80,Ekonom,public,55600
81,Ekonom,public,56200
82,Ekonom,public,57000
83,Ekonom,public,57620
84,Ekonom,public,58500
85,Ekonom,public,59400
86,Ekonom,public,60000
87,Ekonom,public,61000
88,Ekonom,public,62000
89,Ekonom,public,63260
90,Ekonom,public,64300
91,Ekonom,public,65800
92,Ekonom,public,67000
93,Ekonom,public,69000
94,Ekonom,public,71100
95,Ekonom,public,73600
96,Ekonom,public,77000
97,Ekonom,public,81000
