percentile,profession,publicprivate,income
3,farmaceut,private,29300
4,farmaceut,private,29638
5,farmaceut,private,30000
6,farmaceut,private,30100
7,farmaceut,private,30350
8,farmaceut,private,30500
9,farmaceut,private,30797
10,farmaceut,private,31000
12,farmaceut,private,31300
13,farmaceut,private,31510
14,farmaceut,private,31750
15,farmaceut,private,32000
17,farmaceut,private,32175
18,farmaceut,private,32470
19,farmaceut,private,32600
20,farmaceut,private,32750
21,farmaceut,private,32908
22,farmaceut,private,33000
24,farmaceut,private,33200
25,farmaceut,private,33410
26,farmaceut,private,33500
27,farmaceut,private,33715
28,farmaceut,private,33900
29,farmaceut,private,34000
30,farmaceut,private,34024
31,farmaceut,private,34200
32,farmaceut,private,34330
33,farmaceut,private,34500
34,farmaceut,private,34585
35,farmaceut,private,34700
36,farmaceut,private,34911
37,farmaceut,private,35000
39,farmaceut,private,35088
40,farmaceut,private,35231
41,farmaceut,private,35400
42,farmaceut,private,35500
43,farmaceut,private,35700
44,farmaceut,private,35910
45,farmaceut,private,36000
46,farmaceut,private,36100
47,farmaceut,private,36200
48,farmaceut,private,36400
49,farmaceut,private,36502
50,farmaceut,private,36750
51,farmaceut,private,37000
52,farmaceut,private,37080
53,farmaceut,private,37333
54,farmaceut,private,37500
55,farmaceut,private,37700
56,farmaceut,private,38000
57,farmaceut,private,38100
58,farmaceut,private,38500
59,farmaceut,private,38750
60,farmaceut,private,39000
61,farmaceut,private,39360
62,farmaceut,private,39560
63,farmaceut,private,40000
64,farmaceut,private,40100
65,farmaceut,private,40421
66,farmaceut,private,40800
67,farmaceut,private,41040
68,farmaceut,private,41600
69,farmaceut,private,42000
70,farmaceut,private,42600
71,farmaceut,private,43000
72,farmaceut,private,43500
73,farmaceut,private,44000
74,farmaceut,private,44236
75,farmaceut,private,45000
76,farmaceut,private,45300
77,farmaceut,private,46000
78,farmaceut,private,46779
79,farmaceut,private,47242
80,farmaceut,private,47983
81,farmaceut,private,48210
82,farmaceut,private,49000
83,farmaceut,private,49800
84,farmaceut,private,51000
85,farmaceut,private,52000
86,farmaceut,private,53000
87,farmaceut,private,54500
88,farmaceut,private,56000
89,farmaceut,private,57500
90,farmaceut,private,58650
91,farmaceut,private,60300
92,farmaceut,private,63250
93,farmaceut,private,66000
94,farmaceut,private,68500
95,farmaceut,private,72350
96,farmaceut,private,75300
97,farmaceut,private,80000
