percentile,profession,publicprivate,income
3,farmaceut,public,30700
4,farmaceut,public,31500
5,farmaceut,public,31650
6,farmaceut,public,32500
7,farmaceut,public,32600
8,farmaceut,public,33000
9,farmaceut,public,33400
10,farmaceut,public,33550
11,farmaceut,public,33700
12,farmaceut,public,33800
13,farmaceut,public,34000
14,farmaceut,public,34200
15,farmaceut,public,34500
16,farmaceut,public,34600
17,farmaceut,public,35000
20,farmaceut,public,35100
21,farmaceut,public,35300
22,farmaceut,public,35550
23,farmaceut,public,35750
24,farmaceut,public,35900
25,farmaceut,public,36000
27,farmaceut,public,36200
28,farmaceut,public,36500
29,farmaceut,public,36700
30,farmaceut,public,36800
31,farmaceut,public,36900
32,farmaceut,public,37000
33,farmaceut,public,37200
34,farmaceut,public,37550
35,farmaceut,public,37600
36,farmaceut,public,37800
37,farmaceut,public,38000
38,farmaceut,public,38230
39,farmaceut,public,38400
40,farmaceut,public,38600
41,farmaceut,public,38930
42,farmaceut,public,39000
43,farmaceut,public,39100
44,farmaceut,public,39300
45,farmaceut,public,39500
46,farmaceut,public,39600
47,farmaceut,public,39700
48,farmaceut,public,39940
49,farmaceut,public,40000
50,farmaceut,public,40200
51,farmaceut,public,40427
52,farmaceut,public,40500
53,farmaceut,public,40700
54,farmaceut,public,41000
55,farmaceut,public,41200
56,farmaceut,public,41300
57,farmaceut,public,41650
58,farmaceut,public,42000
60,farmaceut,public,42300
61,farmaceut,public,42540
62,farmaceut,public,42750
63,farmaceut,public,43000
64,farmaceut,public,43400
65,farmaceut,public,43600
66,farmaceut,public,44000
67,farmaceut,public,44200
68,farmaceut,public,44500
69,farmaceut,public,44950
70,farmaceut,public,45200
71,farmaceut,public,45600
72,farmaceut,public,45862
73,farmaceut,public,46000
74,farmaceut,public,46100
75,farmaceut,public,46440
76,farmaceut,public,47000
77,farmaceut,public,47500
78,farmaceut,public,47850
79,farmaceut,public,48000
80,farmaceut,public,48200
81,farmaceut,public,48500
82,farmaceut,public,48950
83,farmaceut,public,49100
84,farmaceut,public,49650
85,farmaceut,public,50177
86,farmaceut,public,51000
87,farmaceut,public,51625
88,farmaceut,public,52000
89,farmaceut,public,52500
90,farmaceut,public,53100
91,farmaceut,public,54150
92,farmaceut,public,55000
93,farmaceut,public,55727
94,farmaceut,public,57927
95,farmaceut,public,59500
96,farmaceut,public,61400
97,farmaceut,public,64827
