percentile,profession,publicprivate,income
3,Farmaceuter,private,30000
4,Farmaceuter,private,30300
5,Farmaceuter,private,30500
6,Farmaceuter,private,30880
7,Farmaceuter,private,31000
8,Farmaceuter,private,31250
9,Farmaceuter,private,31500
10,Farmaceuter,private,31630
11,Farmaceuter,private,31900
12,Farmaceuter,private,32000
14,Farmaceuter,private,32200
15,Farmaceuter,private,32500
16,Farmaceuter,private,32660
17,Farmaceuter,private,32850
18,Farmaceuter,private,33000
21,Farmaceuter,private,33270
22,Farmaceuter,private,33500
23,Farmaceuter,private,33750
24,Farmaceuter,private,33875
25,Farmaceuter,private,34000
27,Farmaceuter,private,34210
28,Farmaceuter,private,34400
29,Farmaceuter,private,34500
30,Farmaceuter,private,34600
31,Farmaceuter,private,34712
32,Farmaceuter,private,34885
33,Farmaceuter,private,35000
35,Farmaceuter,private,35167
36,Farmaceuter,private,35400
37,Farmaceuter,private,35550
38,Farmaceuter,private,35700
39,Farmaceuter,private,35850
40,Farmaceuter,private,36000
41,Farmaceuter,private,36010
42,Farmaceuter,private,36300
43,Farmaceuter,private,36500
44,Farmaceuter,private,36674
45,Farmaceuter,private,36830
46,Farmaceuter,private,37000
48,Farmaceuter,private,37200
49,Farmaceuter,private,37400
50,Farmaceuter,private,37600
51,Farmaceuter,private,37800
52,Farmaceuter,private,38000
54,Farmaceuter,private,38110
55,Farmaceuter,private,38500
56,Farmaceuter,private,39000
57,Farmaceuter,private,39100
58,Farmaceuter,private,39470
59,Farmaceuter,private,39750
60,Farmaceuter,private,40000
61,Farmaceuter,private,40230
62,Farmaceuter,private,40749
63,Farmaceuter,private,41000
64,Farmaceuter,private,41250
65,Farmaceuter,private,41600
66,Farmaceuter,private,42000
67,Farmaceuter,private,42420
68,Farmaceuter,private,42934
69,Farmaceuter,private,43350
70,Farmaceuter,private,43800
71,Farmaceuter,private,44000
72,Farmaceuter,private,44500
73,Farmaceuter,private,45000
74,Farmaceuter,private,45500
75,Farmaceuter,private,46000
76,Farmaceuter,private,46500
77,Farmaceuter,private,47000
78,Farmaceuter,private,48000
79,Farmaceuter,private,48412
80,Farmaceuter,private,49000
81,Farmaceuter,private,50000
82,Farmaceuter,private,50900
83,Farmaceuter,private,52400
84,Farmaceuter,private,53400
85,Farmaceuter,private,55500
86,Farmaceuter,private,57235
87,Farmaceuter,private,58750
88,Farmaceuter,private,59954
89,Farmaceuter,private,61431
90,Farmaceuter,private,62500
91,Farmaceuter,private,63813
92,Farmaceuter,private,65685
93,Farmaceuter,private,70000
94,Farmaceuter,private,73000
95,Farmaceuter,private,76662
96,Farmaceuter,private,78800
97,Farmaceuter,private,83200
