percentile,profession,publicprivate,income
3,Farmaceuter,public,31500
4,Farmaceuter,public,32100
5,Farmaceuter,public,32500
6,Farmaceuter,public,33000
7,Farmaceuter,public,33200
8,Farmaceuter,public,33900
9,Farmaceuter,public,34000
10,Farmaceuter,public,34100
11,Farmaceuter,public,34350
12,Farmaceuter,public,34500
13,Farmaceuter,public,34900
14,Farmaceuter,public,35000
16,Farmaceuter,public,35250
17,Farmaceuter,public,35500
18,Farmaceuter,public,35700
19,Farmaceuter,public,35900
20,Farmaceuter,public,36000
21,Farmaceuter,public,36100
22,Farmaceuter,public,36300
23,Farmaceuter,public,36500
24,Farmaceuter,public,36700
25,Farmaceuter,public,37000
27,Farmaceuter,public,37300
28,Farmaceuter,public,37500
29,Farmaceuter,public,37556
30,Farmaceuter,public,37700
31,Farmaceuter,public,37900
32,Farmaceuter,public,38150
33,Farmaceuter,public,38350
34,Farmaceuter,public,38700
35,Farmaceuter,public,38900
36,Farmaceuter,public,39000
37,Farmaceuter,public,39200
38,Farmaceuter,public,39450
39,Farmaceuter,public,39500
40,Farmaceuter,public,39800
41,Farmaceuter,public,39902
42,Farmaceuter,public,40100
43,Farmaceuter,public,40300
44,Farmaceuter,public,40500
45,Farmaceuter,public,40700
46,Farmaceuter,public,40850
47,Farmaceuter,public,41000
48,Farmaceuter,public,41300
49,Farmaceuter,public,41600
50,Farmaceuter,public,41800
51,Farmaceuter,public,42000
53,Farmaceuter,public,42285
54,Farmaceuter,public,42500
55,Farmaceuter,public,42600
56,Farmaceuter,public,42800
57,Farmaceuter,public,43000
58,Farmaceuter,public,43150
59,Farmaceuter,public,43500
60,Farmaceuter,public,43880
61,Farmaceuter,public,44000
62,Farmaceuter,public,44200
63,Farmaceuter,public,44800
64,Farmaceuter,public,45000
67,Farmaceuter,public,45250
68,Farmaceuter,public,45850
69,Farmaceuter,public,46000
70,Farmaceuter,public,46200
71,Farmaceuter,public,46400
72,Farmaceuter,public,46600
73,Farmaceuter,public,47000
74,Farmaceuter,public,47100
75,Farmaceuter,public,47200
76,Farmaceuter,public,47500
77,Farmaceuter,public,47850
78,Farmaceuter,public,48500
79,Farmaceuter,public,48900
80,Farmaceuter,public,49000
81,Farmaceuter,public,49400
82,Farmaceuter,public,49862
83,Farmaceuter,public,50000
84,Farmaceuter,public,50100
85,Farmaceuter,public,50312
86,Farmaceuter,public,50862
87,Farmaceuter,public,51400
88,Farmaceuter,public,52150
89,Farmaceuter,public,52600
90,Farmaceuter,public,52900
91,Farmaceuter,public,53000
92,Farmaceuter,public,54650
93,Farmaceuter,public,55862
94,Farmaceuter,public,56100
95,Farmaceuter,public,57000
96,Farmaceuter,public,58100
97,Farmaceuter,public,61600
