percentile,profession,publicprivate,income
3,fysioterapeut,private,27300
4,fysioterapeut,private,27500
5,fysioterapeut,private,27825
6,fysioterapeut,private,28000
7,fysioterapeut,private,28100
8,fysioterapeut,private,28300
9,fysioterapeut,private,28500
10,fysioterapeut,private,28700
11,fysioterapeut,private,29000
13,fysioterapeut,private,29200
14,fysioterapeut,private,29500
15,fysioterapeut,private,29600
16,fysioterapeut,private,30000
19,fysioterapeut,private,30230
20,fysioterapeut,private,30500
22,fysioterapeut,private,30750
23,fysioterapeut,private,30900
24,fysioterapeut,private,31000
25,fysioterapeut,private,31200
26,fysioterapeut,private,31485
27,fysioterapeut,private,31700
28,fysioterapeut,private,31800
29,fysioterapeut,private,32000
32,fysioterapeut,private,32200
33,fysioterapeut,private,32450
34,fysioterapeut,private,32500
35,fysioterapeut,private,32650
36,fysioterapeut,private,32843
37,fysioterapeut,private,33000
39,fysioterapeut,private,33200
40,fysioterapeut,private,33400
41,fysioterapeut,private,33500
42,fysioterapeut,private,33650
43,fysioterapeut,private,33800
44,fysioterapeut,private,34000
46,fysioterapeut,private,34100
47,fysioterapeut,private,34200
48,fysioterapeut,private,34300
49,fysioterapeut,private,34500
50,fysioterapeut,private,34808
51,fysioterapeut,private,35000
53,fysioterapeut,private,35050
54,fysioterapeut,private,35200
55,fysioterapeut,private,35400
56,fysioterapeut,private,35500
58,fysioterapeut,private,35770
59,fysioterapeut,private,35875
60,fysioterapeut,private,36000
61,fysioterapeut,private,36100
62,fysioterapeut,private,36200
63,fysioterapeut,private,36300
64,fysioterapeut,private,36500
65,fysioterapeut,private,36600
66,fysioterapeut,private,36700
67,fysioterapeut,private,37000
69,fysioterapeut,private,37040
70,fysioterapeut,private,37300
71,fysioterapeut,private,37500
72,fysioterapeut,private,37600
73,fysioterapeut,private,37900
74,fysioterapeut,private,38000
75,fysioterapeut,private,38200
76,fysioterapeut,private,38380
77,fysioterapeut,private,38500
78,fysioterapeut,private,38750
79,fysioterapeut,private,38950
80,fysioterapeut,private,39000
81,fysioterapeut,private,39370
82,fysioterapeut,private,39500
83,fysioterapeut,private,39870
84,fysioterapeut,private,40000
85,fysioterapeut,private,40150
86,fysioterapeut,private,40500
87,fysioterapeut,private,40800
88,fysioterapeut,private,41166
89,fysioterapeut,private,41650
90,fysioterapeut,private,42000
91,fysioterapeut,private,42350
92,fysioterapeut,private,42800
93,fysioterapeut,private,43570
94,fysioterapeut,private,44500
95,fysioterapeut,private,46000
96,fysioterapeut,private,48050
97,fysioterapeut,private,50000
