percentile,profession,publicprivate,income
3,fysioterapeut,public,27000
4,fysioterapeut,public,27250
5,fysioterapeut,public,27550
6,fysioterapeut,public,27850
7,fysioterapeut,public,28000
8,fysioterapeut,public,28100
9,fysioterapeut,public,28400
10,fysioterapeut,public,28500
11,fysioterapeut,public,28750
12,fysioterapeut,public,29000
13,fysioterapeut,public,29080
14,fysioterapeut,public,29270
15,fysioterapeut,public,29400
16,fysioterapeut,public,29500
17,fysioterapeut,public,29685
18,fysioterapeut,public,29800
19,fysioterapeut,public,30000
21,fysioterapeut,public,30200
22,fysioterapeut,public,30350
23,fysioterapeut,public,30500
24,fysioterapeut,public,30600
25,fysioterapeut,public,30800
26,fysioterapeut,public,30900
27,fysioterapeut,public,31000
28,fysioterapeut,public,31150
29,fysioterapeut,public,31300
30,fysioterapeut,public,31500
31,fysioterapeut,public,31600
32,fysioterapeut,public,31740
33,fysioterapeut,public,31900
34,fysioterapeut,public,32000
35,fysioterapeut,public,32100
36,fysioterapeut,public,32250
37,fysioterapeut,public,32400
38,fysioterapeut,public,32500
39,fysioterapeut,public,32650
40,fysioterapeut,public,32790
41,fysioterapeut,public,32900
42,fysioterapeut,public,33000
43,fysioterapeut,public,33050
44,fysioterapeut,public,33120
45,fysioterapeut,public,33250
46,fysioterapeut,public,33400
47,fysioterapeut,public,33500
48,fysioterapeut,public,33600
49,fysioterapeut,public,33750
50,fysioterapeut,public,33900
51,fysioterapeut,public,34000
52,fysioterapeut,public,34100
53,fysioterapeut,public,34200
54,fysioterapeut,public,34350
55,fysioterapeut,public,34500
56,fysioterapeut,public,34550
57,fysioterapeut,public,34700
58,fysioterapeut,public,34800
59,fysioterapeut,public,34900
60,fysioterapeut,public,35000
61,fysioterapeut,public,35071
62,fysioterapeut,public,35200
63,fysioterapeut,public,35370
64,fysioterapeut,public,35500
65,fysioterapeut,public,35600
66,fysioterapeut,public,35700
67,fysioterapeut,public,35850
68,fysioterapeut,public,36000
69,fysioterapeut,public,36021
70,fysioterapeut,public,36200
71,fysioterapeut,public,36393
72,fysioterapeut,public,36500
73,fysioterapeut,public,36645
74,fysioterapeut,public,36800
75,fysioterapeut,public,37000
76,fysioterapeut,public,37100
77,fysioterapeut,public,37289
78,fysioterapeut,public,37500
79,fysioterapeut,public,37700
80,fysioterapeut,public,37900
81,fysioterapeut,public,38050
82,fysioterapeut,public,38250
83,fysioterapeut,public,38500
84,fysioterapeut,public,38840
85,fysioterapeut,public,39000
86,fysioterapeut,public,39500
87,fysioterapeut,public,39800
88,fysioterapeut,public,40200
89,fysioterapeut,public,40700
90,fysioterapeut,public,41200
91,fysioterapeut,public,42000
92,fysioterapeut,public,42700
93,fysioterapeut,public,43300
94,fysioterapeut,public,44400
95,fysioterapeut,public,45500
96,fysioterapeut,public,47300
97,fysioterapeut,public,49100
