percentile,profession,publicprivate,income
3,Fysioterapeut/Sjukgymnast,public,26000
4,Fysioterapeut/Sjukgymnast,public,26200
5,Fysioterapeut/Sjukgymnast,public,26500
6,Fysioterapeut/Sjukgymnast,public,26650
7,Fysioterapeut/Sjukgymnast,public,26900
8,Fysioterapeut/Sjukgymnast,public,27000
9,Fysioterapeut/Sjukgymnast,public,27200
10,Fysioterapeut/Sjukgymnast,public,27336
11,Fysioterapeut/Sjukgymnast,public,27500
12,Fysioterapeut/Sjukgymnast,public,27600
13,Fysioterapeut/Sjukgymnast,public,27800
14,Fysioterapeut/Sjukgymnast,public,27970
15,Fysioterapeut/Sjukgymnast,public,28000
16,Fysioterapeut/Sjukgymnast,public,28100
17,Fysioterapeut/Sjukgymnast,public,28300
18,Fysioterapeut/Sjukgymnast,public,28500
19,Fysioterapeut/Sjukgymnast,public,28600
20,Fysioterapeut/Sjukgymnast,public,28880
21,Fysioterapeut/Sjukgymnast,public,29000
22,Fysioterapeut/Sjukgymnast,public,29050
23,Fysioterapeut/Sjukgymnast,public,29200
24,Fysioterapeut/Sjukgymnast,public,29350
25,Fysioterapeut/Sjukgymnast,public,29500
26,Fysioterapeut/Sjukgymnast,public,29600
27,Fysioterapeut/Sjukgymnast,public,29750
28,Fysioterapeut/Sjukgymnast,public,29900
29,Fysioterapeut/Sjukgymnast,public,30000
31,Fysioterapeut/Sjukgymnast,public,30100
32,Fysioterapeut/Sjukgymnast,public,30200
33,Fysioterapeut/Sjukgymnast,public,30325
34,Fysioterapeut/Sjukgymnast,public,30500
36,Fysioterapeut/Sjukgymnast,public,30700
37,Fysioterapeut/Sjukgymnast,public,30800
38,Fysioterapeut/Sjukgymnast,public,30950
39,Fysioterapeut/Sjukgymnast,public,31000
40,Fysioterapeut/Sjukgymnast,public,31050
41,Fysioterapeut/Sjukgymnast,public,31200
42,Fysioterapeut/Sjukgymnast,public,31300
43,Fysioterapeut/Sjukgymnast,public,31400
44,Fysioterapeut/Sjukgymnast,public,31500
45,Fysioterapeut/Sjukgymnast,public,31600
46,Fysioterapeut/Sjukgymnast,public,31700
47,Fysioterapeut/Sjukgymnast,public,31850
48,Fysioterapeut/Sjukgymnast,public,32000
50,Fysioterapeut/Sjukgymnast,public,32065
51,Fysioterapeut/Sjukgymnast,public,32200
52,Fysioterapeut/Sjukgymnast,public,32300
53,Fysioterapeut/Sjukgymnast,public,32400
54,Fysioterapeut/Sjukgymnast,public,32500
55,Fysioterapeut/Sjukgymnast,public,32626
56,Fysioterapeut/Sjukgymnast,public,32750
57,Fysioterapeut/Sjukgymnast,public,32845
58,Fysioterapeut/Sjukgymnast,public,32950
59,Fysioterapeut/Sjukgymnast,public,33000
61,Fysioterapeut/Sjukgymnast,public,33150
62,Fysioterapeut/Sjukgymnast,public,33300
63,Fysioterapeut/Sjukgymnast,public,33500
65,Fysioterapeut/Sjukgymnast,public,33700
66,Fysioterapeut/Sjukgymnast,public,33800
67,Fysioterapeut/Sjukgymnast,public,34000
69,Fysioterapeut/Sjukgymnast,public,34120
70,Fysioterapeut/Sjukgymnast,public,34300
71,Fysioterapeut/Sjukgymnast,public,34500
72,Fysioterapeut/Sjukgymnast,public,34600
73,Fysioterapeut/Sjukgymnast,public,34750
74,Fysioterapeut/Sjukgymnast,public,34900
75,Fysioterapeut/Sjukgymnast,public,35000
76,Fysioterapeut/Sjukgymnast,public,35090
77,Fysioterapeut/Sjukgymnast,public,35300
78,Fysioterapeut/Sjukgymnast,public,35500
79,Fysioterapeut/Sjukgymnast,public,35700
80,Fysioterapeut/Sjukgymnast,public,36000
81,Fysioterapeut/Sjukgymnast,public,36050
82,Fysioterapeut/Sjukgymnast,public,36300
83,Fysioterapeut/Sjukgymnast,public,36500
84,Fysioterapeut/Sjukgymnast,public,36800
85,Fysioterapeut/Sjukgymnast,public,37000
86,Fysioterapeut/Sjukgymnast,public,37500
87,Fysioterapeut/Sjukgymnast,public,37800
88,Fysioterapeut/Sjukgymnast,public,38150
89,Fysioterapeut/Sjukgymnast,public,38600
90,Fysioterapeut/Sjukgymnast,public,39100
91,Fysioterapeut/Sjukgymnast,public,40000
92,Fysioterapeut/Sjukgymnast,public,40600
93,Fysioterapeut/Sjukgymnast,public,41500
94,Fysioterapeut/Sjukgymnast,public,42400
95,Fysioterapeut/Sjukgymnast,public,43300
96,Fysioterapeut/Sjukgymnast,public,45000
97,Fysioterapeut/Sjukgymnast,public,46700
