percentile,profession,publicprivate,income
3,Högskoleingenjör,private,28500
4,Högskoleingenjör,private,29000
5,Högskoleingenjör,private,29500
6,Högskoleingenjör,private,30000
7,Högskoleingenjör,private,30200
8,Högskoleingenjör,private,30630
9,Högskoleingenjör,private,31000
10,Högskoleingenjör,private,31500
11,Högskoleingenjör,private,32000
13,Högskoleingenjör,private,32460
14,Högskoleingenjör,private,32800
15,Högskoleingenjör,private,33000
16,Högskoleingenjör,private,33350
17,Högskoleingenjör,private,33604
18,Högskoleingenjör,private,34000
19,Högskoleingenjör,private,34100
20,Högskoleingenjör,private,34500
21,Högskoleingenjör,private,34800
22,Högskoleingenjör,private,35000
23,Högskoleingenjör,private,35096
24,Högskoleingenjör,private,35500
25,Högskoleingenjör,private,35776
26,Högskoleingenjör,private,36000
27,Högskoleingenjör,private,36150
28,Högskoleingenjör,private,36500
29,Högskoleingenjör,private,36700
30,Högskoleingenjör,private,37000
32,Högskoleingenjör,private,37350
33,Högskoleingenjör,private,37600
34,Högskoleingenjör,private,37900
35,Högskoleingenjör,private,38000
36,Högskoleingenjör,private,38210
37,Högskoleingenjör,private,38500
38,Högskoleingenjör,private,38760
39,Högskoleingenjör,private,39000
40,Högskoleingenjör,private,39139
41,Högskoleingenjör,private,39500
42,Högskoleingenjör,private,39700
43,Högskoleingenjör,private,40000
45,Högskoleingenjör,private,40150
46,Högskoleingenjör,private,40500
47,Högskoleingenjör,private,40700
48,Högskoleingenjör,private,41000
50,Högskoleingenjör,private,41400
51,Högskoleingenjör,private,41700
52,Högskoleingenjör,private,42000
54,Högskoleingenjör,private,42330
55,Högskoleingenjör,private,42552
56,Högskoleingenjör,private,42950
57,Högskoleingenjör,private,43000
58,Högskoleingenjör,private,43362
59,Högskoleingenjör,private,43648
60,Högskoleingenjör,private,44000
61,Högskoleingenjör,private,44200
62,Högskoleingenjör,private,44500
63,Högskoleingenjör,private,44870
64,Högskoleingenjör,private,45000
65,Högskoleingenjör,private,45100
66,Högskoleingenjör,private,45500
67,Högskoleingenjör,private,45842
68,Högskoleingenjör,private,46000
69,Högskoleingenjör,private,46300
70,Högskoleingenjör,private,46630
71,Högskoleingenjör,private,47000
72,Högskoleingenjör,private,47300
73,Högskoleingenjör,private,47700
74,Högskoleingenjör,private,48000
75,Högskoleingenjör,private,48400
76,Högskoleingenjör,private,48900
77,Högskoleingenjör,private,49200
78,Högskoleingenjör,private,49700
79,Högskoleingenjör,private,50000
80,Högskoleingenjör,private,50500
81,Högskoleingenjör,private,51000
82,Högskoleingenjör,private,51450
83,Högskoleingenjör,private,52000
84,Högskoleingenjör,private,52612
85,Högskoleingenjör,private,53125
86,Högskoleingenjör,private,54000
87,Högskoleingenjör,private,54808
88,Högskoleingenjör,private,55305
89,Högskoleingenjör,private,56000
90,Högskoleingenjör,private,57000
91,Högskoleingenjör,private,58000
92,Högskoleingenjör,private,59350
93,Högskoleingenjör,private,60635
94,Högskoleingenjör,private,62003
95,Högskoleingenjör,private,64000
96,Högskoleingenjör,private,66884
97,Högskoleingenjör,private,70000
