percentile,profession,publicprivate,income
3,högskoleingenjör,public,30400
4,högskoleingenjör,public,31000
5,högskoleingenjör,public,31900
6,högskoleingenjör,public,32350
7,högskoleingenjör,public,32600
8,högskoleingenjör,public,33000
9,högskoleingenjör,public,33355
10,högskoleingenjör,public,33500
11,högskoleingenjör,public,34000
13,högskoleingenjör,public,34300
14,högskoleingenjör,public,34500
15,högskoleingenjör,public,34800
16,högskoleingenjör,public,35000
18,högskoleingenjör,public,35300
19,högskoleingenjör,public,35700
20,högskoleingenjör,public,36000
21,högskoleingenjör,public,36100
22,högskoleingenjör,public,36400
23,högskoleingenjör,public,36600
24,högskoleingenjör,public,36800
25,högskoleingenjör,public,37000
26,högskoleingenjör,public,37100
27,högskoleingenjör,public,37400
28,högskoleingenjör,public,37500
29,högskoleingenjör,public,37700
30,högskoleingenjör,public,38000
31,högskoleingenjör,public,38012
32,högskoleingenjör,public,38300
33,högskoleingenjör,public,38500
34,högskoleingenjör,public,38703
35,högskoleingenjör,public,39000
36,högskoleingenjör,public,39183
37,högskoleingenjör,public,39500
38,högskoleingenjör,public,39550
39,högskoleingenjör,public,39800
40,högskoleingenjör,public,40000
41,högskoleingenjör,public,40050
42,högskoleingenjör,public,40400
43,högskoleingenjör,public,40500
44,högskoleingenjör,public,40751
45,högskoleingenjör,public,41000
46,högskoleingenjör,public,41100
47,högskoleingenjör,public,41400
48,högskoleingenjör,public,41615
49,högskoleingenjör,public,41850
50,högskoleingenjör,public,42000
52,högskoleingenjör,public,42300
53,högskoleingenjör,public,42600
54,högskoleingenjör,public,42900
55,högskoleingenjör,public,43000
56,högskoleingenjör,public,43200
57,högskoleingenjör,public,43500
58,högskoleingenjör,public,43800
59,högskoleingenjör,public,44000
61,högskoleingenjör,public,44250
62,högskoleingenjör,public,44550
63,högskoleingenjör,public,44860
64,högskoleingenjör,public,45000
65,högskoleingenjör,public,45100
66,högskoleingenjör,public,45500
67,högskoleingenjör,public,45700
68,högskoleingenjör,public,46000
69,högskoleingenjör,public,46300
70,högskoleingenjör,public,46500
71,högskoleingenjör,public,46900
72,högskoleingenjör,public,47000
73,högskoleingenjör,public,47100
74,högskoleingenjör,public,47500
75,högskoleingenjör,public,47750
76,högskoleingenjör,public,48000
77,högskoleingenjör,public,48400
78,högskoleingenjör,public,48700
79,högskoleingenjör,public,49000
80,högskoleingenjör,public,49350
81,högskoleingenjör,public,49800
82,högskoleingenjör,public,50000
83,högskoleingenjör,public,50300
84,högskoleingenjör,public,50975
85,högskoleingenjör,public,51300
86,högskoleingenjör,public,51700
87,högskoleingenjör,public,52000
88,högskoleingenjör,public,52675
89,högskoleingenjör,public,53400
90,högskoleingenjör,public,54000
91,högskoleingenjör,public,54800
92,högskoleingenjör,public,55850
93,högskoleingenjör,public,56800
94,högskoleingenjör,public,58000
95,högskoleingenjör,public,59100
96,högskoleingenjör,public,60884
97,högskoleingenjör,public,63000
