percentile,profession,publicprivate,income
3,jurist,private,29800
4,jurist,private,30000
5,jurist,private,30568
6,jurist,private,31000
7,jurist,private,31862
8,jurist,private,32000
9,jurist,private,32800
10,jurist,private,33400
11,jurist,private,34000
12,jurist,private,34500
13,jurist,private,35000
14,jurist,private,35447
15,jurist,private,36000
17,jurist,private,36900
18,jurist,private,37000
19,jurist,private,37800
20,jurist,private,38000
21,jurist,private,38500
22,jurist,private,39000
23,jurist,private,40000
25,jurist,private,40500
26,jurist,private,41250
27,jurist,private,42000
28,jurist,private,42500
29,jurist,private,43000
30,jurist,private,43400
31,jurist,private,44000
32,jurist,private,44237
33,jurist,private,45000
35,jurist,private,45500
36,jurist,private,46000
37,jurist,private,46878
38,jurist,private,47500
39,jurist,private,48000
40,jurist,private,48862
41,jurist,private,49500
42,jurist,private,50000
44,jurist,private,50900
45,jurist,private,51500
46,jurist,private,52000
47,jurist,private,52616
48,jurist,private,53000
49,jurist,private,54000
50,jurist,private,54700
51,jurist,private,55000
52,jurist,private,56000
53,jurist,private,56700
54,jurist,private,57036
55,jurist,private,58000
56,jurist,private,58426
57,jurist,private,59000
58,jurist,private,60000
60,jurist,private,60800
61,jurist,private,61535
62,jurist,private,62062
63,jurist,private,62865
64,jurist,private,63500
65,jurist,private,64200
66,jurist,private,65000
67,jurist,private,65600
68,jurist,private,66500
69,jurist,private,67300
70,jurist,private,68200
71,jurist,private,69500
72,jurist,private,70000
73,jurist,private,71000
74,jurist,private,72010
75,jurist,private,73150
76,jurist,private,74000
77,jurist,private,75000
78,jurist,private,75833
79,jurist,private,76875
80,jurist,private,77973
81,jurist,private,79000
82,jurist,private,80000
83,jurist,private,81000
84,jurist,private,82500
85,jurist,private,83862
86,jurist,private,85000
87,jurist,private,86500
88,jurist,private,88862
89,jurist,private,91000
90,jurist,private,93350
91,jurist,private,96000
92,jurist,private,99000
93,jurist,private,101500
94,jurist,private,105000
95,jurist,private,109000
96,jurist,private,115000
97,jurist,private,121000
