percentile,profession,publicprivate,income
3,Jurist,public,28000
4,Jurist,public,28600
5,Jurist,public,29000
6,Jurist,public,29400
8,Jurist,public,29600
9,Jurist,public,30000
10,Jurist,public,30300
11,Jurist,public,30700
12,Jurist,public,31000
13,Jurist,public,31500
14,Jurist,public,32000
15,Jurist,public,32600
16,Jurist,public,33000
17,Jurist,public,33500
18,Jurist,public,33800
19,Jurist,public,34000
20,Jurist,public,34300
21,Jurist,public,34800
22,Jurist,public,35000
23,Jurist,public,35450
24,Jurist,public,35800
25,Jurist,public,36000
26,Jurist,public,36200
27,Jurist,public,36600
28,Jurist,public,36950
29,Jurist,public,37000
30,Jurist,public,37350
31,Jurist,public,37600
32,Jurist,public,38000
33,Jurist,public,38200
34,Jurist,public,38500
35,Jurist,public,38800
36,Jurist,public,39000
37,Jurist,public,39500
38,Jurist,public,40000
40,Jurist,public,40500
41,Jurist,public,41000
42,Jurist,public,41100
43,Jurist,public,41500
44,Jurist,public,41900
45,Jurist,public,42100
46,Jurist,public,42500
47,Jurist,public,43000
48,Jurist,public,43150
49,Jurist,public,43600
50,Jurist,public,44000
51,Jurist,public,44200
52,Jurist,public,44600
53,Jurist,public,45000
54,Jurist,public,45200
55,Jurist,public,45700
56,Jurist,public,46000
57,Jurist,public,46300
58,Jurist,public,46700
59,Jurist,public,47000
60,Jurist,public,47500
61,Jurist,public,47900
62,Jurist,public,48200
63,Jurist,public,48600
64,Jurist,public,49000
65,Jurist,public,49450
66,Jurist,public,49900
67,Jurist,public,50000
68,Jurist,public,50500
69,Jurist,public,51000
70,Jurist,public,51500
71,Jurist,public,52000
72,Jurist,public,52800
73,Jurist,public,53300
74,Jurist,public,54100
75,Jurist,public,54800
76,Jurist,public,55400
77,Jurist,public,56000
78,Jurist,public,57000
79,Jurist,public,58000
80,Jurist,public,59000
81,Jurist,public,60000
82,Jurist,public,61200
83,Jurist,public,62100
84,Jurist,public,62850
85,Jurist,public,63500
86,Jurist,public,64300
87,Jurist,public,65000
88,Jurist,public,65500
89,Jurist,public,66375
90,Jurist,public,67000
91,Jurist,public,68000
92,Jurist,public,69000
93,Jurist,public,70500
94,Jurist,public,72700
95,Jurist,public,75700
96,Jurist,public,77900
97,Jurist,public,81700
