percentile,profession,publicprivate,income
3,Miljövetare,private,26000
4,Miljövetare,private,26950
5,Miljövetare,private,27400
6,Miljövetare,private,27750
7,Miljövetare,private,28000
8,Miljövetare,private,28200
9,Miljövetare,private,28700
10,Miljövetare,private,29000
12,Miljövetare,private,29400
13,Miljövetare,private,29580
14,Miljövetare,private,30000
15,Miljövetare,private,30250
16,Miljövetare,private,30500
17,Miljövetare,private,30800
18,Miljövetare,private,31100
19,Miljövetare,private,31200
20,Miljövetare,private,31440
21,Miljövetare,private,31600
22,Miljövetare,private,32000
23,Miljövetare,private,32200
24,Miljövetare,private,32400
25,Miljövetare,private,32556
26,Miljövetare,private,32800
27,Miljövetare,private,33000
28,Miljövetare,private,33150
29,Miljövetare,private,33350
30,Miljövetare,private,33578
31,Miljövetare,private,33775
32,Miljövetare,private,33950
33,Miljövetare,private,34000
34,Miljövetare,private,34200
35,Miljövetare,private,34500
36,Miljövetare,private,34620
37,Miljövetare,private,34900
38,Miljövetare,private,35000
40,Miljövetare,private,35152
41,Miljövetare,private,35300
42,Miljövetare,private,35500
43,Miljövetare,private,35700
44,Miljövetare,private,36000
45,Miljövetare,private,36040
46,Miljövetare,private,36500
47,Miljövetare,private,36544
48,Miljövetare,private,36900
49,Miljövetare,private,37100
50,Miljövetare,private,37425
51,Miljövetare,private,37575
52,Miljövetare,private,37900
53,Miljövetare,private,38000
55,Miljövetare,private,38012
56,Miljövetare,private,38500
57,Miljövetare,private,38600
58,Miljövetare,private,38974
59,Miljövetare,private,39000
60,Miljövetare,private,39500
61,Miljövetare,private,39800
62,Miljövetare,private,40000
64,Miljövetare,private,40200
65,Miljövetare,private,40500
66,Miljövetare,private,40582
67,Miljövetare,private,40890
68,Miljövetare,private,41200
69,Miljövetare,private,41500
70,Miljövetare,private,41800
71,Miljövetare,private,42000
72,Miljövetare,private,42099
73,Miljövetare,private,42700
74,Miljövetare,private,43000
75,Miljövetare,private,43500
76,Miljövetare,private,43800
77,Miljövetare,private,44000
78,Miljövetare,private,44500
79,Miljövetare,private,44700
80,Miljövetare,private,44900
81,Miljövetare,private,45000
82,Miljövetare,private,45500
83,Miljövetare,private,46000
84,Miljövetare,private,46700
85,Miljövetare,private,47000
86,Miljövetare,private,47500
87,Miljövetare,private,48000
88,Miljövetare,private,48500
89,Miljövetare,private,49500
90,Miljövetare,private,50000
91,Miljövetare,private,51250
92,Miljövetare,private,52000
93,Miljövetare,private,52300
94,Miljövetare,private,54193
95,Miljövetare,private,55383
96,Miljövetare,private,56377
97,Miljövetare,private,61000
