percentile,profession,publicprivate,income
3,miljövetare,public,28000
4,miljövetare,public,28500
5,miljövetare,public,29000
6,miljövetare,public,29400
7,miljövetare,public,29700
8,miljövetare,public,30000
9,miljövetare,public,30050
10,miljövetare,public,30450
11,miljövetare,public,30600
12,miljövetare,public,31000
14,miljövetare,public,31250
15,miljövetare,public,31500
16,miljövetare,public,31700
17,miljövetare,public,31900
18,miljövetare,public,32000
19,miljövetare,public,32100
20,miljövetare,public,32300
21,miljövetare,public,32500
22,miljövetare,public,32550
23,miljövetare,public,32750
24,miljövetare,public,32900
25,miljövetare,public,33000
26,miljövetare,public,33050
27,miljövetare,public,33200
28,miljövetare,public,33400
29,miljövetare,public,33500
30,miljövetare,public,33700
31,miljövetare,public,33850
32,miljövetare,public,34000
34,miljövetare,public,34100
35,miljövetare,public,34200
36,miljövetare,public,34300
37,miljövetare,public,34500
38,miljövetare,public,34548
39,miljövetare,public,34700
40,miljövetare,public,34800
41,miljövetare,public,35000
43,miljövetare,public,35100
44,miljövetare,public,35300
45,miljövetare,public,35400
46,miljövetare,public,35500
47,miljövetare,public,35600
48,miljövetare,public,35800
49,miljövetare,public,35900
50,miljövetare,public,36000
52,miljövetare,public,36200
53,miljövetare,public,36300
54,miljövetare,public,36400
55,miljövetare,public,36600
56,miljövetare,public,36815
57,miljövetare,public,37000
58,miljövetare,public,37100
59,miljövetare,public,37200
60,miljövetare,public,37400
61,miljövetare,public,37500
62,miljövetare,public,37800
63,miljövetare,public,38000
64,miljövetare,public,38050
65,miljövetare,public,38250
66,miljövetare,public,38550
67,miljövetare,public,38700
68,miljövetare,public,39000
69,miljövetare,public,39050
70,miljövetare,public,39300
71,miljövetare,public,39500
72,miljövetare,public,39800
73,miljövetare,public,40000
74,miljövetare,public,40200
75,miljövetare,public,40400
76,miljövetare,public,40800
77,miljövetare,public,41000
78,miljövetare,public,41400
79,miljövetare,public,41746
80,miljövetare,public,42000
81,miljövetare,public,42200
82,miljövetare,public,42600
83,miljövetare,public,43000
84,miljövetare,public,43350
85,miljövetare,public,43800
86,miljövetare,public,44375
87,miljövetare,public,45000
88,miljövetare,public,45400
89,miljövetare,public,46000
90,miljövetare,public,46600
91,miljövetare,public,47400
92,miljövetare,public,48000
93,miljövetare,public,49579
94,miljövetare,public,51150
95,miljövetare,public,52500
96,miljövetare,public,54000
97,miljövetare,public,56700
