percentile,profession,publicprivate,income
3,Personalvetare,private,28000
4,Personalvetare,private,29000
5,Personalvetare,private,29860
6,Personalvetare,private,30000
7,Personalvetare,private,30500
8,Personalvetare,private,31000
9,Personalvetare,private,31914
10,Personalvetare,private,32000
11,Personalvetare,private,32600
12,Personalvetare,private,33000
13,Personalvetare,private,33300
14,Personalvetare,private,34000
15,Personalvetare,private,34117
16,Personalvetare,private,35000
18,Personalvetare,private,35200
19,Personalvetare,private,35560
20,Personalvetare,private,35840
21,Personalvetare,private,36000
22,Personalvetare,private,36700
23,Personalvetare,private,37000
24,Personalvetare,private,37428
25,Personalvetare,private,37720
26,Personalvetare,private,38000
27,Personalvetare,private,38250
28,Personalvetare,private,38600
29,Personalvetare,private,39000
30,Personalvetare,private,39200
31,Personalvetare,private,39750
32,Personalvetare,private,40000
34,Personalvetare,private,40500
35,Personalvetare,private,40700
36,Personalvetare,private,41000
37,Personalvetare,private,41156
38,Personalvetare,private,41500
39,Personalvetare,private,42000
40,Personalvetare,private,42500
41,Personalvetare,private,42700
42,Personalvetare,private,43000
43,Personalvetare,private,43571
44,Personalvetare,private,44000
45,Personalvetare,private,44600
46,Personalvetare,private,45000
48,Personalvetare,private,45500
49,Personalvetare,private,46000
50,Personalvetare,private,46150
51,Personalvetare,private,46600
52,Personalvetare,private,47000
53,Personalvetare,private,47500
54,Personalvetare,private,47950
55,Personalvetare,private,48000
56,Personalvetare,private,48500
57,Personalvetare,private,49034
58,Personalvetare,private,49500
59,Personalvetare,private,50000
60,Personalvetare,private,50250
61,Personalvetare,private,50800
62,Personalvetare,private,51112
63,Personalvetare,private,51862
64,Personalvetare,private,52300
65,Personalvetare,private,52967
66,Personalvetare,private,53560
67,Personalvetare,private,54000
68,Personalvetare,private,54174
69,Personalvetare,private,55000
71,Personalvetare,private,56000
72,Personalvetare,private,56700
73,Personalvetare,private,57000
74,Personalvetare,private,57500
75,Personalvetare,private,58181
76,Personalvetare,private,59150
77,Personalvetare,private,60000
78,Personalvetare,private,60254
79,Personalvetare,private,61060
80,Personalvetare,private,62000
81,Personalvetare,private,62860
82,Personalvetare,private,64000
83,Personalvetare,private,65000
84,Personalvetare,private,66300
85,Personalvetare,private,67500
86,Personalvetare,private,68000
87,Personalvetare,private,69000
88,Personalvetare,private,70000
89,Personalvetare,private,72000
90,Personalvetare,private,73500
91,Personalvetare,private,75000
92,Personalvetare,private,76993
93,Personalvetare,private,80400
94,Personalvetare,private,83500
95,Personalvetare,private,86400
96,Personalvetare,private,92500
97,Personalvetare,private,100353
