percentile,profession,publicprivate,income
3,Personalvetare,public,28500
4,Personalvetare,public,29000
5,Personalvetare,public,29300
6,Personalvetare,public,29750
7,Personalvetare,public,30000
8,Personalvetare,public,30400
9,Personalvetare,public,30800
10,Personalvetare,public,31000
11,Personalvetare,public,31200
12,Personalvetare,public,31500
13,Personalvetare,public,31900
14,Personalvetare,public,32000
15,Personalvetare,public,32200
16,Personalvetare,public,32500
17,Personalvetare,public,32800
18,Personalvetare,public,33000
19,Personalvetare,public,33300
20,Personalvetare,public,33600
21,Personalvetare,public,34000
22,Personalvetare,public,34150
23,Personalvetare,public,34500
24,Personalvetare,public,34600
25,Personalvetare,public,34800
26,Personalvetare,public,35000
28,Personalvetare,public,35200
29,Personalvetare,public,35500
30,Personalvetare,public,35600
31,Personalvetare,public,35900
32,Personalvetare,public,36000
33,Personalvetare,public,36200
34,Personalvetare,public,36500
35,Personalvetare,public,36650
36,Personalvetare,public,37000
38,Personalvetare,public,37200
39,Personalvetare,public,37500
40,Personalvetare,public,37750
41,Personalvetare,public,38000
42,Personalvetare,public,38020
43,Personalvetare,public,38300
44,Personalvetare,public,38500
45,Personalvetare,public,38700
46,Personalvetare,public,39000
48,Personalvetare,public,39212
49,Personalvetare,public,39500
50,Personalvetare,public,39625
51,Personalvetare,public,40000
53,Personalvetare,public,40100
54,Personalvetare,public,40350
55,Personalvetare,public,40525
56,Personalvetare,public,40800
57,Personalvetare,public,41000
58,Personalvetare,public,41200
59,Personalvetare,public,41400
60,Personalvetare,public,41500
61,Personalvetare,public,41900
62,Personalvetare,public,42000
63,Personalvetare,public,42300
64,Personalvetare,public,42550
65,Personalvetare,public,43000
66,Personalvetare,public,43100
67,Personalvetare,public,43500
68,Personalvetare,public,44000
70,Personalvetare,public,44400
71,Personalvetare,public,44600
72,Personalvetare,public,45000
73,Personalvetare,public,45300
74,Personalvetare,public,45700
75,Personalvetare,public,46000
76,Personalvetare,public,46500
77,Personalvetare,public,47000
78,Personalvetare,public,47100
79,Personalvetare,public,47500
80,Personalvetare,public,48000
81,Personalvetare,public,48500
82,Personalvetare,public,49050
83,Personalvetare,public,49600
84,Personalvetare,public,50000
85,Personalvetare,public,50600
86,Personalvetare,public,51100
87,Personalvetare,public,52000
88,Personalvetare,public,52700
89,Personalvetare,public,53900
90,Personalvetare,public,55000
91,Personalvetare,public,56000
92,Personalvetare,public,56900
93,Personalvetare,public,58200
94,Personalvetare,public,60000
95,Personalvetare,public,62000
96,Personalvetare,public,64200
97,Personalvetare,public,67100
