percentile,profession,publicprivate,income
3,Präst/diakon,private,29630
4,Präst/diakon,private,30200
5,Präst/diakon,private,30564
6,Präst/diakon,private,31000
7,Präst/diakon,private,31310
8,Präst/diakon,private,31600
9,Präst/diakon,private,31800
10,Präst/diakon,private,32000
11,Präst/diakon,private,32010
12,Präst/diakon,private,32400
13,Präst/diakon,private,32500
14,Präst/diakon,private,32800
15,Präst/diakon,private,33000
16,Präst/diakon,private,33100
17,Präst/diakon,private,33300
18,Präst/diakon,private,33500
19,Präst/diakon,private,33600
20,Präst/diakon,private,33800
21,Präst/diakon,private,34000
23,Präst/diakon,private,34040
24,Präst/diakon,private,34300
25,Präst/diakon,private,34500
26,Präst/diakon,private,34600
27,Präst/diakon,private,34810
28,Präst/diakon,private,35000
30,Präst/diakon,private,35200
31,Präst/diakon,private,35400
32,Präst/diakon,private,35500
33,Präst/diakon,private,35600
34,Präst/diakon,private,35700
35,Präst/diakon,private,35970
36,Präst/diakon,private,36000
37,Präst/diakon,private,36100
38,Präst/diakon,private,36200
39,Präst/diakon,private,36325
40,Präst/diakon,private,36500
42,Präst/diakon,private,36600
43,Präst/diakon,private,36750
44,Präst/diakon,private,36950
45,Präst/diakon,private,37000
46,Präst/diakon,private,37200
47,Präst/diakon,private,37403
48,Präst/diakon,private,37500
49,Präst/diakon,private,37656
50,Präst/diakon,private,37950
51,Präst/diakon,private,38000
52,Präst/diakon,private,38100
53,Präst/diakon,private,38370
54,Präst/diakon,private,38500
55,Präst/diakon,private,38600
56,Präst/diakon,private,38700
57,Präst/diakon,private,38972
58,Präst/diakon,private,39000
59,Präst/diakon,private,39300
60,Präst/diakon,private,39450
61,Präst/diakon,private,39550
62,Präst/diakon,private,39768
63,Präst/diakon,private,40000
65,Präst/diakon,private,40450
66,Präst/diakon,private,40700
67,Präst/diakon,private,41000
68,Präst/diakon,private,41200
69,Präst/diakon,private,41500
70,Präst/diakon,private,42000
71,Präst/diakon,private,42400
72,Präst/diakon,private,42680
73,Präst/diakon,private,43150
74,Präst/diakon,private,43550
75,Präst/diakon,private,44000
76,Präst/diakon,private,44500
77,Präst/diakon,private,45000
78,Präst/diakon,private,45500
79,Präst/diakon,private,46500
80,Präst/diakon,private,47500
81,Präst/diakon,private,48300
82,Präst/diakon,private,49100
83,Präst/diakon,private,49900
84,Präst/diakon,private,50000
85,Präst/diakon,private,50600
86,Präst/diakon,private,51100
87,Präst/diakon,private,51650
88,Präst/diakon,private,52000
89,Präst/diakon,private,52800
90,Präst/diakon,private,53200
91,Präst/diakon,private,54100
92,Präst/diakon,private,55000
93,Präst/diakon,private,55300
94,Präst/diakon,private,56200
95,Präst/diakon,private,57000
96,Präst/diakon,private,58250
97,Präst/diakon,private,60000
