percentile,profession,publicprivate,income
3,Psykolog,private,29000
4,Psykolog,private,30000
5,Psykolog,private,30500
6,Psykolog,private,31500
7,Psykolog,private,32380
8,Psykolog,private,33000
9,Psykolog,private,33500
10,Psykolog,private,34000
11,Psykolog,private,34500
12,Psykolog,private,34800
13,Psykolog,private,35000
14,Psykolog,private,35500
15,Psykolog,private,35760
16,Psykolog,private,36000
17,Psykolog,private,36100
18,Psykolog,private,36300
19,Psykolog,private,36500
20,Psykolog,private,36700
21,Psykolog,private,37000
24,Psykolog,private,37200
25,Psykolog,private,37500
28,Psykolog,private,37700
29,Psykolog,private,37950
30,Psykolog,private,38000
32,Psykolog,private,38150
33,Psykolog,private,38300
34,Psykolog,private,38500
36,Psykolog,private,38687
37,Psykolog,private,38800
38,Psykolog,private,39000
41,Psykolog,private,39133
42,Psykolog,private,39300
43,Psykolog,private,39500
45,Psykolog,private,39523
46,Psykolog,private,39800
47,Psykolog,private,39980
48,Psykolog,private,40000
51,Psykolog,private,40050
52,Psykolog,private,40200
53,Psykolog,private,40300
54,Psykolog,private,40500
56,Psykolog,private,40700
57,Psykolog,private,40800
58,Psykolog,private,40900
59,Psykolog,private,41000
61,Psykolog,private,41174
62,Psykolog,private,41400
63,Psykolog,private,41500
64,Psykolog,private,41700
65,Psykolog,private,41800
66,Psykolog,private,42000
70,Psykolog,private,42300
71,Psykolog,private,42500
72,Psykolog,private,42800
73,Psykolog,private,42900
74,Psykolog,private,43000
75,Psykolog,private,43200
76,Psykolog,private,43500
77,Psykolog,private,43700
78,Psykolog,private,44000
79,Psykolog,private,44500
81,Psykolog,private,45000
83,Psykolog,private,45200
84,Psykolog,private,45500
85,Psykolog,private,46000
86,Psykolog,private,46125
87,Psykolog,private,47000
88,Psykolog,private,47600
89,Psykolog,private,48000
90,Psykolog,private,48500
91,Psykolog,private,49000
92,Psykolog,private,50000
94,Psykolog,private,51074
95,Psykolog,private,52750
96,Psykolog,private,53700
97,Psykolog,private,55800
