percentile,profession,publicprivate,income
3,psykolog,public,27500
4,psykolog,public,28000
5,psykolog,public,29000
6,psykolog,public,30000
7,psykolog,public,31000
8,psykolog,public,31500
9,psykolog,public,33000
10,psykolog,public,33200
11,psykolog,public,33500
12,psykolog,public,34000
13,psykolog,public,34150
14,psykolog,public,34500
15,psykolog,public,34700
16,psykolog,public,35000
17,psykolog,public,35150
18,psykolog,public,35400
19,psykolog,public,35500
20,psykolog,public,35750
21,psykolog,public,35900
22,psykolog,public,36000
23,psykolog,public,36200
24,psykolog,public,36350
25,psykolog,public,36500
26,psykolog,public,36600
27,psykolog,public,36800
28,psykolog,public,37000
30,psykolog,public,37100
31,psykolog,public,37200
32,psykolog,public,37400
33,psykolog,public,37500
34,psykolog,public,37700
35,psykolog,public,37900
36,psykolog,public,38000
38,psykolog,public,38200
39,psykolog,public,38300
40,psykolog,public,38500
41,psykolog,public,38550
42,psykolog,public,38710
43,psykolog,public,38900
44,psykolog,public,39000
46,psykolog,public,39150
47,psykolog,public,39350
48,psykolog,public,39500
49,psykolog,public,39600
50,psykolog,public,39700
51,psykolog,public,39870
52,psykolog,public,40000
54,psykolog,public,40200
55,psykolog,public,40306
56,psykolog,public,40500
57,psykolog,public,40600
58,psykolog,public,40800
59,psykolog,public,41000
61,psykolog,public,41200
62,psykolog,public,41400
63,psykolog,public,41500
64,psykolog,public,41700
65,psykolog,public,41800
66,psykolog,public,42000
68,psykolog,public,42200
69,psykolog,public,42350
70,psykolog,public,42500
71,psykolog,public,42700
72,psykolog,public,42900
73,psykolog,public,43000
74,psykolog,public,43100
75,psykolog,public,43400
76,psykolog,public,43550
77,psykolog,public,43800
78,psykolog,public,44000
79,psykolog,public,44100
80,psykolog,public,44450
81,psykolog,public,44600
82,psykolog,public,44945
83,psykolog,public,45000
84,psykolog,public,45200
85,psykolog,public,45500
86,psykolog,public,45900
87,psykolog,public,46000
88,psykolog,public,46300
89,psykolog,public,46600
90,psykolog,public,47000
91,psykolog,public,47300
92,psykolog,public,47940
93,psykolog,public,48500
94,psykolog,public,49000
95,psykolog,public,50000
96,psykolog,public,50600
97,psykolog,public,52000
