percentile,profession,publicprivate,income
3,psykologer,private,31500
4,psykologer,private,33000
5,psykologer,private,34500
6,psykologer,private,35500
7,psykologer,private,36500
8,psykologer,private,37000
9,psykologer,private,37300
10,psykologer,private,37550
11,psykologer,private,37961
12,psykologer,private,38000
14,psykologer,private,38300
15,psykologer,private,38500
16,psykologer,private,38700
17,psykologer,private,39000
19,psykologer,private,39300
20,psykologer,private,39500
21,psykologer,private,39600
22,psykologer,private,39700
23,psykologer,private,40000
27,psykologer,private,40120
28,psykologer,private,40500
29,psykologer,private,40800
30,psykologer,private,41000
34,psykologer,private,41100
35,psykologer,private,41500
37,psykologer,private,41650
38,psykologer,private,41900
39,psykologer,private,42000
43,psykologer,private,42250
44,psykologer,private,42500
46,psykologer,private,42550
47,psykologer,private,42850
48,psykologer,private,43000
51,psykologer,private,43200
52,psykologer,private,43500
54,psykologer,private,43700
55,psykologer,private,43850
56,psykologer,private,44000
60,psykologer,private,44250
61,psykologer,private,44380
62,psykologer,private,44500
63,psykologer,private,44730
64,psykologer,private,45000
68,psykologer,private,45500
69,psykologer,private,45562
70,psykologer,private,45800
71,psykologer,private,46000
73,psykologer,private,46100
74,psykologer,private,46500
75,psykologer,private,46710
76,psykologer,private,47000
78,psykologer,private,47170
79,psykologer,private,47656
80,psykologer,private,47940
81,psykologer,private,48000
82,psykologer,private,48150
83,psykologer,private,49000
85,psykologer,private,49500
86,psykologer,private,50000
88,psykologer,private,50850
89,psykologer,private,51200
90,psykologer,private,51750
91,psykologer,private,52268
92,psykologer,private,53000
93,psykologer,private,54000
94,psykologer,private,55000
95,psykologer,private,56000
96,psykologer,private,57800
97,psykologer,private,60000
