percentile,profession,publicprivate,income
3,psykologer,public,28500
4,psykologer,public,28900
5,psykologer,public,29500
6,psykologer,public,30000
7,psykologer,public,31500
8,psykologer,public,32000
9,psykologer,public,34000
10,psykologer,public,34500
11,psykologer,public,35000
12,psykologer,public,35300
13,psykologer,public,35600
14,psykologer,public,36000
16,psykologer,public,36300
17,psykologer,public,36500
18,psykologer,public,36750
19,psykologer,public,37000
20,psykologer,public,37100
21,psykologer,public,37400
22,psykologer,public,37500
23,psykologer,public,37700
24,psykologer,public,37860
25,psykologer,public,38000
26,psykologer,public,38100
27,psykologer,public,38300
28,psykologer,public,38450
29,psykologer,public,38500
30,psykologer,public,38750
31,psykologer,public,38900
32,psykologer,public,39000
33,psykologer,public,39200
34,psykologer,public,39300
35,psykologer,public,39500
36,psykologer,public,39600
37,psykologer,public,39700
38,psykologer,public,39900
39,psykologer,public,40000
40,psykologer,public,40063
41,psykologer,public,40200
42,psykologer,public,40400
43,psykologer,public,40500
44,psykologer,public,40650
45,psykologer,public,40900
46,psykologer,public,41000
47,psykologer,public,41100
48,psykologer,public,41200
49,psykologer,public,41400
50,psykologer,public,41500
51,psykologer,public,41750
52,psykologer,public,41850
53,psykologer,public,42000
55,psykologer,public,42200
56,psykologer,public,42400
57,psykologer,public,42500
58,psykologer,public,42700
59,psykologer,public,42850
60,psykologer,public,43000
61,psykologer,public,43050
62,psykologer,public,43250
63,psykologer,public,43450
64,psykologer,public,43550
65,psykologer,public,43700
66,psykologer,public,43914
67,psykologer,public,44000
68,psykologer,public,44200
69,psykologer,public,44400
70,psykologer,public,44543
71,psykologer,public,44700
72,psykologer,public,44900
73,psykologer,public,45000
74,psykologer,public,45100
75,psykologer,public,45300
76,psykologer,public,45500
77,psykologer,public,45700
78,psykologer,public,46000
79,psykologer,public,46100
80,psykologer,public,46400
81,psykologer,public,46600
82,psykologer,public,46988
83,psykologer,public,47050
84,psykologer,public,47300
85,psykologer,public,47600
86,psykologer,public,47867
87,psykologer,public,48100
88,psykologer,public,48500
89,psykologer,public,48850
90,psykologer,public,49100
91,psykologer,public,49500
92,psykologer,public,50000
93,psykologer,public,50400
94,psykologer,public,51100
95,psykologer,public,52100
96,psykologer,public,53000
97,psykologer,public,54400
