percentile,profession,publicprivate,income
3,Samhällsvetare,private,26500
4,Samhällsvetare,private,27000
5,Samhällsvetare,private,27500
6,Samhällsvetare,private,28000
7,Samhällsvetare,private,28500
8,Samhällsvetare,private,28800
9,Samhällsvetare,private,29000
10,Samhällsvetare,private,29300
11,Samhällsvetare,private,29825
12,Samhällsvetare,private,30000
13,Samhällsvetare,private,30100
14,Samhällsvetare,private,30500
15,Samhällsvetare,private,30999
16,Samhällsvetare,private,31053
17,Samhällsvetare,private,31600
18,Samhällsvetare,private,32000
19,Samhällsvetare,private,32300
20,Samhällsvetare,private,32774
21,Samhällsvetare,private,33000
22,Samhällsvetare,private,33030
23,Samhällsvetare,private,33500
24,Samhällsvetare,private,33950
25,Samhällsvetare,private,34000
26,Samhällsvetare,private,34400
27,Samhällsvetare,private,34739
28,Samhällsvetare,private,35000
29,Samhällsvetare,private,35152
30,Samhällsvetare,private,35500
31,Samhällsvetare,private,35800
32,Samhällsvetare,private,36000
33,Samhällsvetare,private,36394
34,Samhällsvetare,private,36700
35,Samhällsvetare,private,37000
36,Samhällsvetare,private,37200
37,Samhällsvetare,private,37500
38,Samhällsvetare,private,38000
40,Samhällsvetare,private,38563
41,Samhällsvetare,private,39000
43,Samhällsvetare,private,39274
44,Samhällsvetare,private,39700
45,Samhällsvetare,private,40000
47,Samhällsvetare,private,40350
48,Samhällsvetare,private,40800
49,Samhällsvetare,private,41044
50,Samhällsvetare,private,41500
51,Samhällsvetare,private,42000
53,Samhällsvetare,private,42500
54,Samhällsvetare,private,43000
55,Samhällsvetare,private,43500
56,Samhällsvetare,private,43800
57,Samhällsvetare,private,44000
58,Samhällsvetare,private,44500
59,Samhällsvetare,private,45000
61,Samhällsvetare,private,45500
62,Samhällsvetare,private,45700
63,Samhällsvetare,private,46150
64,Samhällsvetare,private,46645
65,Samhällsvetare,private,47000
66,Samhällsvetare,private,47500
67,Samhällsvetare,private,48000
69,Samhällsvetare,private,48650
70,Samhällsvetare,private,49000
71,Samhällsvetare,private,49774
72,Samhällsvetare,private,50000
73,Samhällsvetare,private,50200
74,Samhällsvetare,private,50950
75,Samhällsvetare,private,51500
76,Samhällsvetare,private,52000
77,Samhällsvetare,private,52500
78,Samhällsvetare,private,53000
79,Samhällsvetare,private,53964
80,Samhällsvetare,private,54843
81,Samhällsvetare,private,55300
82,Samhällsvetare,private,56000
83,Samhällsvetare,private,57000
84,Samhällsvetare,private,58000
85,Samhällsvetare,private,58500
86,Samhällsvetare,private,59300
87,Samhällsvetare,private,60250
88,Samhällsvetare,private,61700
89,Samhällsvetare,private,63000
90,Samhällsvetare,private,64800
91,Samhällsvetare,private,66824
92,Samhällsvetare,private,68000
93,Samhällsvetare,private,70000
94,Samhällsvetare,private,72000
95,Samhällsvetare,private,74665
96,Samhällsvetare,private,78500
97,Samhällsvetare,private,83500
