percentile,profession,publicprivate,income
3,Samhällsvetare,public,27400
4,Samhällsvetare,public,27723
5,Samhällsvetare,public,28000
6,Samhällsvetare,public,28400
7,Samhällsvetare,public,28680
8,Samhällsvetare,public,29000
9,Samhällsvetare,public,29200
10,Samhällsvetare,public,29600
11,Samhällsvetare,public,30000
12,Samhällsvetare,public,30100
13,Samhällsvetare,public,30500
14,Samhällsvetare,public,30600
15,Samhällsvetare,public,31000
16,Samhällsvetare,public,31100
17,Samhällsvetare,public,31450
18,Samhällsvetare,public,31700
19,Samhällsvetare,public,32000
20,Samhällsvetare,public,32100
21,Samhällsvetare,public,32400
22,Samhällsvetare,public,32700
23,Samhällsvetare,public,33000
24,Samhällsvetare,public,33100
25,Samhällsvetare,public,33500
26,Samhällsvetare,public,33700
27,Samhällsvetare,public,34000
28,Samhällsvetare,public,34125
29,Samhällsvetare,public,34452
30,Samhällsvetare,public,34750
31,Samhällsvetare,public,35000
33,Samhällsvetare,public,35328
34,Samhällsvetare,public,35600
35,Samhällsvetare,public,35900
36,Samhällsvetare,public,36000
37,Samhällsvetare,public,36480
38,Samhällsvetare,public,36600
39,Samhällsvetare,public,36900
40,Samhällsvetare,public,37000
41,Samhällsvetare,public,37300
42,Samhällsvetare,public,37600
43,Samhällsvetare,public,37850
44,Samhällsvetare,public,38000
45,Samhällsvetare,public,38200
46,Samhällsvetare,public,38500
47,Samhällsvetare,public,38750
48,Samhällsvetare,public,39000
49,Samhällsvetare,public,39200
50,Samhällsvetare,public,39500
51,Samhällsvetare,public,39780
52,Samhällsvetare,public,40000
54,Samhällsvetare,public,40300
55,Samhällsvetare,public,40500
56,Samhällsvetare,public,40900
57,Samhällsvetare,public,41000
58,Samhällsvetare,public,41200
59,Samhällsvetare,public,41500
60,Samhällsvetare,public,41900
61,Samhällsvetare,public,42000
62,Samhällsvetare,public,42300
63,Samhällsvetare,public,42500
64,Samhällsvetare,public,42900
65,Samhällsvetare,public,43000
66,Samhällsvetare,public,43400
67,Samhällsvetare,public,43700
68,Samhällsvetare,public,44000
69,Samhällsvetare,public,44250
70,Samhällsvetare,public,44600
71,Samhällsvetare,public,45000
73,Samhällsvetare,public,45500
74,Samhällsvetare,public,45900
75,Samhällsvetare,public,46000
76,Samhällsvetare,public,46500
77,Samhällsvetare,public,46800
78,Samhällsvetare,public,47100
79,Samhällsvetare,public,47500
80,Samhällsvetare,public,48000
81,Samhällsvetare,public,48500
82,Samhällsvetare,public,49000
83,Samhällsvetare,public,49500
84,Samhällsvetare,public,50000
85,Samhällsvetare,public,50751
86,Samhällsvetare,public,51500
87,Samhällsvetare,public,52300
88,Samhällsvetare,public,53000
89,Samhällsvetare,public,54000
90,Samhällsvetare,public,55000
91,Samhällsvetare,public,56000
92,Samhällsvetare,public,57500
93,Samhällsvetare,public,59500
94,Samhällsvetare,public,61000
95,Samhällsvetare,public,62750
96,Samhällsvetare,public,65000
97,Samhällsvetare,public,67600
