percentile,profession,publicprivate,income
3,Socionom,private,27900
4,Socionom,private,28500
5,Socionom,private,29000
6,Socionom,private,29400
7,Socionom,private,29590
8,Socionom,private,29826
9,Socionom,private,30000
10,Socionom,private,30200
11,Socionom,private,30500
12,Socionom,private,30850
13,Socionom,private,31000
14,Socionom,private,31220
15,Socionom,private,31500
16,Socionom,private,31700
17,Socionom,private,32000
18,Socionom,private,32050
19,Socionom,private,32395
20,Socionom,private,32500
21,Socionom,private,32700
22,Socionom,private,33000
23,Socionom,private,33200
24,Socionom,private,33500
25,Socionom,private,33640
26,Socionom,private,33900
27,Socionom,private,34000
29,Socionom,private,34300
30,Socionom,private,34500
31,Socionom,private,34750
32,Socionom,private,35000
34,Socionom,private,35270
35,Socionom,private,35500
37,Socionom,private,35800
38,Socionom,private,36000
40,Socionom,private,36100
41,Socionom,private,36200
42,Socionom,private,36500
43,Socionom,private,36575
44,Socionom,private,36700
45,Socionom,private,36900
46,Socionom,private,37000
47,Socionom,private,37100
48,Socionom,private,37500
49,Socionom,private,37700
50,Socionom,private,37900
51,Socionom,private,38000
53,Socionom,private,38034
54,Socionom,private,38300
55,Socionom,private,38500
56,Socionom,private,38700
57,Socionom,private,39000
59,Socionom,private,39500
60,Socionom,private,39700
61,Socionom,private,40000
64,Socionom,private,40300
65,Socionom,private,40600
66,Socionom,private,41000
68,Socionom,private,41500
69,Socionom,private,42000
71,Socionom,private,42200
72,Socionom,private,42592
73,Socionom,private,43000
75,Socionom,private,43260
76,Socionom,private,43910
77,Socionom,private,44000
78,Socionom,private,44290
79,Socionom,private,44700
80,Socionom,private,45000
82,Socionom,private,45600
83,Socionom,private,46000
84,Socionom,private,47000
85,Socionom,private,47700
86,Socionom,private,48000
87,Socionom,private,48800
88,Socionom,private,49500
89,Socionom,private,50000
90,Socionom,private,50420
91,Socionom,private,51500
92,Socionom,private,53000
93,Socionom,private,53500
94,Socionom,private,54300
95,Socionom,private,55576
96,Socionom,private,57000
97,Socionom,private,60000
