percentile,profession,publicprivate,income
3,Socionom,public,28000
4,Socionom,public,28350
5,Socionom,public,28600
6,Socionom,public,29000
7,Socionom,public,29200
8,Socionom,public,29500
9,Socionom,public,29700
10,Socionom,public,29990
11,Socionom,public,30000
12,Socionom,public,30200
13,Socionom,public,30450
14,Socionom,public,30500
15,Socionom,public,30700
16,Socionom,public,30900
17,Socionom,public,31000
18,Socionom,public,31100
19,Socionom,public,31350
20,Socionom,public,31500
21,Socionom,public,31550
22,Socionom,public,31700
23,Socionom,public,31850
24,Socionom,public,32000
26,Socionom,public,32100
27,Socionom,public,32300
28,Socionom,public,32400
29,Socionom,public,32500
30,Socionom,public,32650
31,Socionom,public,32800
32,Socionom,public,32970
33,Socionom,public,33000
34,Socionom,public,33050
35,Socionom,public,33200
36,Socionom,public,33315
37,Socionom,public,33500
38,Socionom,public,33520
39,Socionom,public,33700
40,Socionom,public,33800
41,Socionom,public,33900
42,Socionom,public,34000
44,Socionom,public,34150
45,Socionom,public,34300
46,Socionom,public,34500
48,Socionom,public,34600
49,Socionom,public,34775
50,Socionom,public,34900
51,Socionom,public,35000
53,Socionom,public,35150
54,Socionom,public,35300
55,Socionom,public,35500
56,Socionom,public,35522
57,Socionom,public,35700
58,Socionom,public,35900
59,Socionom,public,36000
61,Socionom,public,36200
62,Socionom,public,36400
63,Socionom,public,36500
64,Socionom,public,36600
65,Socionom,public,36800
66,Socionom,public,37000
68,Socionom,public,37200
69,Socionom,public,37450
70,Socionom,public,37550
71,Socionom,public,37800
72,Socionom,public,38000
74,Socionom,public,38300
75,Socionom,public,38500
76,Socionom,public,38700
77,Socionom,public,39000
79,Socionom,public,39400
80,Socionom,public,39700
81,Socionom,public,40000
82,Socionom,public,40100
83,Socionom,public,40500
84,Socionom,public,41000
85,Socionom,public,41250
86,Socionom,public,41700
87,Socionom,public,42000
88,Socionom,public,42700
89,Socionom,public,43115
90,Socionom,public,44000
91,Socionom,public,44500
92,Socionom,public,45100
93,Socionom,public,46200
94,Socionom,public,47000
95,Socionom,public,48000
96,Socionom,public,49500
97,Socionom,public,51400
