percentile,profession,publicprivate,income
3,Tandhygienist,private,26500
4,Tandhygienist,private,27000
5,Tandhygienist,private,27500
6,Tandhygienist,private,28000
8,Tandhygienist,private,28600
9,Tandhygienist,private,29050
10,Tandhygienist,private,29210
11,Tandhygienist,private,29600
12,Tandhygienist,private,29900
13,Tandhygienist,private,30000
16,Tandhygienist,private,30150
17,Tandhygienist,private,30500
18,Tandhygienist,private,30850
19,Tandhygienist,private,31000
20,Tandhygienist,private,31083
21,Tandhygienist,private,31200
22,Tandhygienist,private,31400
23,Tandhygienist,private,31500
24,Tandhygienist,private,31700
25,Tandhygienist,private,31900
26,Tandhygienist,private,32000
29,Tandhygienist,private,32050
30,Tandhygienist,private,32200
31,Tandhygienist,private,32400
32,Tandhygienist,private,32500
34,Tandhygienist,private,32550
35,Tandhygienist,private,32649
36,Tandhygienist,private,32800
37,Tandhygienist,private,33000
41,Tandhygienist,private,33100
42,Tandhygienist,private,33200
43,Tandhygienist,private,33350
44,Tandhygienist,private,33500
46,Tandhygienist,private,33600
47,Tandhygienist,private,33700
48,Tandhygienist,private,33850
49,Tandhygienist,private,33900
50,Tandhygienist,private,34000
54,Tandhygienist,private,34100
55,Tandhygienist,private,34300
56,Tandhygienist,private,34388
57,Tandhygienist,private,34400
58,Tandhygienist,private,34500
59,Tandhygienist,private,34650
60,Tandhygienist,private,34726
61,Tandhygienist,private,34872
62,Tandhygienist,private,35000
68,Tandhygienist,private,35195
69,Tandhygienist,private,35300
70,Tandhygienist,private,35500
71,Tandhygienist,private,35600
72,Tandhygienist,private,35708
73,Tandhygienist,private,35890
74,Tandhygienist,private,36000
75,Tandhygienist,private,36153
76,Tandhygienist,private,36300
77,Tandhygienist,private,36450
78,Tandhygienist,private,36700
79,Tandhygienist,private,37000
81,Tandhygienist,private,37300
82,Tandhygienist,private,37480
83,Tandhygienist,private,37700
84,Tandhygienist,private,37920
85,Tandhygienist,private,38000
86,Tandhygienist,private,38100
87,Tandhygienist,private,38500
88,Tandhygienist,private,38646
89,Tandhygienist,private,38900
90,Tandhygienist,private,39000
91,Tandhygienist,private,39900
92,Tandhygienist,private,40000
94,Tandhygienist,private,41394
95,Tandhygienist,private,42000
96,Tandhygienist,private,43000
97,Tandhygienist,private,45000
