percentile,profession,publicprivate,income
3,Tandhygienist,public,24000
4,Tandhygienist,public,24350
5,Tandhygienist,public,24500
6,Tandhygienist,public,24800
7,Tandhygienist,public,25000
9,Tandhygienist,public,25100
10,Tandhygienist,public,25500
11,Tandhygienist,public,25600
12,Tandhygienist,public,25800
13,Tandhygienist,public,25980
14,Tandhygienist,public,26100
15,Tandhygienist,public,26200
16,Tandhygienist,public,26500
17,Tandhygienist,public,26700
18,Tandhygienist,public,26800
19,Tandhygienist,public,27000
20,Tandhygienist,public,27100
21,Tandhygienist,public,27300
22,Tandhygienist,public,27500
24,Tandhygienist,public,27700
25,Tandhygienist,public,27800
26,Tandhygienist,public,27900
27,Tandhygienist,public,28000
28,Tandhygienist,public,28050
29,Tandhygienist,public,28200
30,Tandhygienist,public,28300
31,Tandhygienist,public,28500
32,Tandhygienist,public,28600
33,Tandhygienist,public,28734
34,Tandhygienist,public,28800
35,Tandhygienist,public,28965
36,Tandhygienist,public,29000
37,Tandhygienist,public,29100
38,Tandhygienist,public,29250
39,Tandhygienist,public,29350
40,Tandhygienist,public,29500
41,Tandhygienist,public,29600
42,Tandhygienist,public,29800
43,Tandhygienist,public,29900
44,Tandhygienist,public,30000
46,Tandhygienist,public,30020
47,Tandhygienist,public,30200
48,Tandhygienist,public,30300
49,Tandhygienist,public,30425
50,Tandhygienist,public,30600
51,Tandhygienist,public,30700
52,Tandhygienist,public,30800
53,Tandhygienist,public,30900
54,Tandhygienist,public,31000
55,Tandhygienist,public,31021
56,Tandhygienist,public,31100
57,Tandhygienist,public,31250
58,Tandhygienist,public,31338
59,Tandhygienist,public,31500
60,Tandhygienist,public,31550
61,Tandhygienist,public,31640
62,Tandhygienist,public,31800
63,Tandhygienist,public,31970
64,Tandhygienist,public,32050
65,Tandhygienist,public,32200
66,Tandhygienist,public,32300
67,Tandhygienist,public,32400
68,Tandhygienist,public,32500
69,Tandhygienist,public,32600
70,Tandhygienist,public,32700
71,Tandhygienist,public,32800
72,Tandhygienist,public,33000
73,Tandhygienist,public,33080
74,Tandhygienist,public,33212
75,Tandhygienist,public,33377
76,Tandhygienist,public,33600
77,Tandhygienist,public,33733
78,Tandhygienist,public,33926
79,Tandhygienist,public,34000
80,Tandhygienist,public,34150
81,Tandhygienist,public,34350
82,Tandhygienist,public,34500
83,Tandhygienist,public,34700
84,Tandhygienist,public,35000
85,Tandhygienist,public,35150
86,Tandhygienist,public,35300
87,Tandhygienist,public,35700
88,Tandhygienist,public,36000
89,Tandhygienist,public,36500
90,Tandhygienist,public,37000
91,Tandhygienist,public,37500
92,Tandhygienist,public,38000
93,Tandhygienist,public,38650
94,Tandhygienist,public,39200
95,Tandhygienist,public,40100
96,Tandhygienist,public,41800
97,Tandhygienist,public,44500
