percentile,profession,publicprivate,income
3,Beteendevetare,private,26500
4,Beteendevetare,private,27500
5,Beteendevetare,private,28000
7,Beteendevetare,private,28500
8,Beteendevetare,private,28800
9,Beteendevetare,private,29000
10,Beteendevetare,private,29450
11,Beteendevetare,private,29600
12,Beteendevetare,private,30000
15,Beteendevetare,private,30250
16,Beteendevetare,private,30500
17,Beteendevetare,private,30990
18,Beteendevetare,private,31000
19,Beteendevetare,private,31500
20,Beteendevetare,private,31620
21,Beteendevetare,private,31980
22,Beteendevetare,private,32000
23,Beteendevetare,private,32300
24,Beteendevetare,private,32500
25,Beteendevetare,private,33000
27,Beteendevetare,private,33250
28,Beteendevetare,private,33400
29,Beteendevetare,private,33500
30,Beteendevetare,private,33650
31,Beteendevetare,private,33800
32,Beteendevetare,private,34000
35,Beteendevetare,private,34200
36,Beteendevetare,private,34500
37,Beteendevetare,private,34800
38,Beteendevetare,private,35000
41,Beteendevetare,private,35100
42,Beteendevetare,private,35258
43,Beteendevetare,private,35845
44,Beteendevetare,private,36000
46,Beteendevetare,private,36160
47,Beteendevetare,private,36500
48,Beteendevetare,private,36700
49,Beteendevetare,private,37000
50,Beteendevetare,private,37450
51,Beteendevetare,private,37500
52,Beteendevetare,private,37688
53,Beteendevetare,private,37800
54,Beteendevetare,private,38000
56,Beteendevetare,private,38100
57,Beteendevetare,private,38462
58,Beteendevetare,private,38700
59,Beteendevetare,private,38850
60,Beteendevetare,private,39000
61,Beteendevetare,private,39200
62,Beteendevetare,private,39400
63,Beteendevetare,private,39700
64,Beteendevetare,private,40000
67,Beteendevetare,private,40500
68,Beteendevetare,private,41000
69,Beteendevetare,private,41300
70,Beteendevetare,private,41666
71,Beteendevetare,private,42000
72,Beteendevetare,private,42690
73,Beteendevetare,private,43000
74,Beteendevetare,private,43300
75,Beteendevetare,private,43929
76,Beteendevetare,private,44000
77,Beteendevetare,private,44800
78,Beteendevetare,private,45000
79,Beteendevetare,private,45300
80,Beteendevetare,private,45500
81,Beteendevetare,private,45900
82,Beteendevetare,private,46000
83,Beteendevetare,private,47000
84,Beteendevetare,private,47250
85,Beteendevetare,private,48000
86,Beteendevetare,private,48600
87,Beteendevetare,private,49500
88,Beteendevetare,private,50000
89,Beteendevetare,private,52000
90,Beteendevetare,private,52500
91,Beteendevetare,private,54706
92,Beteendevetare,private,55500
93,Beteendevetare,private,56000
94,Beteendevetare,private,56816
95,Beteendevetare,private,58250
96,Beteendevetare,private,61000
97,Beteendevetare,private,63500
