percentile,profession,publicprivate,income
3,beteendevetare,public,26700
4,beteendevetare,public,27000
5,beteendevetare,public,27500
6,beteendevetare,public,27700
7,beteendevetare,public,28000
8,beteendevetare,public,28100
9,beteendevetare,public,28400
10,beteendevetare,public,28500
11,beteendevetare,public,28700
12,beteendevetare,public,28800
13,beteendevetare,public,29000
14,beteendevetare,public,29100
15,beteendevetare,public,29300
16,beteendevetare,public,29500
17,beteendevetare,public,29534
18,beteendevetare,public,29700
19,beteendevetare,public,29950
20,beteendevetare,public,30000
22,beteendevetare,public,30100
23,beteendevetare,public,30300
24,beteendevetare,public,30500
25,beteendevetare,public,30550
26,beteendevetare,public,30700
27,beteendevetare,public,30800
28,beteendevetare,public,31000
30,beteendevetare,public,31050
31,beteendevetare,public,31150
32,beteendevetare,public,31300
33,beteendevetare,public,31500
35,beteendevetare,public,31600
36,beteendevetare,public,31800
37,beteendevetare,public,32000
39,beteendevetare,public,32200
40,beteendevetare,public,32400
41,beteendevetare,public,32500
42,beteendevetare,public,32600
43,beteendevetare,public,32700
44,beteendevetare,public,32800
45,beteendevetare,public,32950
46,beteendevetare,public,33000
48,beteendevetare,public,33200
49,beteendevetare,public,33400
50,beteendevetare,public,33500
51,beteendevetare,public,33700
52,beteendevetare,public,33800
53,beteendevetare,public,34000
55,beteendevetare,public,34150
56,beteendevetare,public,34350
57,beteendevetare,public,34500
58,beteendevetare,public,34600
59,beteendevetare,public,34800
60,beteendevetare,public,34900
61,beteendevetare,public,35000
63,beteendevetare,public,35300
64,beteendevetare,public,35600
65,beteendevetare,public,35800
66,beteendevetare,public,36000
68,beteendevetare,public,36300
69,beteendevetare,public,36500
70,beteendevetare,public,36800
71,beteendevetare,public,37000
73,beteendevetare,public,37400
74,beteendevetare,public,37624
75,beteendevetare,public,37800
76,beteendevetare,public,38000
77,beteendevetare,public,38200
78,beteendevetare,public,38500
79,beteendevetare,public,38900
80,beteendevetare,public,39050
81,beteendevetare,public,39500
82,beteendevetare,public,39700
83,beteendevetare,public,40100
84,beteendevetare,public,40600
85,beteendevetare,public,41100
86,beteendevetare,public,41500
87,beteendevetare,public,42000
88,beteendevetare,public,42500
89,beteendevetare,public,43200
90,beteendevetare,public,43800
91,beteendevetare,public,44300
92,beteendevetare,public,45000
93,beteendevetare,public,45400
94,beteendevetare,public,46300
95,beteendevetare,public,47500
96,beteendevetare,public,49500
97,beteendevetare,public,50800
