percentile,profession,publicprivate,income
3,Civilekonomer ekonom,private,27000
4,Civilekonomer ekonom,private,27500
5,Civilekonomer ekonom,private,28000
6,Civilekonomer ekonom,private,28500
7,Civilekonomer ekonom,private,29000
8,Civilekonomer ekonom,private,29700
9,Civilekonomer ekonom,private,30000
11,Civilekonomer ekonom,private,31000
12,Civilekonomer ekonom,private,31500
13,Civilekonomer ekonom,private,32000
16,Civilekonomer ekonom,private,32205
17,Civilekonomer ekonom,private,32800
18,Civilekonomer ekonom,private,33450
19,Civilekonomer ekonom,private,33800
20,Civilekonomer ekonom,private,34000
21,Civilekonomer ekonom,private,34140
22,Civilekonomer ekonom,private,35000
24,Civilekonomer ekonom,private,35500
25,Civilekonomer ekonom,private,36000
27,Civilekonomer ekonom,private,36100
28,Civilekonomer ekonom,private,36650
29,Civilekonomer ekonom,private,37000
31,Civilekonomer ekonom,private,37700
32,Civilekonomer ekonom,private,38000
33,Civilekonomer ekonom,private,38400
34,Civilekonomer ekonom,private,38500
35,Civilekonomer ekonom,private,39100
36,Civilekonomer ekonom,private,39200
37,Civilekonomer ekonom,private,39500
38,Civilekonomer ekonom,private,39600
39,Civilekonomer ekonom,private,40000
42,Civilekonomer ekonom,private,40300
43,Civilekonomer ekonom,private,40708
44,Civilekonomer ekonom,private,41300
45,Civilekonomer ekonom,private,42000
46,Civilekonomer ekonom,private,42400
47,Civilekonomer ekonom,private,43000
49,Civilekonomer ekonom,private,43200
50,Civilekonomer ekonom,private,43800
51,Civilekonomer ekonom,private,43850
52,Civilekonomer ekonom,private,44000
53,Civilekonomer ekonom,private,44300
54,Civilekonomer ekonom,private,44902
55,Civilekonomer ekonom,private,45000
56,Civilekonomer ekonom,private,45100
57,Civilekonomer ekonom,private,46000
59,Civilekonomer ekonom,private,46500
60,Civilekonomer ekonom,private,47000
61,Civilekonomer ekonom,private,47400
62,Civilekonomer ekonom,private,48000
63,Civilekonomer ekonom,private,48750
64,Civilekonomer ekonom,private,49000
65,Civilekonomer ekonom,private,49100
66,Civilekonomer ekonom,private,50000
68,Civilekonomer ekonom,private,52000
69,Civilekonomer ekonom,private,52598
70,Civilekonomer ekonom,private,53000
71,Civilekonomer ekonom,private,53958
72,Civilekonomer ekonom,private,54800
73,Civilekonomer ekonom,private,55000
74,Civilekonomer ekonom,private,55100
75,Civilekonomer ekonom,private,56000
76,Civilekonomer ekonom,private,57000
77,Civilekonomer ekonom,private,57855
78,Civilekonomer ekonom,private,58000
79,Civilekonomer ekonom,private,58800
80,Civilekonomer ekonom,private,59000
81,Civilekonomer ekonom,private,60000
82,Civilekonomer ekonom,private,61896
83,Civilekonomer ekonom,private,62500
84,Civilekonomer ekonom,private,63800
85,Civilekonomer ekonom,private,64750
86,Civilekonomer ekonom,private,66000
87,Civilekonomer ekonom,private,67500
88,Civilekonomer ekonom,private,70000
89,Civilekonomer ekonom,private,70500
90,Civilekonomer ekonom,private,72163
91,Civilekonomer ekonom,private,75267
92,Civilekonomer ekonom,private,76500
93,Civilekonomer ekonom,private,79348
94,Civilekonomer ekonom,private,81034
95,Civilekonomer ekonom,private,83800
96,Civilekonomer ekonom,private,87400
97,Civilekonomer ekonom,private,90500
