percentile,profession,publicprivate,income
3,Civilekonomer ekonom,public,26000
4,Civilekonomer ekonom,public,26510
5,Civilekonomer ekonom,public,27000
6,Civilekonomer ekonom,public,27550
7,Civilekonomer ekonom,public,28000
8,Civilekonomer ekonom,public,28100
9,Civilekonomer ekonom,public,28500
10,Civilekonomer ekonom,public,28700
11,Civilekonomer ekonom,public,29000
12,Civilekonomer ekonom,public,29350
13,Civilekonomer ekonom,public,29900
14,Civilekonomer ekonom,public,30000
15,Civilekonomer ekonom,public,30500
16,Civilekonomer ekonom,public,30800
17,Civilekonomer ekonom,public,31250
18,Civilekonomer ekonom,public,31500
20,Civilekonomer ekonom,public,31850
21,Civilekonomer ekonom,public,32000
22,Civilekonomer ekonom,public,32400
23,Civilekonomer ekonom,public,32710
24,Civilekonomer ekonom,public,32800
25,Civilekonomer ekonom,public,33000
26,Civilekonomer ekonom,public,33450
27,Civilekonomer ekonom,public,33700
28,Civilekonomer ekonom,public,34000
30,Civilekonomer ekonom,public,34350
31,Civilekonomer ekonom,public,34600
32,Civilekonomer ekonom,public,34800
33,Civilekonomer ekonom,public,35000
34,Civilekonomer ekonom,public,35350
35,Civilekonomer ekonom,public,35700
36,Civilekonomer ekonom,public,36000
38,Civilekonomer ekonom,public,36500
39,Civilekonomer ekonom,public,36700
40,Civilekonomer ekonom,public,37000
41,Civilekonomer ekonom,public,37100
42,Civilekonomer ekonom,public,37500
43,Civilekonomer ekonom,public,37600
44,Civilekonomer ekonom,public,38000
45,Civilekonomer ekonom,public,38350
46,Civilekonomer ekonom,public,38500
48,Civilekonomer ekonom,public,38800
49,Civilekonomer ekonom,public,39000
50,Civilekonomer ekonom,public,39140
51,Civilekonomer ekonom,public,39300
52,Civilekonomer ekonom,public,39700
53,Civilekonomer ekonom,public,40000
55,Civilekonomer ekonom,public,40075
56,Civilekonomer ekonom,public,40300
57,Civilekonomer ekonom,public,40600
58,Civilekonomer ekonom,public,41000
59,Civilekonomer ekonom,public,41200
60,Civilekonomer ekonom,public,41800
61,Civilekonomer ekonom,public,42000
62,Civilekonomer ekonom,public,42250
63,Civilekonomer ekonom,public,42500
64,Civilekonomer ekonom,public,42900
65,Civilekonomer ekonom,public,43003
66,Civilekonomer ekonom,public,43170
67,Civilekonomer ekonom,public,43500
68,Civilekonomer ekonom,public,43877
69,Civilekonomer ekonom,public,44250
70,Civilekonomer ekonom,public,44500
71,Civilekonomer ekonom,public,44700
72,Civilekonomer ekonom,public,45000
73,Civilekonomer ekonom,public,45500
74,Civilekonomer ekonom,public,45900
75,Civilekonomer ekonom,public,46000
76,Civilekonomer ekonom,public,46600
77,Civilekonomer ekonom,public,47000
78,Civilekonomer ekonom,public,48000
79,Civilekonomer ekonom,public,48600
80,Civilekonomer ekonom,public,49000
81,Civilekonomer ekonom,public,49400
82,Civilekonomer ekonom,public,50100
83,Civilekonomer ekonom,public,50600
84,Civilekonomer ekonom,public,51100
85,Civilekonomer ekonom,public,51700
86,Civilekonomer ekonom,public,52500
87,Civilekonomer ekonom,public,54500
88,Civilekonomer ekonom,public,55000
89,Civilekonomer ekonom,public,55700
90,Civilekonomer ekonom,public,57000
91,Civilekonomer ekonom,public,58000
92,Civilekonomer ekonom,public,58989
93,Civilekonomer ekonom,public,60000
94,Civilekonomer ekonom,public,63000
95,Civilekonomer ekonom,public,64500
96,Civilekonomer ekonom,public,65700
97,Civilekonomer ekonom,public,74000
