percentile,profession,publicprivate,income
3,ekonom,private,27000
4,ekonom,private,27500
5,ekonom,private,28000
6,ekonom,private,28500
7,ekonom,private,29000
8,ekonom,private,29700
9,ekonom,private,30000
11,ekonom,private,31000
12,ekonom,private,31500
13,ekonom,private,32000
16,ekonom,private,32205
17,ekonom,private,32800
18,ekonom,private,33450
19,ekonom,private,33800
20,ekonom,private,34000
21,ekonom,private,34140
22,ekonom,private,35000
24,ekonom,private,35500
25,ekonom,private,36000
27,ekonom,private,36100
28,ekonom,private,36650
29,ekonom,private,37000
31,ekonom,private,37700
32,ekonom,private,38000
33,ekonom,private,38400
34,ekonom,private,38500
35,ekonom,private,39100
36,ekonom,private,39200
37,ekonom,private,39500
38,ekonom,private,39600
39,ekonom,private,40000
42,ekonom,private,40300
43,ekonom,private,40708
44,ekonom,private,41300
45,ekonom,private,42000
46,ekonom,private,42400
47,ekonom,private,43000
49,ekonom,private,43200
50,ekonom,private,43800
51,ekonom,private,43850
52,ekonom,private,44000
53,ekonom,private,44300
54,ekonom,private,44902
55,ekonom,private,45000
56,ekonom,private,45100
57,ekonom,private,46000
59,ekonom,private,46500
60,ekonom,private,47000
61,ekonom,private,47400
62,ekonom,private,48000
63,ekonom,private,48750
64,ekonom,private,49000
65,ekonom,private,49100
66,ekonom,private,50000
68,ekonom,private,52000
69,ekonom,private,52598
70,ekonom,private,53000
71,ekonom,private,53958
72,ekonom,private,54800
73,ekonom,private,55000
74,ekonom,private,55100
75,ekonom,private,56000
76,ekonom,private,57000
77,ekonom,private,57855
78,ekonom,private,58000
79,ekonom,private,58800
80,ekonom,private,59000
81,ekonom,private,60000
82,ekonom,private,61896
83,ekonom,private,62500
84,ekonom,private,63800
85,ekonom,private,64750
86,ekonom,private,66000
87,ekonom,private,67500
88,ekonom,private,70000
89,ekonom,private,70500
90,ekonom,private,72163
91,ekonom,private,75267
92,ekonom,private,76500
93,ekonom,private,79348
94,ekonom,private,81034
95,ekonom,private,83800
96,ekonom,private,87400
97,ekonom,private,90500
