percentile,profession,publicprivate,income
3,Ekonom,public,26100
4,Ekonom,public,26700
5,Ekonom,public,26800
6,Ekonom,public,27300
7,Ekonom,public,27500
8,Ekonom,public,27800
9,Ekonom,public,28400
10,Ekonom,public,29000
11,Ekonom,public,29200
12,Ekonom,public,29500
13,Ekonom,public,30200
14,Ekonom,public,30400
15,Ekonom,public,30500
16,Ekonom,public,30800
17,Ekonom,public,31100
18,Ekonom,public,31500
19,Ekonom,public,31750
20,Ekonom,public,31950
21,Ekonom,public,32000
22,Ekonom,public,32500
23,Ekonom,public,32700
24,Ekonom,public,32850
25,Ekonom,public,33400
26,Ekonom,public,33500
27,Ekonom,public,33700
28,Ekonom,public,34000
29,Ekonom,public,34200
30,Ekonom,public,34600
31,Ekonom,public,34980
32,Ekonom,public,35000
33,Ekonom,public,35230
34,Ekonom,public,35350
35,Ekonom,public,35800
36,Ekonom,public,36000
37,Ekonom,public,36200
38,Ekonom,public,36500
39,Ekonom,public,36650
40,Ekonom,public,36750
41,Ekonom,public,36900
42,Ekonom,public,37000
43,Ekonom,public,37200
44,Ekonom,public,37550
45,Ekonom,public,38000
46,Ekonom,public,38150
47,Ekonom,public,38500
48,Ekonom,public,38750
49,Ekonom,public,38925
50,Ekonom,public,39000
51,Ekonom,public,39200
52,Ekonom,public,39500
53,Ekonom,public,39700
54,Ekonom,public,40000
55,Ekonom,public,40200
56,Ekonom,public,40400
57,Ekonom,public,40800
58,Ekonom,public,41000
60,Ekonom,public,41800
61,Ekonom,public,42000
62,Ekonom,public,42300
63,Ekonom,public,42700
64,Ekonom,public,42850
65,Ekonom,public,43250
66,Ekonom,public,43500
67,Ekonom,public,43900
68,Ekonom,public,44000
70,Ekonom,public,44500
71,Ekonom,public,45000
73,Ekonom,public,45500
74,Ekonom,public,45800
75,Ekonom,public,46000
76,Ekonom,public,46500
77,Ekonom,public,47000
78,Ekonom,public,47400
79,Ekonom,public,48000
80,Ekonom,public,48400
81,Ekonom,public,49100
82,Ekonom,public,50000
83,Ekonom,public,50400
84,Ekonom,public,50850
85,Ekonom,public,51225
86,Ekonom,public,52000
87,Ekonom,public,53800
88,Ekonom,public,54500
89,Ekonom,public,55000
90,Ekonom,public,57000
91,Ekonom,public,59500
92,Ekonom,public,60000
93,Ekonom,public,61000
94,Ekonom,public,61500
95,Ekonom,public,63000
96,Ekonom,public,65000
97,Ekonom,public,68600
