percentile,profession,publicprivate,income
3,Personalvetare,private,29300
4,Personalvetare,private,29860
5,Personalvetare,private,30000
7,Personalvetare,private,30500
8,Personalvetare,private,31000
9,Personalvetare,private,31181
10,Personalvetare,private,31990
11,Personalvetare,private,32000
12,Personalvetare,private,32700
13,Personalvetare,private,33000
14,Personalvetare,private,33282
15,Personalvetare,private,33700
16,Personalvetare,private,34000
17,Personalvetare,private,34850
18,Personalvetare,private,35000
20,Personalvetare,private,35475
21,Personalvetare,private,35560
22,Personalvetare,private,35800
23,Personalvetare,private,36000
24,Personalvetare,private,36250
25,Personalvetare,private,37000
26,Personalvetare,private,37100
27,Personalvetare,private,37500
28,Personalvetare,private,37800
29,Personalvetare,private,38000
30,Personalvetare,private,38110
31,Personalvetare,private,38500
32,Personalvetare,private,38700
33,Personalvetare,private,39000
34,Personalvetare,private,39600
35,Personalvetare,private,39862
36,Personalvetare,private,40000
37,Personalvetare,private,40100
38,Personalvetare,private,40500
39,Personalvetare,private,40615
40,Personalvetare,private,40900
41,Personalvetare,private,41000
42,Personalvetare,private,41331
43,Personalvetare,private,42000
44,Personalvetare,private,42200
45,Personalvetare,private,42500
46,Personalvetare,private,42609
47,Personalvetare,private,42900
48,Personalvetare,private,43500
49,Personalvetare,private,44000
50,Personalvetare,private,44250
51,Personalvetare,private,44800
52,Personalvetare,private,45000
53,Personalvetare,private,45050
54,Personalvetare,private,45705
55,Personalvetare,private,46000
56,Personalvetare,private,46350
57,Personalvetare,private,47000
59,Personalvetare,private,47500
60,Personalvetare,private,48000
61,Personalvetare,private,48233
62,Personalvetare,private,49000
63,Personalvetare,private,49380
64,Personalvetare,private,50000
65,Personalvetare,private,50437
66,Personalvetare,private,50600
67,Personalvetare,private,51000
68,Personalvetare,private,51800
69,Personalvetare,private,52300
70,Personalvetare,private,52500
71,Personalvetare,private,53000
72,Personalvetare,private,53647
73,Personalvetare,private,54000
75,Personalvetare,private,55000
76,Personalvetare,private,55450
77,Personalvetare,private,56300
78,Personalvetare,private,57000
79,Personalvetare,private,58050
80,Personalvetare,private,58500
81,Personalvetare,private,59360
82,Personalvetare,private,60000
83,Personalvetare,private,61000
84,Personalvetare,private,61862
85,Personalvetare,private,62860
86,Personalvetare,private,63500
87,Personalvetare,private,64800
88,Personalvetare,private,66000
89,Personalvetare,private,67000
90,Personalvetare,private,68000
91,Personalvetare,private,68427
92,Personalvetare,private,70000
93,Personalvetare,private,71262
94,Personalvetare,private,73700
95,Personalvetare,private,76000
96,Personalvetare,private,81000
97,Personalvetare,private,85400
