percentile,profession,publicprivate,income
3,Personalvetare,public,28050
4,Personalvetare,public,28500
5,Personalvetare,public,29000
6,Personalvetare,public,29200
7,Personalvetare,public,29700
8,Personalvetare,public,29900
9,Personalvetare,public,30100
10,Personalvetare,public,30500
11,Personalvetare,public,30800
12,Personalvetare,public,31000
13,Personalvetare,public,31180
14,Personalvetare,public,31500
15,Personalvetare,public,31900
16,Personalvetare,public,32000
17,Personalvetare,public,32100
18,Personalvetare,public,32400
19,Personalvetare,public,32750
20,Personalvetare,public,32900
21,Personalvetare,public,33000
22,Personalvetare,public,33400
23,Personalvetare,public,33700
24,Personalvetare,public,34000
25,Personalvetare,public,34200
26,Personalvetare,public,34500
27,Personalvetare,public,34600
28,Personalvetare,public,34790
29,Personalvetare,public,34900
30,Personalvetare,public,35000
32,Personalvetare,public,35200
33,Personalvetare,public,35500
34,Personalvetare,public,35550
35,Personalvetare,public,35800
36,Personalvetare,public,36000
37,Personalvetare,public,36200
38,Personalvetare,public,36400
39,Personalvetare,public,36500
40,Personalvetare,public,36700
41,Personalvetare,public,37000
42,Personalvetare,public,37150
43,Personalvetare,public,37400
44,Personalvetare,public,37500
45,Personalvetare,public,37800
46,Personalvetare,public,38000
48,Personalvetare,public,38255
49,Personalvetare,public,38500
50,Personalvetare,public,38700
51,Personalvetare,public,39000
53,Personalvetare,public,39200
54,Personalvetare,public,39300
55,Personalvetare,public,39600
56,Personalvetare,public,39700
57,Personalvetare,public,40000
59,Personalvetare,public,40300
60,Personalvetare,public,40500
61,Personalvetare,public,40700
62,Personalvetare,public,40900
63,Personalvetare,public,41000
64,Personalvetare,public,41400
65,Personalvetare,public,41500
66,Personalvetare,public,41800
67,Personalvetare,public,42000
68,Personalvetare,public,42250
69,Personalvetare,public,42500
70,Personalvetare,public,42800
71,Personalvetare,public,43000
72,Personalvetare,public,43400
73,Personalvetare,public,43950
74,Personalvetare,public,44000
75,Personalvetare,public,44500
76,Personalvetare,public,44900
77,Personalvetare,public,45070
78,Personalvetare,public,45500
79,Personalvetare,public,45900
80,Personalvetare,public,46500
81,Personalvetare,public,47000
82,Personalvetare,public,47100
83,Personalvetare,public,47800
84,Personalvetare,public,48200
85,Personalvetare,public,48700
86,Personalvetare,public,49300
87,Personalvetare,public,50000
88,Personalvetare,public,50700
89,Personalvetare,public,51200
90,Personalvetare,public,52000
91,Personalvetare,public,52800
92,Personalvetare,public,54000
93,Personalvetare,public,55500
94,Personalvetare,public,56500
95,Personalvetare,public,58200
96,Personalvetare,public,61100
97,Personalvetare,public,63200
