percentile,profession,publicprivate,income
3,Samhällsvetare,private,26000
5,Samhällsvetare,private,26500
6,Samhällsvetare,private,27000
7,Samhällsvetare,private,27200
8,Samhällsvetare,private,27500
9,Samhällsvetare,private,27600
10,Samhällsvetare,private,28000
13,Samhällsvetare,private,28644
14,Samhällsvetare,private,29000
15,Samhällsvetare,private,29600
16,Samhällsvetare,private,29800
17,Samhällsvetare,private,30000
20,Samhällsvetare,private,30475
21,Samhällsvetare,private,30800
22,Samhällsvetare,private,31000
24,Samhällsvetare,private,31156
25,Samhällsvetare,private,31500
27,Samhällsvetare,private,31800
28,Samhällsvetare,private,32000
30,Samhällsvetare,private,32125
31,Samhällsvetare,private,32500
32,Samhällsvetare,private,32600
33,Samhällsvetare,private,33000
35,Samhällsvetare,private,33578
36,Samhällsvetare,private,33700
37,Samhällsvetare,private,34000
40,Samhällsvetare,private,34130
41,Samhällsvetare,private,34650
42,Samhällsvetare,private,34932
43,Samhällsvetare,private,35000
45,Samhällsvetare,private,35156
46,Samhällsvetare,private,35500
47,Samhällsvetare,private,35762
48,Samhällsvetare,private,36000
49,Samhällsvetare,private,36196
50,Samhällsvetare,private,36550
51,Samhällsvetare,private,36850
52,Samhällsvetare,private,37000
54,Samhällsvetare,private,37500
55,Samhällsvetare,private,37800
56,Samhällsvetare,private,38000
57,Samhällsvetare,private,38300
58,Samhällsvetare,private,38500
59,Samhällsvetare,private,38700
60,Samhällsvetare,private,39000
62,Samhällsvetare,private,39140
63,Samhällsvetare,private,39453
64,Samhällsvetare,private,39624
65,Samhällsvetare,private,40000
67,Samhällsvetare,private,40450
68,Samhällsvetare,private,40752
69,Samhällsvetare,private,40914
70,Samhällsvetare,private,41100
71,Samhällsvetare,private,42000
73,Samhällsvetare,private,42300
74,Samhällsvetare,private,43000
76,Samhällsvetare,private,43500
77,Samhällsvetare,private,43800
78,Samhällsvetare,private,44000
79,Samhällsvetare,private,44200
80,Samhällsvetare,private,45000
81,Samhällsvetare,private,45862
82,Samhällsvetare,private,46112
83,Samhällsvetare,private,46500
84,Samhällsvetare,private,47000
85,Samhällsvetare,private,47500
86,Samhällsvetare,private,48410
87,Samhällsvetare,private,49000
88,Samhällsvetare,private,49650
89,Samhällsvetare,private,50600
90,Samhällsvetare,private,51000
91,Samhällsvetare,private,51900
92,Samhällsvetare,private,53000
93,Samhällsvetare,private,55600
94,Samhällsvetare,private,58000
95,Samhällsvetare,private,60000
96,Samhällsvetare,private,60046
97,Samhällsvetare,private,63800
