percentile,profession,publicprivate,income
3,samhällsvetare,public,27000
4,samhällsvetare,public,27600
5,samhällsvetare,public,28000
6,samhällsvetare,public,28500
7,samhällsvetare,public,28800
8,samhällsvetare,public,29000
9,samhällsvetare,public,29150
10,samhällsvetare,public,29500
11,samhällsvetare,public,29616
12,samhällsvetare,public,30000
14,samhällsvetare,public,30200
15,samhällsvetare,public,30500
16,samhällsvetare,public,30650
17,samhällsvetare,public,31000
19,samhällsvetare,public,31250
20,samhällsvetare,public,31500
21,samhällsvetare,public,31800
22,samhällsvetare,public,32000
25,samhällsvetare,public,32400
26,samhällsvetare,public,32500
27,samhällsvetare,public,32800
28,samhällsvetare,public,32950
29,samhällsvetare,public,33000
31,samhällsvetare,public,33200
32,samhällsvetare,public,33500
33,samhällsvetare,public,33650
34,samhällsvetare,public,34000
37,samhällsvetare,public,34400
38,samhällsvetare,public,34500
39,samhällsvetare,public,34800
40,samhällsvetare,public,35000
42,samhällsvetare,public,35200
43,samhällsvetare,public,35500
44,samhällsvetare,public,35700
45,samhällsvetare,public,36000
46,samhällsvetare,public,36100
47,samhällsvetare,public,36500
48,samhällsvetare,public,36650
49,samhällsvetare,public,37000
51,samhällsvetare,public,37200
52,samhällsvetare,public,37500
53,samhällsvetare,public,37600
54,samhällsvetare,public,37900
55,samhällsvetare,public,38000
57,samhällsvetare,public,38300
58,samhällsvetare,public,38500
59,samhällsvetare,public,38800
60,samhällsvetare,public,39000
62,samhällsvetare,public,39300
63,samhällsvetare,public,39500
64,samhällsvetare,public,40000
66,samhällsvetare,public,40200
67,samhällsvetare,public,40500
68,samhällsvetare,public,40800
69,samhällsvetare,public,41000
70,samhällsvetare,public,41300
71,samhällsvetare,public,41600
72,samhällsvetare,public,41900
73,samhällsvetare,public,42000
74,samhällsvetare,public,42300
75,samhällsvetare,public,42600
76,samhällsvetare,public,43000
77,samhällsvetare,public,43200
78,samhällsvetare,public,43500
79,samhällsvetare,public,43900
80,samhällsvetare,public,44000
81,samhällsvetare,public,44400
82,samhällsvetare,public,45000
84,samhällsvetare,public,45400
85,samhällsvetare,public,46100
86,samhällsvetare,public,46600
87,samhällsvetare,public,47000
88,samhällsvetare,public,47600
89,samhällsvetare,public,48000
90,samhällsvetare,public,49000
91,samhällsvetare,public,49900
92,samhällsvetare,public,50500
93,samhällsvetare,public,51912
94,samhällsvetare,public,53200
95,samhällsvetare,public,55000
96,samhällsvetare,public,56700
97,samhällsvetare,public,60000
