percentile,profession,publicprivate,income
3,Systemvetare,private,30000
4,Systemvetare,private,30500
5,Systemvetare,private,31416
6,Systemvetare,private,32000
7,Systemvetare,private,33000
8,Systemvetare,private,33500
9,Systemvetare,private,34300
10,Systemvetare,private,34750
11,Systemvetare,private,35000
12,Systemvetare,private,35500
13,Systemvetare,private,36000
14,Systemvetare,private,36225
15,Systemvetare,private,36800
16,Systemvetare,private,37100
17,Systemvetare,private,37600
18,Systemvetare,private,38000
19,Systemvetare,private,38400
20,Systemvetare,private,38900
21,Systemvetare,private,39000
22,Systemvetare,private,39500
23,Systemvetare,private,40000
25,Systemvetare,private,40210
26,Systemvetare,private,40660
27,Systemvetare,private,41000
28,Systemvetare,private,41200
29,Systemvetare,private,41500
30,Systemvetare,private,41880
31,Systemvetare,private,42000
32,Systemvetare,private,42250
33,Systemvetare,private,42550
34,Systemvetare,private,42830
35,Systemvetare,private,43000
36,Systemvetare,private,43400
37,Systemvetare,private,43750
38,Systemvetare,private,44000
40,Systemvetare,private,44500
41,Systemvetare,private,44800
42,Systemvetare,private,45000
43,Systemvetare,private,45100
44,Systemvetare,private,45500
45,Systemvetare,private,45810
46,Systemvetare,private,46000
47,Systemvetare,private,46250
48,Systemvetare,private,46500
49,Systemvetare,private,46800
50,Systemvetare,private,47000
51,Systemvetare,private,47292
52,Systemvetare,private,47550
53,Systemvetare,private,47850
54,Systemvetare,private,48000
55,Systemvetare,private,48300
56,Systemvetare,private,48674
57,Systemvetare,private,49000
58,Systemvetare,private,49100
59,Systemvetare,private,49500
60,Systemvetare,private,49900
61,Systemvetare,private,50000
62,Systemvetare,private,50043
63,Systemvetare,private,50500
64,Systemvetare,private,51000
65,Systemvetare,private,51136
66,Systemvetare,private,51500
67,Systemvetare,private,52000
68,Systemvetare,private,52100
69,Systemvetare,private,52500
70,Systemvetare,private,53000
71,Systemvetare,private,53372
72,Systemvetare,private,53680
73,Systemvetare,private,54000
74,Systemvetare,private,54400
75,Systemvetare,private,55000
76,Systemvetare,private,55120
77,Systemvetare,private,55752
78,Systemvetare,private,56100
79,Systemvetare,private,56717
80,Systemvetare,private,57300
81,Systemvetare,private,58000
82,Systemvetare,private,58500
83,Systemvetare,private,59000
84,Systemvetare,private,60000
85,Systemvetare,private,60300
86,Systemvetare,private,61046
87,Systemvetare,private,62000
88,Systemvetare,private,62524
89,Systemvetare,private,63600
90,Systemvetare,private,65000
91,Systemvetare,private,66000
92,Systemvetare,private,67700
93,Systemvetare,private,69288
94,Systemvetare,private,71500
95,Systemvetare,private,74000
96,Systemvetare,private,77300
97,Systemvetare,private,82499
