profession,publicprivate,value,income
Enhetschef/gruppchef/ första linjens chef,public,0.02386831276,-34999
Enhetschef/gruppchef/ första linjens chef,public,0.01234567901,35000-35999
Enhetschef/gruppchef/ första linjens chef,public,0.01547325103,36000-36999
Enhetschef/gruppchef/ första linjens chef,public,0.01827160494,37000-37999
Enhetschef/gruppchef/ första linjens chef,public,0.02485596708,38000-38999
Enhetschef/gruppchef/ första linjens chef,public,0.03259259259,39000-39999
Enhetschef/gruppchef/ första linjens chef,public,0.03934156379,40000-40999
Enhetschef/gruppchef/ första linjens chef,public,0.04411522634,41000-41999
Enhetschef/gruppchef/ första linjens chef,public,0.05283950617,42000-42999
Enhetschef/gruppchef/ första linjens chef,public,0.05497942387,43000-43999
Enhetschef/gruppchef/ första linjens chef,public,0.0633744856,44000-44999
Enhetschef/gruppchef/ första linjens chef,public,0.0633744856,45000-45999
Enhetschef/gruppchef/ första linjens chef,public,0.06189300412,46000-46999
Enhetschef/gruppchef/ första linjens chef,public,0.06172839506,47000-47999
Enhetschef/gruppchef/ första linjens chef,public,0.05267489712,48000-48999
Enhetschef/gruppchef/ första linjens chef,public,0.04773662551,49000-49999
Enhetschef/gruppchef/ första linjens chef,public,0.04625514403,50000-50999
Enhetschef/gruppchef/ första linjens chef,public,0.03226337449,51000-51999
Enhetschef/gruppchef/ första linjens chef,public,0.03144032922,52000-52999
Enhetschef/gruppchef/ första linjens chef,public,0.02765432099,53000-53999
Enhetschef/gruppchef/ första linjens chef,public,0.02436213992,54000-54999
Enhetschef/gruppchef/ första linjens chef,public,0.02271604938,55000-55999
Enhetschef/gruppchef/ första linjens chef,public,0.01860082305,56000-56999
Enhetschef/gruppchef/ första linjens chef,public,0.01711934156,57000-57999
Enhetschef/gruppchef/ första linjens chef,public,0.01366255144,58000-58999
Enhetschef/gruppchef/ första linjens chef,public,0.01119341564,59000-59999
Enhetschef/gruppchef/ första linjens chef,public,0.0141563786,60000-60999
Enhetschef/gruppchef/ första linjens chef,public,0.01152263374,61000-61999
Enhetschef/gruppchef/ första linjens chef,public,0.00872427984,62000-62999
Enhetschef/gruppchef/ första linjens chef,public,0.00790123457,63000-63999
Enhetschef/gruppchef/ första linjens chef,public,0.00592592593,64000-64999
Enhetschef/gruppchef/ första linjens chef,public,0.00510288066,65000-65999
Enhetschef/gruppchef/ första linjens chef,public,0.03193415638,66000-
