profession,publicprivate,value,income
Enhetschef/gruppchef/ första linjens chef,private,0.02561777375,-33999
Enhetschef/gruppchef/ första linjens chef,private,0.0072545908,34000-34999
Enhetschef/gruppchef/ första linjens chef,private,0.01110859216,35000-35999
Enhetschef/gruppchef/ första linjens chef,private,0.01110859216,36000-36999
Enhetschef/gruppchef/ första linjens chef,private,0.01654953525,37000-37999
Enhetschef/gruppchef/ första linjens chef,private,0.01858988891,38000-38999
Enhetschef/gruppchef/ första linjens chef,private,0.01881659488,39000-39999
Enhetschef/gruppchef/ första linjens chef,private,0.02403083201,40000-40999
Enhetschef/gruppchef/ första linjens chef,private,0.02176377239,41000-41999
Enhetschef/gruppchef/ första linjens chef,private,0.02675130356,42000-42999
Enhetschef/gruppchef/ första linjens chef,private,0.02539106779,43000-43999
Enhetschef/gruppchef/ första linjens chef,private,0.02561777375,44000-44999
Enhetschef/gruppchef/ första linjens chef,private,0.03105871684,45000-45999
Enhetschef/gruppchef/ första linjens chef,private,0.03377918839,46000-46999
Enhetschef/gruppchef/ första linjens chef,private,0.02856495126,47000-47999
Enhetschef/gruppchef/ första linjens chef,private,0.03355248243,48000-48999
Enhetschef/gruppchef/ första linjens chef,private,0.02584447971,49000-49999
Enhetschef/gruppchef/ första linjens chef,private,0.03922013149,50000-50999
Enhetschef/gruppchef/ första linjens chef,private,0.03808660168,51000-51999
Enhetschef/gruppchef/ första linjens chef,private,0.03536613013,52000-52999
Enhetschef/gruppchef/ första linjens chef,private,0.02675130356,53000-53999
Enhetschef/gruppchef/ första linjens chef,private,0.0265245976,54000-54999
Enhetschef/gruppchef/ första linjens chef,private,0.0385400136,55000-55999
Enhetschef/gruppchef/ första linjens chef,private,0.02879165722,56000-56999
Enhetschef/gruppchef/ första linjens chef,private,0.02267059624,57000-57999
Enhetschef/gruppchef/ första linjens chef,private,0.02539106779,58000-58999
Enhetschef/gruppchef/ första linjens chef,private,0.02199047835,59000-59999
Enhetschef/gruppchef/ första linjens chef,private,0.02992518703,60000-60999
Enhetschef/gruppchef/ första linjens chef,private,0.0210836545,61000-61999
Enhetschef/gruppchef/ första linjens chef,private,0.0192700068,62000-62999
Enhetschef/gruppchef/ första linjens chef,private,0.01722965314,63000-63999
Enhetschef/gruppchef/ första linjens chef,private,0.01790977103,64000-64999
Enhetschef/gruppchef/ första linjens chef,private,0.01609612333,65000-65999
Enhetschef/gruppchef/ första linjens chef,private,0.01133529812,66000-66999
Enhetschef/gruppchef/ första linjens chef,private,0.01292223985,67000-67999
Enhetschef/gruppchef/ första linjens chef,private,0.01473588755,68000-68999
Enhetschef/gruppchef/ första linjens chef,private,0.00997506234,69000-69999
Enhetschef/gruppchef/ första linjens chef,private,0.0138290637,70000-70999
Enhetschef/gruppchef/ första linjens chef,private,0.00702788483,71000-71999
Enhetschef/gruppchef/ första linjens chef,private,0.01156200408,72000-72999
Enhetschef/gruppchef/ första linjens chef,private,0.00884153253,73000-73999
Enhetschef/gruppchef/ första linjens chef,private,0.00838812061,74000-74999
Enhetschef/gruppchef/ första linjens chef,private,0.01020176831,75000-75999
Enhetschef/gruppchef/ första linjens chef,private,0.0054409431,76000-76999
Enhetschef/gruppchef/ första linjens chef,private,0.0054409431,77000-77999
Enhetschef/gruppchef/ första linjens chef,private,0.00498753117,78000-78999
Enhetschef/gruppchef/ första linjens chef,private,0.00385400136,79000-79999
Enhetschef/gruppchef/ första linjens chef,private,0.00521423713,80000-80999
Enhetschef/gruppchef/ första linjens chef,private,0.00294717751,81000-81999
Enhetschef/gruppchef/ första linjens chef,private,0.00385400136,82000-82999
Enhetschef/gruppchef/ första linjens chef,private,0.00340058944,83000-83999
Enhetschef/gruppchef/ första linjens chef,private,0.00340058944,84000-84999
Enhetschef/gruppchef/ första linjens chef,private,0.00204035366,85000-85999
Enhetschef/gruppchef/ första linjens chef,private,0.0018136477,86000-86999
Enhetschef/gruppchef/ första linjens chef,private,0.00204035366,87000-87999
Enhetschef/gruppchef/ första linjens chef,private,0.00317388347,88000-88999
Enhetschef/gruppchef/ första linjens chef,private,0.00204035366,89000-89999
Enhetschef/gruppchef/ första linjens chef,private,0.03128542281,90000-
