profession,publicprivate,value,income
"enhetschef, gruppchef, första linjens chef",private,0.0271,-34999
"enhetschef, gruppchef, första linjens chef",private,0.00689315608075,35000-35999
"enhetschef, gruppchef, första linjens chef",private,0.00580994583949,36000-36999
"enhetschef, gruppchef, första linjens chef",private,0.0082717872969,37000-37999
"enhetschef, gruppchef, första linjens chef",private,0.0115214180207,38000-38999
"enhetschef, gruppchef, första linjens chef",private,0.0103397341211,39000-39999
"enhetschef, gruppchef, första linjens chef",private,0.0206794682422,40000-40999
"enhetschef, gruppchef, första linjens chef",private,0.0153618906942,41000-41999
"enhetschef, gruppchef, första linjens chef",private,0.0197932053176,42000-42999
"enhetschef, gruppchef, första linjens chef",private,0.0193008370261,43000-43999
"enhetschef, gruppchef, första linjens chef",private,0.0201870999508,44000-44999
"enhetschef, gruppchef, första linjens chef",private,0.0260955194485,45000-45999
"enhetschef, gruppchef, första linjens chef",private,0.0257016248154,46000-46999
"enhetschef, gruppchef, första linjens chef",private,0.0281634662728,47000-47999
"enhetschef, gruppchef, första linjens chef",private,0.0318069916297,48000-48999
"enhetschef, gruppchef, första linjens chef",private,0.0283604135894,49000-49999
"enhetschef, gruppchef, första linjens chef",private,0.0368291482029,50000-50999
"enhetschef, gruppchef, första linjens chef",private,0.0288527818808,51000-51999
"enhetschef, gruppchef, första linjens chef",private,0.0299359921221,52000-52999
"enhetschef, gruppchef, första linjens chef",private,0.03121614968,53000-53999
"enhetschef, gruppchef, första linjens chef",private,0.0268833087149,54000-54999
"enhetschef, gruppchef, första linjens chef",private,0.0377154111275,55000-55999
"enhetschef, gruppchef, första linjens chef",private,0.0344657804037,56000-56999
"enhetschef, gruppchef, första linjens chef",private,0.028557360906,57000-57999
"enhetschef, gruppchef, första linjens chef",private,0.0315115706548,58000-58999
"enhetschef, gruppchef, första linjens chef",private,0.0266863613983,59000-59999
"enhetschef, gruppchef, första linjens chef",private,0.0361398325948,60000-60999
"enhetschef, gruppchef, första linjens chef",private,0.0224519940916,61000-61999
"enhetschef, gruppchef, första linjens chef",private,0.0250123092073,62000-62999
"enhetschef, gruppchef, första linjens chef",private,0.0233382570162,63000-63999
"enhetschef, gruppchef, första linjens chef",private,0.0175283111768,64000-64999
"enhetschef, gruppchef, första linjens chef",private,0.0238306253077,65000-65999
"enhetschef, gruppchef, första linjens chef",private,0.0188084687346,66000-66999
"enhetschef, gruppchef, första linjens chef",private,0.0179222058099,67000-67999
"enhetschef, gruppchef, första linjens chef",private,0.0155588380108,68000-68999
"enhetschef, gruppchef, första linjens chef",private,0.0139832594781,69000-69999
"enhetschef, gruppchef, första linjens chef",private,0.0177252584934,70000-70999
"enhetschef, gruppchef, första linjens chef",private,0.0117183653373,71000-71999
"enhetschef, gruppchef, första linjens chef",private,0.0124076809453,72000-72999
"enhetschef, gruppchef, första linjens chef",private,0.00965041851305,73000-73999
"enhetschef, gruppchef, första linjens chef",private,0.00945347119645,74000-74999
"enhetschef, gruppchef, första linjens chef",private,0.0107336287543,75000-75999
"enhetschef, gruppchef, första linjens chef",private,0.00768094534712,76000-76999
"enhetschef, gruppchef, första linjens chef",private,0.00600689315608,77000-77999
"enhetschef, gruppchef, första linjens chef",private,0.00571147218119,78000-78999
"enhetschef, gruppchef, första linjens chef",private,0.00472673559823,79000-79999
"enhetschef, gruppchef, första linjens chef",private,0.00787789266371,80000-80999
"enhetschef, gruppchef, första linjens chef",private,0.00344657804037,81000-81999
"enhetschef, gruppchef, första linjens chef",private,0.0055145248646,82000-82999
"enhetschef, gruppchef, första linjens chef",private,0.00433284096504,83000-83999
"enhetschef, gruppchef, första linjens chef",private,0.0027572624323,84000-84999
"enhetschef, gruppchef, första linjens chef",private,0.00433284096504,85000-85999
"enhetschef, gruppchef, första linjens chef",private,0.00384047267356,86000-86999
"enhetschef, gruppchef, första linjens chef",private,0.00305268340719,87000-87999
"enhetschef, gruppchef, första linjens chef",private,0.00216642048252,88000-88999
"enhetschef, gruppchef, första linjens chef",private,0.00147710487445,89000-89999
"enhetschef, gruppchef, första linjens chef",private,0.00226489414082,90000-90999
"enhetschef, gruppchef, första linjens chef",private,0.00216642048252,91000-91999
"enhetschef, gruppchef, första linjens chef",private,0.00137863121615,92000-92999
"enhetschef, gruppchef, första linjens chef",private,0.00177252584934,93000-93999
"enhetschef, gruppchef, första linjens chef",private,0.00118168389956,94000-94999
"enhetschef, gruppchef, första linjens chef",private,0.0240275726243,95000-
