profession,publicprivate,value,income
"enhetschef, gruppchef, första linjens chef",public,0.00010698619878,26000-26999
"enhetschef, gruppchef, första linjens chef",public,0.00010698619878,27000-27999
"enhetschef, gruppchef, första linjens chef",public,0.000213972397561,28000-28999
"enhetschef, gruppchef, första linjens chef",public,0.000427944795121,29000-29999
"enhetschef, gruppchef, första linjens chef",public,0.000427944795121,30000-30999
"enhetschef, gruppchef, första linjens chef",public,0.00128383438536,31000-31999
"enhetschef, gruppchef, första linjens chef",public,0.00171177918049,32000-32999
"enhetschef, gruppchef, första linjens chef",public,0.00246068257195,33000-33999
"enhetschef, gruppchef, första linjens chef",public,0.00278164116829,34000-34999
"enhetschef, gruppchef, första linjens chef",public,0.00363753075853,35000-35999
"enhetschef, gruppchef, första linjens chef",public,0.00502835134268,36000-36999
"enhetschef, gruppchef, första linjens chef",public,0.00641917192682,37000-37999
"enhetschef, gruppchef, första linjens chef",public,0.0100567026854,38000-38999
"enhetschef, gruppchef, första linjens chef",public,0.0123034128597,39000-39999
"enhetschef, gruppchef, första linjens chef",public,0.0195784743768,40000-40999
"enhetschef, gruppchef, första linjens chef",public,0.0218251845512,41000-41999
"enhetschef, gruppchef, första linjens chef",public,0.0252487429122,42000-42999
"enhetschef, gruppchef, första linjens chef",public,0.0308120252487,43000-43999
"enhetschef, gruppchef, första linjens chef",public,0.0362683213865,44000-44999
"enhetschef, gruppchef, första linjens chef",public,0.0347705146036,45000-45999
"enhetschef, gruppchef, första linjens chef",public,0.0392639349524,46000-46999
"enhetschef, gruppchef, första linjens chef",public,0.0430084519097,47000-47999
"enhetschef, gruppchef, första linjens chef",public,0.0489996790414,48000-48999
"enhetschef, gruppchef, första linjens chef",public,0.0445062586926,49000-49999
"enhetschef, gruppchef, första linjens chef",public,0.0513533754146,50000-50999
"enhetschef, gruppchef, första linjens chef",public,0.047715844656,51000-51999
"enhetschef, gruppchef, första linjens chef",public,0.0454691344817,52000-52999
"enhetschef, gruppchef, första linjens chef",public,0.0471809136621,53000-53999
"enhetschef, gruppchef, första linjens chef",public,0.0445062586926,54000-54999
"enhetschef, gruppchef, första linjens chef",public,0.0422595485182,55000-55999
"enhetschef, gruppchef, första linjens chef",public,0.037017224778,56000-56999
"enhetschef, gruppchef, första linjens chef",public,0.0286723012731,57000-57999
"enhetschef, gruppchef, första linjens chef",public,0.0274954530866,58000-58999
"enhetschef, gruppchef, första linjens chef",public,0.0225740879427,59000-59999
"enhetschef, gruppchef, första linjens chef",public,0.0221461431475,60000-60999
"enhetschef, gruppchef, första linjens chef",public,0.0196854605756,61000-61999
"enhetschef, gruppchef, första linjens chef",public,0.0156199850219,62000-62999
"enhetschef, gruppchef, första linjens chef",public,0.014122178239,63000-63999
"enhetschef, gruppchef, första linjens chef",public,0.0134802610463,64000-64999
"enhetschef, gruppchef, första linjens chef",public,0.0169038194073,65000-65999
"enhetschef, gruppchef, första linjens chef",public,0.0126243714561,66000-66999
"enhetschef, gruppchef, första linjens chef",public,0.01315930245,67000-67999
"enhetschef, gruppchef, första linjens chef",public,0.012196426661,68000-68999
"enhetschef, gruppchef, första linjens chef",public,0.01315930245,69000-69999
"enhetschef, gruppchef, första linjens chef",public,0.0125173852573,70000-70999
"enhetschef, gruppchef, första linjens chef",public,0.00887985449877,71000-71999
"enhetschef, gruppchef, första linjens chef",public,0.00695410292072,72000-72999
"enhetschef, gruppchef, första linjens chef",public,0.00534930993902,73000-73999
"enhetschef, gruppchef, första linjens chef",public,0.00353054455975,74000-74999
"enhetschef, gruppchef, första linjens chef",public,0.0241788809244,75000-
