profession,publicprivate,value,income
"högsta chef, högre chef, mellanchef",private,0.000122010736945,26000-26999
"högsta chef, högre chef, mellanchef",private,0.000122010736945,27000-27999
"högsta chef, högre chef, mellanchef",private,0.00024402147389,28000-28999
"högsta chef, högre chef, mellanchef",private,0.00024402147389,29000-29999
"högsta chef, högre chef, mellanchef",private,0.000976085895559,30000-30999
"högsta chef, högre chef, mellanchef",private,0.000732064421669,31000-31999
"högsta chef, högre chef, mellanchef",private,0.000732064421669,32000-32999
"högsta chef, högre chef, mellanchef",private,0.0010980966325,33000-33999
"högsta chef, högre chef, mellanchef",private,0.00146412884334,34000-34999
"högsta chef, högre chef, mellanchef",private,0.00231820400195,35000-35999
"högsta chef, högre chef, mellanchef",private,0.0010980966325,36000-36999
"högsta chef, högre chef, mellanchef",private,0.00305026842362,37000-37999
"högsta chef, högre chef, mellanchef",private,0.00341630063446,38000-38999
"högsta chef, högre chef, mellanchef",private,0.0024402147389,39000-39999
"högsta chef, högre chef, mellanchef",private,0.00658857979502,40000-40999
"högsta chef, högre chef, mellanchef",private,0.00427037579307,41000-41999
"högsta chef, högre chef, mellanchef",private,0.00585651537335,42000-42999
"högsta chef, högre chef, mellanchef",private,0.00585651537335,43000-43999
"högsta chef, högre chef, mellanchef",private,0.00549048316252,44000-44999
"högsta chef, högre chef, mellanchef",private,0.00902879453392,45000-45999
"högsta chef, högre chef, mellanchef",private,0.00841874084919,46000-46999
"högsta chef, högre chef, mellanchef",private,0.00671059053197,47000-47999
"högsta chef, högre chef, mellanchef",private,0.00768667642753,48000-48999
"högsta chef, högre chef, mellanchef",private,0.00658857979502,49000-49999
"högsta chef, högre chef, mellanchef",private,0.0143972669595,50000-50999
"högsta chef, högre chef, mellanchef",private,0.00866276232308,51000-51999
"högsta chef, högre chef, mellanchef",private,0.00976085895559,52000-52999
"högsta chef, högre chef, mellanchef",private,0.0114690092728,53000-53999
"högsta chef, högre chef, mellanchef",private,0.00902879453392,54000-54999
"högsta chef, högre chef, mellanchef",private,0.0140312347487,55000-55999
"högsta chef, högre chef, mellanchef",private,0.0125671059053,56000-56999
"högsta chef, högre chef, mellanchef",private,0.013299170327,57000-57999
"högsta chef, högre chef, mellanchef",private,0.0139092240117,58000-58999
"högsta chef, högre chef, mellanchef",private,0.00841874084919,59000-59999
"högsta chef, högre chef, mellanchef",private,0.0259882869693,60000-60999
"högsta chef, högre chef, mellanchef",private,0.0172035139092,61000-61999
"högsta chef, högre chef, mellanchef",private,0.0167154709614,62000-62999
"högsta chef, högre chef, mellanchef",private,0.0150073206442,63000-63999
"högsta chef, högre chef, mellanchef",private,0.0157393850659,64000-64999
"högsta chef, högre chef, mellanchef",private,0.0213518789653,65000-65999
"högsta chef, högre chef, mellanchef",private,0.0139092240117,66000-66999
"högsta chef, högre chef, mellanchef",private,0.0172035139092,67000-67999
"högsta chef, högre chef, mellanchef",private,0.0141532454856,68000-68999
"högsta chef, högre chef, mellanchef",private,0.0139092240117,69000-69999
"högsta chef, högre chef, mellanchef",private,0.0240361151781,70000-70999
"högsta chef, högre chef, mellanchef",private,0.0162274280137,71000-71999
"högsta chef, högre chef, mellanchef",private,0.0191556857003,72000-72999
"högsta chef, högre chef, mellanchef",private,0.0153733528551,73000-73999
"högsta chef, högre chef, mellanchef",private,0.0163494387506,74000-74999
"högsta chef, högre chef, mellanchef",private,0.0246461688629,75000-75999
"högsta chef, högre chef, mellanchef",private,0.0140312347487,76000-76999
"högsta chef, högre chef, mellanchef",private,0.0143972669595,77000-77999
"högsta chef, högre chef, mellanchef",private,0.0152513421181,78000-78999
"högsta chef, högre chef, mellanchef",private,0.0136652025378,79000-79999
"högsta chef, högre chef, mellanchef",private,0.0209858467545,80000-80999
"högsta chef, högre chef, mellanchef",private,0.011102977062,81000-81999
"högsta chef, högre chef, mellanchef",private,0.0142752562225,82000-82999
"högsta chef, högre chef, mellanchef",private,0.0137872132748,83000-83999
"högsta chef, högre chef, mellanchef",private,0.0101268911664,84000-84999
"högsta chef, högre chef, mellanchef",private,0.0153733528551,85000-85999
"högsta chef, högre chef, mellanchef",private,0.00988286969253,86000-86999
"högsta chef, högre chef, mellanchef",private,0.0114690092728,87000-87999
"högsta chef, högre chef, mellanchef",private,0.0107369448511,88000-88999
"högsta chef, högre chef, mellanchef",private,0.00829673011225,89000-89999
"högsta chef, högre chef, mellanchef",private,0.0146412884334,90000-90999
"högsta chef, högre chef, mellanchef",private,0.00866276232308,91000-91999
"högsta chef, högre chef, mellanchef",private,0.00890678379697,92000-92999
"högsta chef, högre chef, mellanchef",private,0.00646656905808,93000-93999
"högsta chef, högre chef, mellanchef",private,0.00841874084919,94000-94999
"högsta chef, högre chef, mellanchef",private,0.0112249877989,95000-95999
"högsta chef, högre chef, mellanchef",private,0.00817471937531,96000-96999
"högsta chef, högre chef, mellanchef",private,0.00854075158614,97000-97999
"högsta chef, högre chef, mellanchef",private,0.00841874084919,98000-98999
"högsta chef, högre chef, mellanchef",private,0.00744265495364,99000-99999
"högsta chef, högre chef, mellanchef",private,0.0117130307467,100000-100999
"högsta chef, högre chef, mellanchef",private,0.00658857979502,101000-101999
"högsta chef, högre chef, mellanchef",private,0.00646656905808,102000-102999
"högsta chef, högre chef, mellanchef",private,0.0046364080039,103000-103999
"högsta chef, högre chef, mellanchef",private,0.00610053684724,104000-104999
"högsta chef, högre chef, mellanchef",private,0.0103709126403,105000-105999
"högsta chef, högre chef, mellanchef",private,0.00658857979502,106000-106999
"högsta chef, högre chef, mellanchef",private,0.00634455832113,107000-107999
"högsta chef, högre chef, mellanchef",private,0.0046364080039,108000-108999
"högsta chef, högre chef, mellanchef",private,0.00414836505612,109000-109999
"högsta chef, högre chef, mellanchef",private,0.00890678379697,110000-110999
"högsta chef, högre chef, mellanchef",private,0.00439238653001,111000-111999
"högsta chef, högre chef, mellanchef",private,0.00317227916057,112000-112999
"högsta chef, högre chef, mellanchef",private,0.00451439726696,113000-113999
"högsta chef, högre chef, mellanchef",private,0.00256222547584,114000-114999
"högsta chef, högre chef, mellanchef",private,0.00549048316252,115000-115999
"högsta chef, högre chef, mellanchef",private,0.00268423621279,116000-116999
"högsta chef, högre chef, mellanchef",private,0.00427037579307,117000-117999
"högsta chef, högre chef, mellanchef",private,0.00305026842362,118000-118999
"högsta chef, högre chef, mellanchef",private,0.0024402147389,119000-119999
"högsta chef, högre chef, mellanchef",private,0.0059785261103,120000-120999
"högsta chef, högre chef, mellanchef",private,0.00305026842362,121000-121999
"högsta chef, högre chef, mellanchef",private,0.00280624694973,122000-122999
"högsta chef, högre chef, mellanchef",private,0.00256222547584,123000-123999
"högsta chef, högre chef, mellanchef",private,0.00183016105417,124000-124999
"högsta chef, högre chef, mellanchef",private,0.00585651537335,125000-125999
"högsta chef, högre chef, mellanchef",private,0.00219619326501,126000-126999
"högsta chef, högre chef, mellanchef",private,0.00268423621279,127000-127999
"högsta chef, högre chef, mellanchef",private,0.00317227916057,128000-128999
"högsta chef, högre chef, mellanchef",private,0.00183016105417,129000-129999
"högsta chef, högre chef, mellanchef",private,0.00475841874085,130000-130999
"högsta chef, högre chef, mellanchef",private,0.00134211810639,131000-131999
"högsta chef, högre chef, mellanchef",private,0.00158613958028,132000-132999
"högsta chef, högre chef, mellanchef",private,0.00195217179112,133000-133999
"högsta chef, högre chef, mellanchef",private,0.00256222547584,134000-134999
"högsta chef, högre chef, mellanchef",private,0.00280624694973,135000-135999
"högsta chef, högre chef, mellanchef",private,0.00207418252806,136000-136999
"högsta chef, högre chef, mellanchef",private,0.00158613958028,137000-137999
"högsta chef, högre chef, mellanchef",private,0.00134211810639,138000-138999
"högsta chef, högre chef, mellanchef",private,0.00231820400195,139000-139999
"högsta chef, högre chef, mellanchef",private,0.00366032210835,140000-140999
"högsta chef, högre chef, mellanchef",private,0.00146412884334,141000-141999
"högsta chef, högre chef, mellanchef",private,0.00219619326501,142000-142999
"högsta chef, högre chef, mellanchef",private,0.00170815031723,143000-143999
"högsta chef, högre chef, mellanchef",private,0.00146412884334,144000-144999
"högsta chef, högre chef, mellanchef",private,0.00146412884334,145000-145999
"högsta chef, högre chef, mellanchef",private,0.000976085895559,146000-146999
"högsta chef, högre chef, mellanchef",private,0.00195217179112,147000-147999
"högsta chef, högre chef, mellanchef",private,0.00134211810639,148000-148999
"högsta chef, högre chef, mellanchef",private,0.000976085895559,149000-149999
"högsta chef, högre chef, mellanchef",private,0.00414836505612,150000-150999
"högsta chef, högre chef, mellanchef",private,0.00183016105417,151000-151999
"högsta chef, högre chef, mellanchef",private,0.000488042947779,152000-152999
"högsta chef, högre chef, mellanchef",private,0.000976085895559,153000-153999
"högsta chef, högre chef, mellanchef",private,0.000732064421669,154000-154999
"högsta chef, högre chef, mellanchef",private,0.0010980966325,155000-155999
"högsta chef, högre chef, mellanchef",private,0.000976085895559,156000-156999
"högsta chef, högre chef, mellanchef",private,0.000976085895559,157000-157999
"högsta chef, högre chef, mellanchef",private,0.000854075158614,158000-158999
"högsta chef, högre chef, mellanchef",private,0.000366032210835,159000-159999
"högsta chef, högre chef, mellanchef",private,0.0010980966325,160000-160999
"högsta chef, högre chef, mellanchef",private,0.00170815031723,161000-161999
"högsta chef, högre chef, mellanchef",private,0.000610053684724,162000-162999
"högsta chef, högre chef, mellanchef",private,0.00122010736945,163000-163999
"högsta chef, högre chef, mellanchef",private,0.000732064421669,164000-164999
"högsta chef, högre chef, mellanchef",private,0.00170815031723,165000-165999
"högsta chef, högre chef, mellanchef",private,0.000366032210835,166000-166999
"högsta chef, högre chef, mellanchef",private,0.00122010736945,167000-167999
"högsta chef, högre chef, mellanchef",private,0.000488042947779,168000-168999
"högsta chef, högre chef, mellanchef",private,0.000854075158614,169000-169999
"högsta chef, högre chef, mellanchef",private,0.000976085895559,170000-170999
"högsta chef, högre chef, mellanchef",private,0.000854075158614,171000-171999
"högsta chef, högre chef, mellanchef",private,0.000366032210835,172000-172999
"högsta chef, högre chef, mellanchef",private,0.000488042947779,173000-173999
"högsta chef, högre chef, mellanchef",private,0.000732064421669,174000-174999
"högsta chef, högre chef, mellanchef",private,0.0010980966325,175000-175999
"högsta chef, högre chef, mellanchef",private,0.000488042947779,176000-176999
"högsta chef, högre chef, mellanchef",private,0.00024402147389,177000-177999
"högsta chef, högre chef, mellanchef",private,0.000732064421669,178000-178999
"högsta chef, högre chef, mellanchef",private,0.00024402147389,179000-179999
"högsta chef, högre chef, mellanchef",private,0.0294045876037,180000-
