profession,publicprivate,value,income
"Högsta chef, högre chef, mellanchef",public,0.00409965310628,100000-100999
"Högsta chef, högre chef, mellanchef",public,0.00409965310628,101000-101999
"Högsta chef, högre chef, mellanchef",public,0.00283822138127,102000-102999
"Högsta chef, högre chef, mellanchef",public,0.00283822138127,103000-103999
"Högsta chef, högre chef, mellanchef",public,0.00252286345002,104000-104999
"Högsta chef, högre chef, mellanchef",public,0.00252286345002,105000-105999
"Högsta chef, högre chef, mellanchef",public,0.000946073793756,106000-106999
"Högsta chef, högre chef, mellanchef",public,0.00157678965626,107000-107999
"Högsta chef, högre chef, mellanchef",public,0.00189214758751,108000-108999
"Högsta chef, högre chef, mellanchef",public,0.00157678965626,109000-109999
"Högsta chef, högre chef, mellanchef",public,0.0227057710501,110000-
"Högsta chef, högre chef, mellanchef",public,0.000630715862504,28000-28999
"Högsta chef, högre chef, mellanchef",public,0.000315357931252,30000-30999
"Högsta chef, högre chef, mellanchef",public,0.0,31000-31999
"Högsta chef, högre chef, mellanchef",public,0.0,32000-32999
"Högsta chef, högre chef, mellanchef",public,0.000630715862504,33000-33999
"Högsta chef, högre chef, mellanchef",public,0.000315357931252,34000-34999
"Högsta chef, högre chef, mellanchef",public,0.000630715862504,35000-35999
"Högsta chef, högre chef, mellanchef",public,0.000315357931252,36000-36999
"Högsta chef, högre chef, mellanchef",public,0.000630715862504,37000-37999
"Högsta chef, högre chef, mellanchef",public,0.00157678965626,38000-38999
"Högsta chef, högre chef, mellanchef",public,0.00157678965626,39000-39999
"Högsta chef, högre chef, mellanchef",public,0.00283822138127,40000-40999
"Högsta chef, högre chef, mellanchef",public,0.00536108483128,41000-41999
"Högsta chef, högre chef, mellanchef",public,0.00473036896878,42000-42999
"Högsta chef, högre chef, mellanchef",public,0.00315357931252,43000-43999
"Högsta chef, högre chef, mellanchef",public,0.00346893724377,44000-44999
"Högsta chef, högre chef, mellanchef",public,0.00819930621255,45000-45999
"Högsta chef, högre chef, mellanchef",public,0.00977609586881,46000-46999
"Högsta chef, högre chef, mellanchef",public,0.0129296751813,47000-47999
"Högsta chef, högre chef, mellanchef",public,0.0167139703564,48000-48999
"Högsta chef, högre chef, mellanchef",public,0.0157678965626,49000-49999
"Högsta chef, högre chef, mellanchef",public,0.0230211289814,50000-50999
"Högsta chef, högre chef, mellanchef",public,0.0192368338064,51000-51999
