percentile,profession,publicprivate,income
3,Enhetschef/gruppchef/ första linjens chef,private,34500
4,Enhetschef/gruppchef/ första linjens chef,private,35400
5,Enhetschef/gruppchef/ första linjens chef,private,36280
6,Enhetschef/gruppchef/ första linjens chef,private,37100
7,Enhetschef/gruppchef/ första linjens chef,private,37800
8,Enhetschef/gruppchef/ första linjens chef,private,38400
9,Enhetschef/gruppchef/ första linjens chef,private,38900
10,Enhetschef/gruppchef/ första linjens chef,private,39400
11,Enhetschef/gruppchef/ första linjens chef,private,40000
12,Enhetschef/gruppchef/ första linjens chef,private,40100
13,Enhetschef/gruppchef/ första linjens chef,private,40780
14,Enhetschef/gruppchef/ första linjens chef,private,41173
15,Enhetschef/gruppchef/ första linjens chef,private,41600
16,Enhetschef/gruppchef/ första linjens chef,private,42000
17,Enhetschef/gruppchef/ första linjens chef,private,42436
18,Enhetschef/gruppchef/ första linjens chef,private,42850
19,Enhetschef/gruppchef/ första linjens chef,private,43050
20,Enhetschef/gruppchef/ första linjens chef,private,43600
21,Enhetschef/gruppchef/ första linjens chef,private,44000
22,Enhetschef/gruppchef/ första linjens chef,private,44500
23,Enhetschef/gruppchef/ första linjens chef,private,44900
24,Enhetschef/gruppchef/ första linjens chef,private,45000
25,Enhetschef/gruppchef/ första linjens chef,private,45250
26,Enhetschef/gruppchef/ första linjens chef,private,45700
27,Enhetschef/gruppchef/ första linjens chef,private,46000
28,Enhetschef/gruppchef/ första linjens chef,private,46220
29,Enhetschef/gruppchef/ första linjens chef,private,46600
30,Enhetschef/gruppchef/ första linjens chef,private,47000
31,Enhetschef/gruppchef/ första linjens chef,private,47200
32,Enhetschef/gruppchef/ första linjens chef,private,47600
33,Enhetschef/gruppchef/ första linjens chef,private,48000
34,Enhetschef/gruppchef/ första linjens chef,private,48200
35,Enhetschef/gruppchef/ första linjens chef,private,48500
36,Enhetschef/gruppchef/ första linjens chef,private,49000
37,Enhetschef/gruppchef/ första linjens chef,private,49150
38,Enhetschef/gruppchef/ första linjens chef,private,49700
39,Enhetschef/gruppchef/ första linjens chef,private,50000
41,Enhetschef/gruppchef/ första linjens chef,private,50400
42,Enhetschef/gruppchef/ första linjens chef,private,50700
43,Enhetschef/gruppchef/ första linjens chef,private,51000
44,Enhetschef/gruppchef/ första linjens chef,private,51274
45,Enhetschef/gruppchef/ första linjens chef,private,51500
46,Enhetschef/gruppchef/ första linjens chef,private,51870
47,Enhetschef/gruppchef/ första linjens chef,private,52000
48,Enhetschef/gruppchef/ första linjens chef,private,52390
49,Enhetschef/gruppchef/ första linjens chef,private,52650
50,Enhetschef/gruppchef/ första linjens chef,private,53000
51,Enhetschef/gruppchef/ första linjens chef,private,53274
52,Enhetschef/gruppchef/ första linjens chef,private,53700
53,Enhetschef/gruppchef/ första linjens chef,private,54000
54,Enhetschef/gruppchef/ första linjens chef,private,54500
55,Enhetschef/gruppchef/ första linjens chef,private,54948
56,Enhetschef/gruppchef/ första linjens chef,private,55000
57,Enhetschef/gruppchef/ första linjens chef,private,55200
58,Enhetschef/gruppchef/ första linjens chef,private,55500
59,Enhetschef/gruppchef/ första linjens chef,private,56000
60,Enhetschef/gruppchef/ första linjens chef,private,56100
61,Enhetschef/gruppchef/ första linjens chef,private,56500
62,Enhetschef/gruppchef/ första linjens chef,private,57000
63,Enhetschef/gruppchef/ första linjens chef,private,57500
64,Enhetschef/gruppchef/ första linjens chef,private,57850
65,Enhetschef/gruppchef/ första linjens chef,private,58250
66,Enhetschef/gruppchef/ första linjens chef,private,58700
67,Enhetschef/gruppchef/ första linjens chef,private,59000
68,Enhetschef/gruppchef/ första linjens chef,private,59450
69,Enhetschef/gruppchef/ första linjens chef,private,60000
71,Enhetschef/gruppchef/ första linjens chef,private,60500
72,Enhetschef/gruppchef/ första linjens chef,private,61000
73,Enhetschef/gruppchef/ första linjens chef,private,61500
74,Enhetschef/gruppchef/ första linjens chef,private,62000
75,Enhetschef/gruppchef/ första linjens chef,private,62400
76,Enhetschef/gruppchef/ första linjens chef,private,63000
77,Enhetschef/gruppchef/ första linjens chef,private,63500
78,Enhetschef/gruppchef/ första linjens chef,private,64000
79,Enhetschef/gruppchef/ första linjens chef,private,64664
80,Enhetschef/gruppchef/ första linjens chef,private,65000
81,Enhetschef/gruppchef/ första linjens chef,private,65940
82,Enhetschef/gruppchef/ första linjens chef,private,66800
83,Enhetschef/gruppchef/ första linjens chef,private,67600
84,Enhetschef/gruppchef/ första linjens chef,private,68235
85,Enhetschef/gruppchef/ första linjens chef,private,69000
86,Enhetschef/gruppchef/ första linjens chef,private,70000
87,Enhetschef/gruppchef/ första linjens chef,private,70674
88,Enhetschef/gruppchef/ första linjens chef,private,71900
89,Enhetschef/gruppchef/ första linjens chef,private,72800
90,Enhetschef/gruppchef/ första linjens chef,private,73800
91,Enhetschef/gruppchef/ första linjens chef,private,75000
92,Enhetschef/gruppchef/ första linjens chef,private,76000
93,Enhetschef/gruppchef/ första linjens chef,private,78000
94,Enhetschef/gruppchef/ första linjens chef,private,80000
95,Enhetschef/gruppchef/ första linjens chef,private,82700
96,Enhetschef/gruppchef/ första linjens chef,private,86000
97,Enhetschef/gruppchef/ första linjens chef,private,90000
