percentile,profession,publicprivate,income
3,"Högsta chef, Högre chef, Mellanchef",public,42900
4,"Högsta chef, Högre chef, Mellanchef",public,43900
5,"Högsta chef, Högre chef, Mellanchef",public,44600
6,"Högsta chef, Högre chef, Mellanchef",public,45300
7,"Högsta chef, Högre chef, Mellanchef",public,46000
8,"Högsta chef, Högre chef, Mellanchef",public,46600
9,"Högsta chef, Högre chef, Mellanchef",public,47000
10,"Högsta chef, Högre chef, Mellanchef",public,47500
11,"Högsta chef, Högre chef, Mellanchef",public,48000
12,"Högsta chef, Högre chef, Mellanchef",public,48500
13,"Högsta chef, Högre chef, Mellanchef",public,49000
14,"Högsta chef, Högre chef, Mellanchef",public,49500
15,"Högsta chef, Högre chef, Mellanchef",public,50000
17,"Högsta chef, Högre chef, Mellanchef",public,50400
18,"Högsta chef, Högre chef, Mellanchef",public,50750
19,"Högsta chef, Högre chef, Mellanchef",public,51000
20,"Högsta chef, Högre chef, Mellanchef",public,51456
21,"Högsta chef, Högre chef, Mellanchef",public,52000
23,"Högsta chef, Högre chef, Mellanchef",public,52400
24,"Högsta chef, Högre chef, Mellanchef",public,52700
25,"Högsta chef, Högre chef, Mellanchef",public,53000
26,"Högsta chef, Högre chef, Mellanchef",public,53200
27,"Högsta chef, Högre chef, Mellanchef",public,53800
28,"Högsta chef, Högre chef, Mellanchef",public,54000
29,"Högsta chef, Högre chef, Mellanchef",public,54450
30,"Högsta chef, Högre chef, Mellanchef",public,54900
31,"Högsta chef, Högre chef, Mellanchef",public,55000
32,"Högsta chef, Högre chef, Mellanchef",public,55200
33,"Högsta chef, Högre chef, Mellanchef",public,55500
34,"Högsta chef, Högre chef, Mellanchef",public,55900
35,"Högsta chef, Högre chef, Mellanchef",public,56000
36,"Högsta chef, Högre chef, Mellanchef",public,56150
37,"Högsta chef, Högre chef, Mellanchef",public,56500
38,"Högsta chef, Högre chef, Mellanchef",public,57000
40,"Högsta chef, Högre chef, Mellanchef",public,57500
41,"Högsta chef, Högre chef, Mellanchef",public,57900
42,"Högsta chef, Högre chef, Mellanchef",public,58000
43,"Högsta chef, Högre chef, Mellanchef",public,58500
44,"Högsta chef, Högre chef, Mellanchef",public,58800
45,"Högsta chef, Högre chef, Mellanchef",public,59000
46,"Högsta chef, Högre chef, Mellanchef",public,59450
47,"Högsta chef, Högre chef, Mellanchef",public,60000
49,"Högsta chef, Högre chef, Mellanchef",public,60450
50,"Högsta chef, Högre chef, Mellanchef",public,60800
51,"Högsta chef, Högre chef, Mellanchef",public,61274
52,"Högsta chef, Högre chef, Mellanchef",public,61700
53,"Högsta chef, Högre chef, Mellanchef",public,62000
54,"Högsta chef, Högre chef, Mellanchef",public,62400
55,"Högsta chef, Högre chef, Mellanchef",public,62600
56,"Högsta chef, Högre chef, Mellanchef",public,63000
57,"Högsta chef, Högre chef, Mellanchef",public,63200
58,"Högsta chef, Högre chef, Mellanchef",public,63700
59,"Högsta chef, Högre chef, Mellanchef",public,64000
60,"Högsta chef, Högre chef, Mellanchef",public,64400
61,"Högsta chef, Högre chef, Mellanchef",public,65000
62,"Högsta chef, Högre chef, Mellanchef",public,65200
63,"Högsta chef, Högre chef, Mellanchef",public,65700
64,"Högsta chef, Högre chef, Mellanchef",public,66000
65,"Högsta chef, Högre chef, Mellanchef",public,66600
66,"Högsta chef, Högre chef, Mellanchef",public,67000
67,"Högsta chef, Högre chef, Mellanchef",public,67500
68,"Högsta chef, Högre chef, Mellanchef",public,68000
69,"Högsta chef, Högre chef, Mellanchef",public,68800
70,"Högsta chef, Högre chef, Mellanchef",public,69400
71,"Högsta chef, Högre chef, Mellanchef",public,70000
72,"Högsta chef, Högre chef, Mellanchef",public,70200
73,"Högsta chef, Högre chef, Mellanchef",public,70900
74,"Högsta chef, Högre chef, Mellanchef",public,71200
75,"Högsta chef, Högre chef, Mellanchef",public,71900
76,"Högsta chef, Högre chef, Mellanchef",public,72000
77,"Högsta chef, Högre chef, Mellanchef",public,72800
78,"Högsta chef, Högre chef, Mellanchef",public,73100
79,"Högsta chef, Högre chef, Mellanchef",public,74000
80,"Högsta chef, Högre chef, Mellanchef",public,74700
81,"Högsta chef, Högre chef, Mellanchef",public,75000
82,"Högsta chef, Högre chef, Mellanchef",public,76000
83,"Högsta chef, Högre chef, Mellanchef",public,77000
84,"Högsta chef, Högre chef, Mellanchef",public,78100
85,"Högsta chef, Högre chef, Mellanchef",public,79600
86,"Högsta chef, Högre chef, Mellanchef",public,80100
87,"Högsta chef, Högre chef, Mellanchef",public,81900
88,"Högsta chef, Högre chef, Mellanchef",public,83000
89,"Högsta chef, Högre chef, Mellanchef",public,84400
90,"Högsta chef, Högre chef, Mellanchef",public,85600
91,"Högsta chef, Högre chef, Mellanchef",public,87300
92,"Högsta chef, Högre chef, Mellanchef",public,89400
93,"Högsta chef, Högre chef, Mellanchef",public,90600
94,"Högsta chef, Högre chef, Mellanchef",public,92500
95,"Högsta chef, Högre chef, Mellanchef",public,95000
96,"Högsta chef, Högre chef, Mellanchef",public,98600
97,"Högsta chef, Högre chef, Mellanchef",public,101000
