percentile,profession,publicprivate,income
3,"enhetschef, gruppchef, första linjens chef",private,35200
4,"enhetschef, gruppchef, första linjens chef",private,37000
5,"enhetschef, gruppchef, första linjens chef",private,38000
6,"enhetschef, gruppchef, första linjens chef",private,39000
7,"enhetschef, gruppchef, första linjens chef",private,40000
8,"enhetschef, gruppchef, första linjens chef",private,40100
9,"enhetschef, gruppchef, första linjens chef",private,40850
10,"enhetschef, gruppchef, första linjens chef",private,41500
11,"enhetschef, gruppchef, första linjens chef",private,42000
12,"enhetschef, gruppchef, första linjens chef",private,42500
13,"enhetschef, gruppchef, första linjens chef",private,43000
14,"enhetschef, gruppchef, första linjens chef",private,43521
15,"enhetschef, gruppchef, första linjens chef",private,44000
16,"enhetschef, gruppchef, första linjens chef",private,44600
17,"enhetschef, gruppchef, första linjens chef",private,45000
18,"enhetschef, gruppchef, första linjens chef",private,45100
19,"enhetschef, gruppchef, första linjens chef",private,45900
20,"enhetschef, gruppchef, första linjens chef",private,46100
21,"enhetschef, gruppchef, första linjens chef",private,46600
22,"enhetschef, gruppchef, första linjens chef",private,47000
23,"enhetschef, gruppchef, första linjens chef",private,47200
24,"enhetschef, gruppchef, första linjens chef",private,47600
25,"enhetschef, gruppchef, första linjens chef",private,48000
26,"enhetschef, gruppchef, första linjens chef",private,48200
27,"enhetschef, gruppchef, första linjens chef",private,48500
28,"enhetschef, gruppchef, första linjens chef",private,49000
29,"enhetschef, gruppchef, första linjens chef",private,49300
30,"enhetschef, gruppchef, första linjens chef",private,49700
31,"enhetschef, gruppchef, första linjens chef",private,50000
33,"enhetschef, gruppchef, första linjens chef",private,50500
34,"enhetschef, gruppchef, första linjens chef",private,50850
35,"enhetschef, gruppchef, första linjens chef",private,51000
36,"enhetschef, gruppchef, första linjens chef",private,51405
37,"enhetschef, gruppchef, första linjens chef",private,51900
38,"enhetschef, gruppchef, första linjens chef",private,52000
39,"enhetschef, gruppchef, första linjens chef",private,52400
40,"enhetschef, gruppchef, första linjens chef",private,52885
41,"enhetschef, gruppchef, första linjens chef",private,53000
42,"enhetschef, gruppchef, första linjens chef",private,53500
43,"enhetschef, gruppchef, första linjens chef",private,53855
44,"enhetschef, gruppchef, första linjens chef",private,54000
45,"enhetschef, gruppchef, första linjens chef",private,54500
46,"enhetschef, gruppchef, första linjens chef",private,55000
48,"enhetschef, gruppchef, första linjens chef",private,55200
49,"enhetschef, gruppchef, första linjens chef",private,55609
50,"enhetschef, gruppchef, första linjens chef",private,56000
51,"enhetschef, gruppchef, första linjens chef",private,56106
52,"enhetschef, gruppchef, första linjens chef",private,56500
53,"enhetschef, gruppchef, första linjens chef",private,56900
54,"enhetschef, gruppchef, första linjens chef",private,57024
55,"enhetschef, gruppchef, första linjens chef",private,57500
56,"enhetschef, gruppchef, första linjens chef",private,58000
58,"enhetschef, gruppchef, första linjens chef",private,58500
59,"enhetschef, gruppchef, första linjens chef",private,58900
60,"enhetschef, gruppchef, första linjens chef",private,59076
61,"enhetschef, gruppchef, första linjens chef",private,59500
62,"enhetschef, gruppchef, första linjens chef",private,60000
64,"enhetschef, gruppchef, första linjens chef",private,60350
65,"enhetschef, gruppchef, första linjens chef",private,60785
66,"enhetschef, gruppchef, första linjens chef",private,61000
67,"enhetschef, gruppchef, första linjens chef",private,61500
68,"enhetschef, gruppchef, första linjens chef",private,62000
69,"enhetschef, gruppchef, första linjens chef",private,62327
70,"enhetschef, gruppchef, första linjens chef",private,62800
71,"enhetschef, gruppchef, första linjens chef",private,63040
72,"enhetschef, gruppchef, första linjens chef",private,63580
73,"enhetschef, gruppchef, första linjens chef",private,64000
74,"enhetschef, gruppchef, första linjens chef",private,64750
75,"enhetschef, gruppchef, första linjens chef",private,65000
76,"enhetschef, gruppchef, första linjens chef",private,65500
77,"enhetschef, gruppchef, första linjens chef",private,66000
78,"enhetschef, gruppchef, första linjens chef",private,66600
79,"enhetschef, gruppchef, första linjens chef",private,67000
80,"enhetschef, gruppchef, första linjens chef",private,67700
81,"enhetschef, gruppchef, första linjens chef",private,68122
82,"enhetschef, gruppchef, första linjens chef",private,69000
83,"enhetschef, gruppchef, första linjens chef",private,69752
84,"enhetschef, gruppchef, första linjens chef",private,70033
85,"enhetschef, gruppchef, första linjens chef",private,70900
86,"enhetschef, gruppchef, första linjens chef",private,71667
87,"enhetschef, gruppchef, första linjens chef",private,72420
88,"enhetschef, gruppchef, första linjens chef",private,73500
89,"enhetschef, gruppchef, första linjens chef",private,74500
90,"enhetschef, gruppchef, första linjens chef",private,75400
91,"enhetschef, gruppchef, första linjens chef",private,76500
92,"enhetschef, gruppchef, första linjens chef",private,78190
93,"enhetschef, gruppchef, första linjens chef",private,80000
94,"enhetschef, gruppchef, första linjens chef",private,82000
95,"enhetschef, gruppchef, första linjens chef",private,84000
96,"enhetschef, gruppchef, första linjens chef",private,86650
97,"enhetschef, gruppchef, första linjens chef",private,91000
