percentile,profession,publicprivate,income
3,"Enhetschef, gruppchef, första linjens chef",public,36400
4,"Enhetschef, gruppchef, första linjens chef",public,37300
5,"Enhetschef, gruppchef, första linjens chef",public,38000
6,"Enhetschef, gruppchef, första linjens chef",public,38500
7,"Enhetschef, gruppchef, första linjens chef",public,39000
8,"Enhetschef, gruppchef, första linjens chef",public,39500
9,"Enhetschef, gruppchef, första linjens chef",public,40000
10,"Enhetschef, gruppchef, första linjens chef",public,40100
11,"Enhetschef, gruppchef, första linjens chef",public,40500
12,"Enhetschef, gruppchef, första linjens chef",public,40900
13,"Enhetschef, gruppchef, första linjens chef",public,41030
14,"Enhetschef, gruppchef, första linjens chef",public,41500
15,"Enhetschef, gruppchef, första linjens chef",public,41900
16,"Enhetschef, gruppchef, första linjens chef",public,42000
17,"Enhetschef, gruppchef, första linjens chef",public,42300
18,"Enhetschef, gruppchef, första linjens chef",public,42500
19,"Enhetschef, gruppchef, första linjens chef",public,42900
20,"Enhetschef, gruppchef, första linjens chef",public,43000
21,"Enhetschef, gruppchef, första linjens chef",public,43300
22,"Enhetschef, gruppchef, första linjens chef",public,43600
23,"Enhetschef, gruppchef, första linjens chef",public,43995
24,"Enhetschef, gruppchef, första linjens chef",public,44000
25,"Enhetschef, gruppchef, första linjens chef",public,44200
26,"Enhetschef, gruppchef, första linjens chef",public,44500
27,"Enhetschef, gruppchef, första linjens chef",public,44800
28,"Enhetschef, gruppchef, första linjens chef",public,45000
30,"Enhetschef, gruppchef, första linjens chef",public,45300
31,"Enhetschef, gruppchef, första linjens chef",public,45500
32,"Enhetschef, gruppchef, första linjens chef",public,45800
33,"Enhetschef, gruppchef, första linjens chef",public,46000
35,"Enhetschef, gruppchef, första linjens chef",public,46300
36,"Enhetschef, gruppchef, första linjens chef",public,46500
37,"Enhetschef, gruppchef, första linjens chef",public,46700
38,"Enhetschef, gruppchef, första linjens chef",public,47000
40,"Enhetschef, gruppchef, första linjens chef",public,47300
41,"Enhetschef, gruppchef, första linjens chef",public,47500
42,"Enhetschef, gruppchef, första linjens chef",public,47800
43,"Enhetschef, gruppchef, första linjens chef",public,48000
45,"Enhetschef, gruppchef, första linjens chef",public,48350
46,"Enhetschef, gruppchef, första linjens chef",public,48500
47,"Enhetschef, gruppchef, första linjens chef",public,48780
48,"Enhetschef, gruppchef, första linjens chef",public,49000
49,"Enhetschef, gruppchef, första linjens chef",public,49050
50,"Enhetschef, gruppchef, första linjens chef",public,49300
51,"Enhetschef, gruppchef, första linjens chef",public,49500
52,"Enhetschef, gruppchef, första linjens chef",public,49700
53,"Enhetschef, gruppchef, första linjens chef",public,50000
56,"Enhetschef, gruppchef, första linjens chef",public,50200
57,"Enhetschef, gruppchef, första linjens chef",public,50500
58,"Enhetschef, gruppchef, första linjens chef",public,50800
59,"Enhetschef, gruppchef, första linjens chef",public,51000
60,"Enhetschef, gruppchef, första linjens chef",public,51200
61,"Enhetschef, gruppchef, första linjens chef",public,51500
62,"Enhetschef, gruppchef, första linjens chef",public,51700
63,"Enhetschef, gruppchef, första linjens chef",public,52000
65,"Enhetschef, gruppchef, första linjens chef",public,52300
66,"Enhetschef, gruppchef, första linjens chef",public,52500
67,"Enhetschef, gruppchef, första linjens chef",public,52900
68,"Enhetschef, gruppchef, första linjens chef",public,53000
69,"Enhetschef, gruppchef, första linjens chef",public,53300
70,"Enhetschef, gruppchef, första linjens chef",public,53600
71,"Enhetschef, gruppchef, första linjens chef",public,54000
72,"Enhetschef, gruppchef, första linjens chef",public,54100
73,"Enhetschef, gruppchef, första linjens chef",public,54500
74,"Enhetschef, gruppchef, första linjens chef",public,55000
75,"Enhetschef, gruppchef, första linjens chef",public,55100
76,"Enhetschef, gruppchef, första linjens chef",public,55540
77,"Enhetschef, gruppchef, första linjens chef",public,56000
78,"Enhetschef, gruppchef, första linjens chef",public,56450
79,"Enhetschef, gruppchef, första linjens chef",public,57000
80,"Enhetschef, gruppchef, första linjens chef",public,57300
81,"Enhetschef, gruppchef, första linjens chef",public,57800
82,"Enhetschef, gruppchef, första linjens chef",public,58300
83,"Enhetschef, gruppchef, första linjens chef",public,58800
84,"Enhetschef, gruppchef, första linjens chef",public,59300
85,"Enhetschef, gruppchef, första linjens chef",public,60000
86,"Enhetschef, gruppchef, första linjens chef",public,60600
87,"Enhetschef, gruppchef, första linjens chef",public,61300
88,"Enhetschef, gruppchef, första linjens chef",public,62100
89,"Enhetschef, gruppchef, första linjens chef",public,63000
90,"Enhetschef, gruppchef, första linjens chef",public,63500
91,"Enhetschef, gruppchef, första linjens chef",public,64400
92,"Enhetschef, gruppchef, första linjens chef",public,65000
93,"Enhetschef, gruppchef, första linjens chef",public,65700
94,"Enhetschef, gruppchef, första linjens chef",public,66500
95,"Enhetschef, gruppchef, första linjens chef",public,67400
96,"Enhetschef, gruppchef, första linjens chef",public,68500
97,"Enhetschef, gruppchef, första linjens chef",public,70100
