percentile,profession,publicprivate,income
3,"Högsta chef, högre chef, mellanchef",private,40700
4,"Högsta chef, högre chef, mellanchef",private,42500
5,"Högsta chef, högre chef, mellanchef",private,44500
6,"Högsta chef, högre chef, mellanchef",private,45810
7,"Högsta chef, högre chef, mellanchef",private,47000
8,"Högsta chef, högre chef, mellanchef",private,48000
9,"Högsta chef, högre chef, mellanchef",private,49000
10,"Högsta chef, högre chef, mellanchef",private,50000
11,"Högsta chef, högre chef, mellanchef",private,50500
12,"Högsta chef, högre chef, mellanchef",private,51500
13,"Högsta chef, högre chef, mellanchef",private,52450
14,"Högsta chef, högre chef, mellanchef",private,53000
15,"Högsta chef, högre chef, mellanchef",private,54000
16,"Högsta chef, högre chef, mellanchef",private,55000
17,"Högsta chef, högre chef, mellanchef",private,55100
18,"Högsta chef, högre chef, mellanchef",private,56000
19,"Högsta chef, högre chef, mellanchef",private,56500
20,"Högsta chef, högre chef, mellanchef",private,57152
21,"Högsta chef, högre chef, mellanchef",private,58000
22,"Högsta chef, högre chef, mellanchef",private,58700
23,"Högsta chef, högre chef, mellanchef",private,59400
24,"Högsta chef, högre chef, mellanchef",private,60000
26,"Högsta chef, högre chef, mellanchef",private,60850
27,"Högsta chef, högre chef, mellanchef",private,61400
28,"Högsta chef, högre chef, mellanchef",private,62000
29,"Högsta chef, högre chef, mellanchef",private,62500
30,"Högsta chef, högre chef, mellanchef",private,63000
31,"Högsta chef, högre chef, mellanchef",private,63800
32,"Högsta chef, högre chef, mellanchef",private,64500
33,"Högsta chef, högre chef, mellanchef",private,65000
34,"Högsta chef, högre chef, mellanchef",private,65125
35,"Högsta chef, högre chef, mellanchef",private,66000
36,"Högsta chef, högre chef, mellanchef",private,66541
37,"Högsta chef, högre chef, mellanchef",private,67100
38,"Högsta chef, högre chef, mellanchef",private,68000
39,"Högsta chef, högre chef, mellanchef",private,68365
40,"Högsta chef, högre chef, mellanchef",private,69000
41,"Högsta chef, högre chef, mellanchef",private,70000
43,"Högsta chef, högre chef, mellanchef",private,70400
44,"Högsta chef, högre chef, mellanchef",private,71000
45,"Högsta chef, högre chef, mellanchef",private,71500
46,"Högsta chef, högre chef, mellanchef",private,72000
47,"Högsta chef, högre chef, mellanchef",private,72750
48,"Högsta chef, högre chef, mellanchef",private,73210
49,"Högsta chef, högre chef, mellanchef",private,74000
50,"Högsta chef, högre chef, mellanchef",private,74800
51,"Högsta chef, högre chef, mellanchef",private,75000
52,"Högsta chef, högre chef, mellanchef",private,75800
53,"Högsta chef, högre chef, mellanchef",private,76500
54,"Högsta chef, högre chef, mellanchef",private,77000
55,"Högsta chef, högre chef, mellanchef",private,77800
56,"Högsta chef, högre chef, mellanchef",private,78150
57,"Högsta chef, högre chef, mellanchef",private,79000
58,"Högsta chef, högre chef, mellanchef",private,80000
60,"Högsta chef, högre chef, mellanchef",private,80779
61,"Högsta chef, högre chef, mellanchef",private,81600
62,"Högsta chef, högre chef, mellanchef",private,82317
63,"Högsta chef, högre chef, mellanchef",private,83000
64,"Högsta chef, högre chef, mellanchef",private,84000
65,"Högsta chef, högre chef, mellanchef",private,85000
66,"Högsta chef, högre chef, mellanchef",private,85500
67,"Högsta chef, högre chef, mellanchef",private,86475
68,"Högsta chef, högre chef, mellanchef",private,87300
69,"Högsta chef, högre chef, mellanchef",private,88200
70,"Högsta chef, högre chef, mellanchef",private,89245
71,"Högsta chef, högre chef, mellanchef",private,90000
72,"Högsta chef, högre chef, mellanchef",private,91200
73,"Högsta chef, högre chef, mellanchef",private,92150
74,"Högsta chef, högre chef, mellanchef",private,93327
75,"Högsta chef, högre chef, mellanchef",private,95000
76,"Högsta chef, högre chef, mellanchef",private,95800
77,"Högsta chef, högre chef, mellanchef",private,96950
78,"Högsta chef, högre chef, mellanchef",private,98000
79,"Högsta chef, högre chef, mellanchef",private,99283
80,"Högsta chef, högre chef, mellanchef",private,100054
81,"Högsta chef, högre chef, mellanchef",private,101800
82,"Högsta chef, högre chef, mellanchef",private,103200
83,"Högsta chef, högre chef, mellanchef",private,105000
84,"Högsta chef, högre chef, mellanchef",private,107000
85,"Högsta chef, högre chef, mellanchef",private,109500
86,"Högsta chef, högre chef, mellanchef",private,111000
87,"Högsta chef, högre chef, mellanchef",private,113913
88,"Högsta chef, högre chef, mellanchef",private,116006
89,"Högsta chef, högre chef, mellanchef",private,119500
90,"Högsta chef, högre chef, mellanchef",private,122298
91,"Högsta chef, högre chef, mellanchef",private,125900
92,"Högsta chef, högre chef, mellanchef",private,130500
93,"Högsta chef, högre chef, mellanchef",private,135000
94,"Högsta chef, högre chef, mellanchef",private,140000
95,"Högsta chef, högre chef, mellanchef",private,148000
96,"Högsta chef, högre chef, mellanchef",private,156000
97,"Högsta chef, högre chef, mellanchef",private,167200
