percentile,profession,publicprivate,income
3,"högsta chef, högre chef, mellanchef",public,46700
4,"högsta chef, högre chef, mellanchef",public,48300
5,"högsta chef, högre chef, mellanchef",public,49500
6,"högsta chef, högre chef, mellanchef",public,50050
7,"högsta chef, högre chef, mellanchef",public,51000
8,"högsta chef, högre chef, mellanchef",public,51750
9,"högsta chef, högre chef, mellanchef",public,52200
10,"högsta chef, högre chef, mellanchef",public,53000
11,"högsta chef, högre chef, mellanchef",public,53760
12,"högsta chef, högre chef, mellanchef",public,54200
13,"högsta chef, högre chef, mellanchef",public,54700
14,"högsta chef, högre chef, mellanchef",public,55000
15,"högsta chef, högre chef, mellanchef",public,55500
16,"högsta chef, högre chef, mellanchef",public,56000
17,"högsta chef, högre chef, mellanchef",public,56500
18,"högsta chef, högre chef, mellanchef",public,57000
20,"högsta chef, högre chef, mellanchef",public,57511
21,"högsta chef, högre chef, mellanchef",public,58000
22,"högsta chef, högre chef, mellanchef",public,58400
23,"högsta chef, högre chef, mellanchef",public,58800
24,"högsta chef, högre chef, mellanchef",public,59200
25,"högsta chef, högre chef, mellanchef",public,59800
26,"högsta chef, högre chef, mellanchef",public,60000
27,"högsta chef, högre chef, mellanchef",public,60050
28,"högsta chef, högre chef, mellanchef",public,60800
29,"högsta chef, högre chef, mellanchef",public,61000
30,"högsta chef, högre chef, mellanchef",public,61300
31,"högsta chef, högre chef, mellanchef",public,61600
32,"högsta chef, högre chef, mellanchef",public,62000
33,"högsta chef, högre chef, mellanchef",public,62300
34,"högsta chef, högre chef, mellanchef",public,62600
35,"högsta chef, högre chef, mellanchef",public,63000
36,"högsta chef, högre chef, mellanchef",public,63100
37,"högsta chef, högre chef, mellanchef",public,63500
38,"högsta chef, högre chef, mellanchef",public,63800
39,"högsta chef, högre chef, mellanchef",public,64000
40,"högsta chef, högre chef, mellanchef",public,64500
41,"högsta chef, högre chef, mellanchef",public,65000
43,"högsta chef, högre chef, mellanchef",public,65600
44,"högsta chef, högre chef, mellanchef",public,66000
45,"högsta chef, högre chef, mellanchef",public,66500
46,"högsta chef, högre chef, mellanchef",public,66800
47,"högsta chef, högre chef, mellanchef",public,67000
48,"högsta chef, högre chef, mellanchef",public,67500
49,"högsta chef, högre chef, mellanchef",public,67800
50,"högsta chef, högre chef, mellanchef",public,68000
51,"högsta chef, högre chef, mellanchef",public,68697
52,"högsta chef, högre chef, mellanchef",public,69000
53,"högsta chef, högre chef, mellanchef",public,69500
54,"högsta chef, högre chef, mellanchef",public,70000
56,"högsta chef, högre chef, mellanchef",public,70300
57,"högsta chef, högre chef, mellanchef",public,70800
58,"högsta chef, högre chef, mellanchef",public,71000
59,"högsta chef, högre chef, mellanchef",public,71600
60,"högsta chef, högre chef, mellanchef",public,72000
61,"högsta chef, högre chef, mellanchef",public,72500
62,"högsta chef, högre chef, mellanchef",public,73000
63,"högsta chef, högre chef, mellanchef",public,73300
64,"högsta chef, högre chef, mellanchef",public,74000
65,"högsta chef, högre chef, mellanchef",public,74500
66,"högsta chef, högre chef, mellanchef",public,75000
68,"högsta chef, högre chef, mellanchef",public,76000
69,"högsta chef, högre chef, mellanchef",public,76500
70,"högsta chef, högre chef, mellanchef",public,77000
71,"högsta chef, högre chef, mellanchef",public,77700
72,"högsta chef, högre chef, mellanchef",public,78000
73,"högsta chef, högre chef, mellanchef",public,79000
74,"högsta chef, högre chef, mellanchef",public,79500
75,"högsta chef, högre chef, mellanchef",public,80000
77,"högsta chef, högre chef, mellanchef",public,80762
78,"högsta chef, högre chef, mellanchef",public,81350
79,"högsta chef, högre chef, mellanchef",public,82000
80,"högsta chef, högre chef, mellanchef",public,82500
81,"högsta chef, högre chef, mellanchef",public,83500
82,"högsta chef, högre chef, mellanchef",public,84100
83,"högsta chef, högre chef, mellanchef",public,85000
84,"högsta chef, högre chef, mellanchef",public,85600
85,"högsta chef, högre chef, mellanchef",public,86500
86,"högsta chef, högre chef, mellanchef",public,88000
87,"högsta chef, högre chef, mellanchef",public,89000
88,"högsta chef, högre chef, mellanchef",public,90000
89,"högsta chef, högre chef, mellanchef",public,90900
90,"högsta chef, högre chef, mellanchef",public,91700
91,"högsta chef, högre chef, mellanchef",public,93000
92,"högsta chef, högre chef, mellanchef",public,95000
93,"högsta chef, högre chef, mellanchef",public,97100
94,"högsta chef, högre chef, mellanchef",public,100000
95,"högsta chef, högre chef, mellanchef",public,103000
96,"högsta chef, högre chef, mellanchef",public,105600
97,"högsta chef, högre chef, mellanchef",public,111000
