profession,publicprivate,value,income
Arbetsterapeut,public,0.081632653061,-25000
Arbetsterapeut,public,0.071057513915,25000-25999
Arbetsterapeut,public,0.102226345083,26000-26999
Arbetsterapeut,public,0.133951762523,27000-27999
Arbetsterapeut,public,0.149536178108,28000-28999
Arbetsterapeut,public,0.131539888683,29000-29999
Arbetsterapeut,public,0.10241187384,30000-30999
Arbetsterapeut,public,0.063450834879,31000-31999
Arbetsterapeut,public,0.040630797774,32000-32999
Arbetsterapeut,public,0.024118738404,33000-33999
Arbetsterapeut,public,0.018738404453,34000-34999
Arbetsterapeut,public,0.011131725417,35000-35999
Arbetsterapeut,public,0.010760667904,36000-36999
Arbetsterapeut,public,0.00667903525,37000-37999
Arbetsterapeut,public,0.010760667904,38000-38999
Arbetsterapeut,public,0.00612244898,39000-39999
Arbetsterapeut,public,0.035250463822,40000-
