profession,publicprivate,value,income
Högskoleingenjör,public,0.016831683168,-25000
Högskoleingenjör,public,0.012871287129,25000-25999
Högskoleingenjör,public,0.029702970297,26000-26999
Högskoleingenjör,public,0.032178217822,27000-27999
Högskoleingenjör,public,0.042574257426,28000-28999
Högskoleingenjör,public,0.05099009901,29000-29999
Högskoleingenjör,public,0.077227722772,30000-30999
Högskoleingenjör,public,0.069306930693,31000-31999
Högskoleingenjör,public,0.061881188119,32000-32999
Högskoleingenjör,public,0.070297029703,33000-33999
Högskoleingenjör,public,0.05099009901,34000-34999
Högskoleingenjör,public,0.051485148515,35000-35999
Högskoleingenjör,public,0.055940594059,36000-36999
Högskoleingenjör,public,0.04603960396,37000-37999
Högskoleingenjör,public,0.05396039604,38000-38999
Högskoleingenjör,public,0.04603960396,39000-39999
Högskoleingenjör,public,0.038613861386,40000-40999
Högskoleingenjör,public,0.027722772277,41000-41999
Högskoleingenjör,public,0.019306930693,42000-42999
Högskoleingenjör,public,0.023762376238,43000-43999
Högskoleingenjör,public,0.022277227723,44000-44999
Högskoleingenjör,public,0.015841584158,45000-45999
Högskoleingenjör,public,0.011386138614,46000-46999
Högskoleingenjör,public,0.014356435644,47000-47999
Högskoleingenjör,public,0.009405940594,48000-48999
Högskoleingenjör,public,0.005940594059,49000-49999
Högskoleingenjör,public,0.007920792079,50000-50999
Högskoleingenjör,public,0.004455445545,51000-51999
Högskoleingenjör,public,0.030693069307,52000-
