percentile,profession,publicprivate,income
3,Socionom,private,23500
4,Socionom,private,24000
5,Socionom,private,24500
6,Socionom,private,25000
7,Socionom,private,25300
8,Socionom,private,25800
9,Socionom,private,26000
10,Socionom,private,26200
11,Socionom,private,26500
12,Socionom,private,26712
13,Socionom,private,27000
14,Socionom,private,27000
15,Socionom,private,27468
16,Socionom,private,27600
17,Socionom,private,27840
18,Socionom,private,28000
19,Socionom,private,28000
20,Socionom,private,28300
21,Socionom,private,28500
22,Socionom,private,28700
23,Socionom,private,28848
24,Socionom,private,29000
25,Socionom,private,29080
26,Socionom,private,29334
27,Socionom,private,29500
28,Socionom,private,29700
29,Socionom,private,29900
30,Socionom,private,30000
31,Socionom,private,30000
32,Socionom,private,30100
33,Socionom,private,30490
34,Socionom,private,30539
35,Socionom,private,30750
36,Socionom,private,31000
37,Socionom,private,31000
38,Socionom,private,31173
39,Socionom,private,31398
40,Socionom,private,31500
41,Socionom,private,31682
42,Socionom,private,31900
43,Socionom,private,32000
44,Socionom,private,32000
45,Socionom,private,32200
46,Socionom,private,32500
47,Socionom,private,32650
48,Socionom,private,32800
49,Socionom,private,33000
50,Socionom,private,33148
51,Socionom,private,33310
52,Socionom,private,33500
53,Socionom,private,33500
54,Socionom,private,33759
55,Socionom,private,33900
56,Socionom,private,34188
57,Socionom,private,34600
58,Socionom,private,34848
59,Socionom,private,35000
60,Socionom,private,35000
61,Socionom,private,35200
62,Socionom,private,35500
63,Socionom,private,35800
64,Socionom,private,36000
65,Socionom,private,36000
66,Socionom,private,36200
67,Socionom,private,36474
68,Socionom,private,36570
69,Socionom,private,36800
70,Socionom,private,37000
71,Socionom,private,37357
72,Socionom,private,37566
73,Socionom,private,37900
74,Socionom,private,38000
75,Socionom,private,38500
76,Socionom,private,38900
77,Socionom,private,39060
78,Socionom,private,39600
79,Socionom,private,40000
80,Socionom,private,40000
81,Socionom,private,40750
82,Socionom,private,41000
83,Socionom,private,41825
84,Socionom,private,42097
85,Socionom,private,42800
86,Socionom,private,43195
87,Socionom,private,44150
88,Socionom,private,45100
89,Socionom,private,46250
90,Socionom,private,47000
91,Socionom,private,48000
92,Socionom,private,49900
93,Socionom,private,51600
94,Socionom,private,54239
95,Socionom,private,56639
96,Socionom,private,60000
97,Socionom,private,62700
