income,publicprivate,profession,value
-24999,private,Civilingenjör,"0,0012"
25000-25999,private,Civilingenjör,"0,0016"
26000-26999,private,Civilingenjör,"0,0021"
27000-27999,private,Civilingenjör,"0,0047"
28000-28999,private,Civilingenjör,"0,0117"
29000-29999,private,Civilingenjör,"0,0163"
30000-30999,private,Civilingenjör,"0,0226"
31000-31999,private,Civilingenjör,"0,0218"
32000-32999,private,Civilingenjör,"0,0229"
33000-33999,private,Civilingenjör,"0,0229"
34000-34999,private,Civilingenjör,"0,0251"
35000-35999,private,Civilingenjör,"0,029"
36000-36999,private,Civilingenjör,"0,0283"
37000-37999,private,Civilingenjör,"0,0303"
38000-38999,private,Civilingenjör,"0,0311"
39000-39999,private,Civilingenjör,"0,0289"
40000-40999,private,Civilingenjör,"0,0361"
41000-41999,private,Civilingenjör,"0,0308"
42000-42999,private,Civilingenjör,"0,0341"
43000-43999,private,Civilingenjör,"0,0319"
44000-44999,private,Civilingenjör,"0,0292"
45000-45999,private,Civilingenjör,"0,0326"
46000-46999,private,Civilingenjör,"0,0304"
47000-47999,private,Civilingenjör,"0,0278"
48000-48999,private,Civilingenjör,"0,0276"
49000-49999,private,Civilingenjör,"0,0259"
50000-50999,private,Civilingenjör,"0,0306"
51000-51999,private,Civilingenjör,"0,0239"
52000-52999,private,Civilingenjör,"0,024"
53000-53999,private,Civilingenjör,"0,022"
54000-54999,private,Civilingenjör,"0,0192"
55000-55999,private,Civilingenjör,"0,0208"
56000-56999,private,Civilingenjör,"0,018"
57000-57999,private,Civilingenjör,"0,0164"
58000-58999,private,Civilingenjör,"0,0152"
59000-59999,private,Civilingenjör,"0,0128"
60000-60999,private,Civilingenjör,"0,0157"
61000-61999,private,Civilingenjör,"0,0107"
62000-62999,private,Civilingenjör,"0,0112"
63000-63999,private,Civilingenjör,"0,0101"
64000-64999,private,Civilingenjör,"0,0088"
65000-65999,private,Civilingenjör,"0,0106"
66000-66999,private,Civilingenjör,"0,0078"
67000-67999,private,Civilingenjör,"0,0075"
68000-68999,private,Civilingenjör,"0,0063"
